FOC,PRED,PERC
84.1,92.71918,10.248727
57.9,55.5359,4.0830765
64.0,62.79917,1.8762946
87.9,108.847595,23.831165
71.6,75.182686,5.003753
65.0,65.99154,1.5254446
72.2,73.173004,1.3476554
87.6,106.59061,21.678778
71.8,76.95449,7.1789517
83.9,96.41628,14.918094
58.0,54.72889,5.639846
88.3,104.89205,18.79054
87.7,108.312546,23.503477
87.2,101.57839,16.488985
62.9,61.523758,2.1879864
57.8,54.26601,6.1141677
86.8,108.399765,24.884518
57.9,54.910343,5.163486
85.9,97.672516,13.704906
86.5,101.55441,17.403946
86.5,95.002106,9.829024
64.9,68.50369,5.552683
86.0,102.49574,19.181097
88.0,105.73777,20.156557
57.9,55.71005,3.7823017
86.0,102.77971,19.51129
88.0,104.96518,19.278612
87.9,106.771736,21.46955
88.0,107.99725,22.724152
64.9,67.75751,4.4029365
65.0,66.96352,3.0207942
73.2,75.4702,3.1013699
64.0,64.26472,0.41362047
88.0,107.75035,22.44358
87.9,108.561905,23.506147
62.8,64.23625,2.2870264
58.0,55.438046,4.417163
88.6,105.732414,19.336813
86.6,101.17009,16.824587
83.8,95.10205,13.486929
85.9,103.32362,20.283611
86.6,101.123085,16.770308
63.9,62.76171,1.781362
64.8,68.79277,6.161678
62.9,62.630375,0.42865914
87.8,105.382866,20.02604
64.8,67.92675,4.825227
64.9,67.5332,4.0573215
58.0,55.1757,4.8694806
88.0,108.034836,22.76686
63.8,62.32114,2.3179607
87.8,106.93149,21.789846
72.2,73.444786,1.7240846
71.9,75.024956,4.3462505
45.9,-1.815701,103.95577
72.1,37.257584,48.325123
87.8,106.61013,21.423834
64.0,62.39592,2.5063753
65.0,65.17294,0.26606634
88.0,108.994156,23.856997
57.8,54.82983,5.138701
71.8,76.552605,6.6192217
64.0,61.815952,3.4125745
62.9,61.89403,1.5993164
73.3,74.44078,1.5563132
62.9,61.519062,2.1954522
83.0,97.34533,17.28353
57.9,53.84983,6.995114
58.0,55.800705,3.791888
71.7,77.79457,8.500104
71.9,76.21995,6.00827
87.8,107.283066,22.190275
71.8,72.7678,1.3479056
58.0,55.440834,4.4123554
87.9,107.94313,22.802193
62.9,62.254807,1.0257472
65.0,66.25612,1.9324905
72.8,73.9906,1.6354362
87.8,106.49351,21.291008
11.8,19.610918,66.19422
88.4,105.29427,19.111166
84.2,91.84887,9.084172
88.0,106.40112,20.910368
57.8,54.58499,5.5622973
57.8,56.180775,2.8014264
88.0,108.06782,22.804338
62.9,61.688164,1.9266101
62.9,61.53273,2.1737223
88.0,106.40026,20.909388
73.0,74.384705,1.8968556
83.1,96.72113,16.391254
88.1,107.539474,22.06524
64.0,61.989243,3.1418085
83.1,95.53919,14.9689455
84.1,98.20057,16.766434
64.1,63.142715,1.4934213
88.3,106.6293,20.757984
52.2,36.77622,29.547478
88.0,107.59288,22.264637
86.1,102.14074,18.630362
87.7,106.90332,21.896606
57.9,57.280186,1.0704937
65.1,66.23546,1.7441782
57.8,55.230686,4.4451785
71.9,74.365944,3.4296832
64.3,62.095024,3.429205
64.0,62.90852,1.7054379
73.1,75.19845,2.8706563
62.8,61.967213,1.3260933
58.0,55.09349,5.0112233
83.9,98.39174,17.27263
88.0,106.68562,21.233664
87.1,101.98658,17.091368
87.5,105.96879,21.107187
14.0,22.097517,57.839405
88.1,108.439,23.086271
57.9,55.427406,4.2704577
63.1,62.90845,0.30356163
64.1,63.8061,0.4585016
64.8,66.82968,3.1322196
57.9,56.556694,2.3200474
88.0,108.76895,23.60108
57.9,57.06214,1.4470813
63.9,62.835674,1.6656138
63.1,61.682396,2.2465968
58.0,55.311386,4.635541
84.1,93.32726,10.971777
72.1,73.31438,1.6842972
73.0,74.67815,2.2988307
88.1,108.21451,22.831453
64.9,66.81735,2.9543154
65.0,67.68822,4.1357183
86.8,100.19732,15.434696
88.0,104.81423,19.10708
62.9,60.679577,3.530087
83.1,95.99852,15.5216875
72.0,51.430595,28.568617
84.4,95.95479,13.690506
86.0,103.0739,19.85337
71.8,75.94399,5.771573
88.2,105.29371,19.380627
86.7,100.17499,15.5420885
73.3,74.51336,1.6553289
73.0,75.200905,3.014938
63.9,61.79544,3.2935224
87.7,108.56222,23.788166
64.0,62.676025,2.0687103
64.0,63.665302,0.5229652
72.0,77.021355,6.974104
64.9,65.48008,0.89380294
58.1,54.97316,5.381822
58.0,55.703346,3.9597478
63.8,64.00289,0.318013
64.1,62.467144,2.547355
88.0,108.80085,23.63733
72.1,74.92173,3.9136362
73.0,75.52376,3.4572027
63.9,62.790634,1.7360991
71.9,75.801796,5.426696
88.0,107.43939,22.09022
88.0,106.82698,21.394297
87.8,106.648415,21.467438
86.9,97.429016,12.116242
88.2,105.48548,19.598055
88.1,105.648895,19.919292
64.85,66.79861,3.0047932
87.9,107.62825,22.443968
84.0,96.64606,15.05483
87.6,107.80267,23.062414
68.0,71.89875,5.7334566
72.8,75.189575,3.2823794
77.8,82.83471,6.471344
57.9,54.874863,5.224765
87.9,108.668236,23.627113
83.9,97.160034,15.804568
64.9,68.47278,5.5050488
63.9,63.76455,0.21197538
73.2,76.06213,3.9100235
71.9,76.24518,6.043361
63.9,64.68032,1.2211567
88.0,109.140175,24.022926
88.1,105.89071,20.19377
87.7,104.67031,19.350416
64.1,61.985367,3.2989573
64.0,64.50812,0.79393387
62.9,62.642635,0.4091672
58.0,57.084427,1.5785743
87.8,108.68091,23.782352
85.7,102.32317,19.39694
87.8,108.392296,23.453634
64.9,68.98043,6.287256
62.9,62.565567,0.5316924
71.9,77.43487,7.698006
57.9,55.53727,4.0807114
57.8,55.943085,3.212655
58.1,57.245216,1.4712257
65.0,64.680565,0.49143866
72.0,76.05081,5.6261277
63.0,61.76668,1.957648
58.0,55.74659,3.8851902
88.0,108.24364,23.004133
72.1,76.947845,6.7237825
87.8,105.4395,20.090542
72.0,75.80104,5.2792234
57.9,55.95916,3.352058
72.1,75.92356,5.3031383
71.8,75.77361,5.534275
87.9,106.4121,21.06041
64.9,65.74705,1.3051555
57.8,55.14406,4.5950537
87.8,108.303314,23.35229
60.8,66.28385,9.019494
65.0,65.07895,0.12145996
71.9,76.170425,5.9393935
72.7,74.72917,2.7911623
88.0,108.21531,22.971941
87.8,108.37291,23.431557
64.0,61.472523,3.9491832
64.1,63.18649,1.4251317
74.4,78.18736,5.090539
64.0,61.607838,3.7377536
88.0,105.1624,19.502726
58.0,54.664894,5.7501826
86.7,99.25226,14.47781
63.8,63.73977,0.09440479
71.9,73.36197,2.0333345
88.0,108.567184,23.371801
87.9,105.30123,19.79662
73.1,75.382835,3.122896
87.8,106.51194,21.312
87.2,100.65101,15.425472
60.8,65.13393,7.1281695
73.1,75.292915,2.9998863
71.9,76.66778,6.6311216
87.8,105.69928,20.38642
88.0,107.7356,22.42682
64.7,67.72348,4.673081
87.8,106.30805,21.079782
87.5,108.83175,24.37914
65.1,68.34976,4.991956
57.8,57.052094,1.2939545
62.9,62.137653,1.2120003
63.8,64.53253,1.14817
86.2,94.98633,10.19296
72.0,75.310394,4.5977697
84.1,99.658615,18.50014
71.7,78.14594,8.990162
64.8,65.31079,0.788253
88.0,108.964005,23.822733
72.1,74.349495,3.1199675
82.8,97.38756,17.617819
65.0,65.60632,0.93280494
65.0,65.62156,0.9562449
86.6,101.631645,17.35756
63.8,63.85079,0.0796064
71.8,76.96081,7.1877503
73.1,75.622574,3.4508557
83.8,96.45473,15.101102
68.0,74.69765,9.849482
65.0,66.634605,2.5147774
86.0,101.909706,18.499659
83.3,96.211655,15.500182
88.0,107.17487,21.789629
57.8,55.600048,3.806144
72.1,74.29419,3.0432608
87.8,106.733185,21.563988
63.9,62.39226,2.3595304
87.8,106.722885,21.552258
88.0,105.1765,19.518747
