FOC,PRED,PERC
64.8,66.34231,2.3801003
57.9,59.1938,2.2345428
88.0,88.11432,0.12990777
57.9,59.55443,2.857386
63.9,63.490143,0.6414064
63.1,62.68859,0.65199286
58.0,58.532654,0.91836864
84.1,82.98136,1.3301274
72.1,70.78943,1.8177112
73.0,71.702965,1.7767606
88.1,88.12895,0.032864418
64.9,66.31626,2.1822186
65.0,66.918724,2.951883
86.8,86.38067,0.4831041
88.0,87.57441,0.48362556
62.9,61.989304,1.4478505
83.1,84.28314,1.4237589
72.0,56.249054,21.876314
84.4,84.17116,0.2711418
86.0,87.00116,1.1641392
71.8,72.54364,1.0357063
88.2,87.430916,0.87197405
86.7,85.80575,1.031429
73.3,71.62327,2.2874963
73.0,72.06452,1.2814771
63.9,62.751633,1.7971343
87.7,88.03838,0.38584554
64.0,63.36126,0.9980321
64.0,64.068016,0.10627508
72.0,73.227974,1.7055193
64.9,65.37313,0.7290127
58.1,58.179268,0.13643616
58.0,58.629684,1.0856628
63.8,64.3183,0.812381
64.1,63.22191,1.3698751
88.0,88.09932,0.11286303
72.1,71.88906,0.29256243
73.0,72.28082,0.98517436
63.9,63.43622,0.7257954
71.9,72.454544,0.77126914
88.0,87.857254,0.16221133
88.0,87.75371,0.2798774
87.8,87.65863,0.1610167
86.9,84.31219,2.977922
88.2,87.34405,0.9704642
88.1,87.381714,0.81530607
64.85,66.315025,2.2591007
87.9,87.760315,0.15891534
84.0,83.6411,0.42726424
87.6,87.70237,0.116862126
68.0,69.90665,2.8038924
72.8,72.08102,0.9876188
77.8,76.62569,1.5094041
57.9,58.01042,0.1907085
87.9,87.94781,0.05438656
83.9,84.03883,0.16547328
64.9,67.517235,4.0327168
63.9,64.10497,0.32076886
73.2,72.63354,0.77385205
71.9,72.750084,1.182312
63.9,64.77057,1.3623902
88.0,87.968285,0.03604022
88.1,87.23364,0.98337793
87.7,86.76565,1.0653924
64.1,62.693893,2.1936116
64.0,64.576416,0.90065
62.9,63.2182,0.505881
58.0,59.281677,2.2097883
87.8,87.79929,0.0008081249
85.7,85.914856,0.25071064
87.8,87.62385,0.20063221
64.9,67.86385,4.566798
62.9,63.15924,0.412145
71.9,73.49102,2.2128215
57.9,58.34613,0.77051616
57.8,58.667183,1.5003178
58.1,59.56413,2.5200179
65.0,64.790375,0.32250038
72.0,72.61408,0.85289216
63.0,62.718163,0.44736102
58.0,58.733547,1.2647367
88.0,88.06926,0.07870414
72.1,73.17791,1.4950228
87.8,87.56789,0.26436982
72.0,72.454,0.63055885
57.9,58.834564,1.6140978
72.1,72.52067,0.58345294
71.8,72.425446,0.8710898
87.9,87.758095,0.16144112
64.9,65.56674,1.0273349
57.8,58.33323,0.922543
87.8,88.039536,0.27281603
60.8,65.950386,8.471031
65.0,65.089294,0.13737606
71.9,72.67205,1.0737816
72.7,71.73795,1.3233064
88.0,88.08266,0.093928255
87.8,88.05652,0.29215887
64.0,62.501225,2.3418367
64.1,63.73574,0.5682649
74.4,73.95583,0.5970001
64.0,62.643654,2.1192908
88.0,87.62282,0.42861593
58.0,58.09171,0.1581192
86.7,85.811676,1.0245917
63.8,64.13215,0.5206105
71.9,70.851585,1.4581587
88.0,88.06237,0.07087534
87.9,87.42399,0.54153943
73.1,72.19237,1.2416292
87.8,87.60506,0.2220345
