TELEGRAM_DATE;TELEGRAM_TYPE;BALAST_FLAG;LATITUDE_DEGREES;LATITUDE_SECONDS;LONGITUDE_DEGREES;LONGITUDE_SECONDS;VESSEL_COURSE;DRAFT;ENGINE_RPM;WIND_DIRECTION;WIND_FORCE;AVERAGE_SPEED;HOURS_SLC;MINUTES_SLC;ME_CONS_24H;TRIM;ME_CONS_PER_MILE;WAVEH;WAVED;SWELLH;SWELLD
2009-10-29 15:00:00;A;L;12;48;32;41;202;10.865;118.0;337;4;13.33;4;0;22.5;0.01;0;3;337;3;337
2009-09-09 12:00:00;N;L;18;13;16;0;180;10.6;118.15;22;4;13.92;24;0;31.49;0;0;3;22;3;22
2009-10-25 08:00:00;A;B;0;0;0;0;157;6.725;118.0;315;6;14.15;21;0;25.142857142857142;2.15;0;5;315;5;315
2009-08-20 12:00:00;N;B;5;49;54;32;22;6.7;118.0;135;3;14.42;12;0;32.6;-1.8;0;2;135;2;135
2009-07-03 08:30:00;A;L;103;;;54;180;7.7;118.0;180;3;13.93;15;0;33.6;0;0;2;180;2;180
2009-09-10 12:00:00;N;L;17;43;10;21;157;10.6;118.0;292;4;14.13;24;0;31.5;0;0;3;292;3;292
2009-08-21 12:00:00;N;B;11;35;56;30;225;6.7;118.0;225;3;15.08;24;0;31.5;-1.8;0;2;225;2;225
2009-08-22 12:00:00;N;B;15;27;55;49;90;6.7;118.0;225;3;13.92;24;0;30.5;-1.8;0;2;225;2;225
2009-12-07 12:00:00;N;B;28;44;40;46;22;6.5;118.0;45;4;0.0;24;0;5.2;1.6;0;3;45;3;45
2009-12-08 12:00:00;N;B;28;43;40;50;0;6.5;0.0;0;2;0.0;24;0;1.04;1.6;0;2;0;1;0
2009-09-08 12:00:00;N;L;18;47;21;0;180;10.6;118.0;315;3;14.29;24;0;31.48;0;0;2;315;2;337
2009-07-08 12:00:00;N;;107;58;0;1;135;10.4;118.0;135;3;13.22;20;12;33.02970297029703;0.8;0;2;135;2;135
2009-07-09 12:00:00;N;;106;47;5;41;247;10.4;118.0;135;3;12.22;25;0;32.1792;0.8;0;2;135;2;135
2009-07-09 19:00:00;A;L;105;32;5;19;180;10.4;118.0;202;3;16.71;7;0;32.160000000000004;0.8;0;2;202;2;202
2009-09-02 12:00:00;N;L;0;21;50;57;247;10.6;118.0;247;7;12.83;20;30;31.492682926829264;0;0;6;247;6;247
2009-10-21 12:00:00;N;B;6;54;35;6;90;6.8;105.6;270;5;12.29;24;0;21.75;2;0;4;270;4;247
2009-11-19 10:30:00;A;L;26;12;40;25;270;0;118.0;45;2;0.0;22;30;10.133333333333333;0;0;1;45;0;0
2009-10-11 12:00:00;N;B;3;21;6;24;247;6.8;105.0;247;5;12.28;14;30;19.779310344827582;2;0;4;247;4;247
2009-09-14 15:00:00;A;L;3;9;6;21;67;10.6;118.0;225;4;13.67;3;0;31.44;0;0;3;225;3;225
2009-08-23 00:30:00;A;B;21;43;55;6;67;6.7;118.0;315;3;13.68;12;30;30.9696;1.8;0;2;315;2;315
2009-06-29 12:00:00;N;;109;51;9;23;225;6.53;118.24;112;4;13.46;24;0;32.5;1.7;0;3;112;2;112
2009-06-30 12:00:00;N;;106;18;5;0;225;6.53;118.2;202;4;14.08;24;0;32.75;1.7;0;3;202;3;202
2009-07-01 00:30:00;A;B;103;56;3;19;225;6.53;118.0;202;4;14.88;12;30;32.4864;1.7;0;3;202;2;202
2009-07-14 12:00:00;N;;91;27;1;39;315;11.2;118.5;135;3;13.76;25;0;32.3232;0;0;2;135;2;135
2009-07-19 12:00:00;N;;68;8;10;21;292;11.2;118.6;292;7;12.24;25;0;33.312000000000005;0;0;7;292;7;292
2009-12-09 12:00:00;N;B;28;43;40;50;67;6.5;118.0;67;3;0.0;8;0;33.54;1.6;0;2;67;2;67
2009-12-10 10:24:00;A;B;37;26;44;52;67;6.58;118.0;45;3;0.0;21;24;29.24859813084112;1.56;0;2;0;0;0
2009-10-12 12:00:00;N;B;4;14;4;10;270;6.8;105.1;225;3;12.5;24;0;21.88;2;0;2;225;2;225
2009-10-13 12:00:00;N;B;8;0;4;47;270;6.8;105.2;225;4;11.67;24;0;21.37;2;0;3;225;3;225
2009-10-14 12:00:00;N;B;13;27;6;16;292;6.8;105.5;45;3;12.88;24;0;21.81;2;0;2;45;2;45
2009-09-04 12:00:00;N;L;10;1;43;48;202;10.6;118.08;337;5;13.54;24;0;31.5;0;0;4;337;4;337
2010-03-19 12:00:00;N;L;7;20;36;46;270;9.5;117.8;180;4;0.0;24;0;31.02;0;0;3;180;4;180
2010-03-20 12:00:00;N;L;9;57;40;57;0;9.5;118.6;202;5;0.0;24;0;31.38;0;0;4;202;5;202
2010-01-10 12:00:00;N;L;31;46;35;7;90;9.4;116.4;90;5;0.0;24;0;31.3;0;0;4;112;4;90
2010-01-11 06:00:00;A;L;35;14;35;56;90;0;118.0;180;3;0.0;18;0;30.253333333333337;0;0;3;180;3;180
2010-01-05 12:00:00;N;L;31;12;42;23;247;9.42;115.3;135;3;0.0;22;6;28.26787330316742;0;0;3;135;3;157
2010-02-27 00:30:00;A;L;12;27;45;15;315;7.35;116.3;180;4;0.0;12;30;29.9904;0;0;3;180;1;180
2010-03-04 12:00:00;N;B;28;50;40;40;90;6.6;112.6;22;3;0.0;6;30;41.87076923076923;1.8;0;3;22;3;22
2010-01-13 12:00:00;N;B;29;24;34;34;270;6.4;116.7;247;5;0.0;22;18;29.20896860986547;1.8;0;4;247;4;270
2009-11-08 12:00:00;N;L;21;23;36;49;90;9.6;118.0;247;4;14.41;22;12;31.686486486486483;0;0;3;247;3;112
2009-11-09 12:00:00;N;L;25;47;39;55;22;9.6;118.0;202;4;14.56;21;30;31.36744186046512;0;0;3;202;3;225
2010-03-16 12:00:00;N;L;13;12;37;4;292;9.5;118.4;270;6;0.0;24;0;30.959999999999997;0;0;5;270;6;270
2010-03-17 12:00:00;N;L;6;39;37;15;270;9.5;117.5;112;6;0.0;24;0;31.03;0;0;5;112;6;112
2010-03-18 12:00:00;N;L;0;48;36;52;247;9.5;118.6;0;4;0.0;24;0;31.09;0;0;3;0;4;0
2010-01-14 12:00:00;N;B;22;42;34;54;270;6.4;118.4;247;7;0.0;24;0;31.13;1.8;0;7;247;6;247
2009-12-23 12:00:00;N;B;28;43;40;43;45;6.475;105.0;180;5;0.0;7;6;32.75492957746479;1.55;0;4;180;4;180
2009-12-24 12:00:00;N;B;32;37;42;41;0;6.475;118.0;0;0;0.0;11;54;35.1327731092437;1.55;0;0;0;0;0
2009-11-10 12:00:00;N;L;28;50;40;49;0;9.6;0.0;0;0;0.0;8;9;41.07975460122699;0;0;0;0;0;0
