TELEGRAM_DATE;TELEGRAM_TYPE;BALAST_FLAG;LATITUDE_DEGREES;LATITUDE_SECONDS;LONGITUDE_DEGREES;LONGITUDE_SECONDS;VESSEL_COURSE;DRAFT;ENGINE_RPM;WIND_DIRECTION;WIND_FORCE;AVERAGE_SPEED;HOURS_SLC;MINUTES_SLC;ME_CONS_24H
2006-02-07 12:00:00;N;;29;28;41;16;45;9.5;64.0;45;8;2.8;20;18;0
2006-02-08 12:00:00;N;;28;17;41;58;45;9.5;63.0;45;7;6.7;21;0;0
2006-02-09 12:00:00;N;;28;47;40;50;0;7;0.0;90;2;0.0;0;0;0
2006-10-12 12:00:00;N;;4;36;54;49;38;6.7;114.0;135;4;15.09;17;12;0
2006-10-13 12:00:00;N;;10;44;57;28;90;6.7;105.0;135;3;13.91;19;0;0
2006-03-12 12:00:00;N;;12;46;38;51;270;9.8;118.7;270;4;13.75;24;0;0
2006-03-13 12:00:00;N;;14;13;33;13;45;9.8;119.3;45;4;14.21;24;0;0
2006-03-14 12:00:00;N;;34;13;42;21;270;10;118.5;135;4;15.7;24;0;0
2006-03-14 12:00:00;N;;15;8;28;22;45;9.8;110.4;45;3;13.0;24;0;0
2006-03-15 12:00:00;N;;29;25;41;10;0;10.05;118.5;270;4;0.0;19;30;0
2006-03-15 12:00:00;N;;17;55;23;33;0;9.8;116.0;0;3;11.92;24;0;0
2006-03-16 12:00:00;N;;18;35;18;0;0;10.2;119.2;0;3;14.17;24;0;0
2006-03-16 12:00:00;N;;27;36;40;11;0;1002.5;115.0;67;7;15.2;10;20;0
2006-12-27 12:00:00;N;;39;3;31;33;260;11.09;117.0;315;8;15.5;25;0;0
2006-12-28 12:00:00;N;;45;38;30;20;292;11.09;117.1;270;8;372.0;24;0;0
2007-05-25 12:00:00;N;;50;2;6;39;125;6.775;117.9;90;6;15.62;24;0;0
2020-01-28 12:00:00;N;B;26;48;38;32;90;6.65;102.3;315;3;13.38;13;18;11.1
2007-05-26 12:00:00;N;;46;56;2;3;125;6.775;117.8;90;5;15.61;24;0;0
2006-12-29 12:00:00;N;;50;36;32;49;293;11.09;116.4;315;8;15.4;25;0;0
2007-05-27 12:00:00;N;;41;16;0;3;125;6.775;116.4;90;4;15.34;23;0;0
2007-04-01 12:00:00;N;;60;20;39;54;81;9.4;106.6;0;4;5.15;3;18;0
2006-10-30 12:00:00;N;;0;0;0;0;315;10.805;119.8;0;5;13.3;25;0;0
2006-10-31 12:00:00;N;;46;35;12;55;270;10.77;119.8;0;5;13.8;25;0;0
2006-11-01 12:00:00;N;;42;31;14;13;315;10.73;119.5;225;5;14.5;24;0;0
2006-11-02 12:00:00;N;;39;27;19;24;315;10.765;119.7;0;5;14.1;24;0;0
2006-11-03 12:00:00;N;;36;33;24;23;315;10.79;119.8;315;5;14.0;25;0;0
2006-11-01 12:00:00;N;;34;54;5;43;90;9.5;119.2;90;4;0.0;11;0;0
2006-11-02 12:00:00;N;;39;22;2;35;135;9.5;117.7;135;5;0.0;24;0;0
2006-11-01 12:00:00;N;;9;33;57;7;234;10.65;116.3;22;8;15.4;18;30;0
2006-04-14 12:00:00;N;;28;43;40;34;0;6.7;108.0;67;3;14.3;14;30;0
2006-05-18 12:00:00;N;;91;54;27;59;270;6.975;114.2;270;3;14.4;25;0;0
2006-06-26 12:00:00;N;;7;54;43;17;270;9.83;119.2;270;3;0.0;13;0;0
2006-06-27 12:00:00;N;;15;32;43;41;270;9.83;119.8;45;3;0.0;25;0;0
2006-08-07 12:00:00;N;;93;13;21;26;90;0;114.0;90;4;0.0;17;30;0
2006-08-08 12:00:00;N;;90;54;22;25;90;7;100.5;90;4;0.0;18;0;0
2006-08-09 12:00:00;N;;84;41;23;3;90;0;114.0;90;4;0.0;23;0;0
2006-08-10 12:00:00;N;;85;16;21;10;45;0;0.0;45;3;0.0;0;0;0
2006-09-28 12:00:00;N;;5;22;37;19;270;9.7;117.3;270;3;15.53;24;0;0
2006-08-30 12:00:00;N;;15;54;34;12;90;10;119.8;0;5;0.0;23;0;0
2006-08-31 12:00:00;N;;8;37;35;41;90;10;119.8;0;5;0.0;24;0;0
2006-09-01 12:00:00;N;;1;36;36;59;90;10;119.8;45;4;0.0;23;0;0
2006-09-29 12:00:00;N;;1;42;36;32;242;9.7;118.1;315;4;15.65;24;0;0
2006-03-17 12:00:00;N;;18;43;12;0;315;10.2;118.9;315;3;14.12;24;0;0
2006-03-17 12:00:00;N;;24;36;37;9;202;9.95;118.5;225;5;15.7;12;0;0
2006-03-18 12:00:00;N;;15;59;7;4;270;10.2;119.0;270;3;14.54;24;0;0
2006-06-13 13:00:00;N;;79;26;9;57;0;10.42;0.0;0;0;0.0;0;0;0
2006-06-14 12:00:00;N;;79;26;9;57;0;10.42;0.0;0;0;0.0;0;0;0
2006-07-12 12:00:00;N;;56;49;15;49;202;10.45;113.5;225;8;15.04;25;0;0
2006-07-13 12:00:00;N;;55;56;12;27;202;10.45;109.8;225;8;14.54;24;0;0
2007-04-02 12:00:00;N;;55;16;40;3;292;10.2;104.9;292;8;8.12;25;0;0
2007-04-02 12:00:00;N;;55;20;36;38;0;9.71;116.6;0;7;15.45;24;0;0
2007-04-03 12:00:00;N;;61;20;40;44;292;10.2;119.3;292;7;12.79;24;0;0
2007-06-10 12:00:00;N;;40;16;66;17;225;6.75;119.4;0;3;15.9;20;0;0
2007-04-04 12:00:00;N;;69;34;40;12;45;10.2;119.6;45;6;14.08;24;0;0
