FOC_pred,FOC_act,PERC,stw,draft,trim,sensor_wind_speed,sensor_wind_dir,comb_waves_height,comb_waves_dir
36.17,37.73,4.125865,12.864,11.388000000000002,0.368,17.381999999999998,46.089999999999996,0.9800000000000001,215.95999999999998
19.72,19.87,0.7620276,10.822,4.814,-1.8359999999999999,7.336,319.2579999999999,1.21,74.11
23.81,22.46,5.995191,10.604000000000001,11.45,0.534,3.522,164.294,1.94,238.10999999999999
41.92,39.74,5.465074,14.378,11.504000000000001,0.248,17.59,43.83,1.57,307.3
35.17,38.02,7.4925647,14.739999999999998,4.772,-1.496,5.910000000000001,330.082,1.3,113.75999999999999
14.57,12.67,15.016946,10.284,4.342,-2.036,1.112,198.25799999999998,1.57,163.34
22.81,22.46,1.5331639,11.376000000000001,4.8260000000000005,-1.884,10.924000000000001,335.606,1.21,79.78999999999999
21.78,21.31,2.1842058,11.742,4.33,-2.25,5.762,302.228,0.974,101.01
26.81,20.45,31.108746,12.25,4.742,-1.3560000000000003,10.902,87.77399999999999,2.22,170.51000000000002
40.22,41.76,3.682124,13.963999999999999,11.546000000000001,0.262,17.994,43.39399999999999,1.43,347.14
40.8,41.47,1.625312,13.808000000000002,11.552000000000001,0.254,18.624,48.894000000000005,2.04,337.44
31.86,31.39,1.500755,14.182000000000002,4.828,-1.318,1.0260000000000002,207.602,1.37,159.07
36.07,40.61,11.168491,14.713999999999999,4.816,-1.422,9.35,149.38600000000002,1.41,184.65
31.86,30.24,5.35456,12.154,11.41,0.41,15.634,29.872000000000003,0.8720000000000001,329.938
27.18,27.07,0.3837736,11.772,11.434000000000001,0.512,6.102,18.477999999999998,0.9099999999999999,176.45000000000002
15.92,14.11,12.821756,10.64,4.351999999999999,-2.0479999999999996,4.378,73.00999999999999,0.322,183.13600000000002
27.79,27.94,0.5143478,11.834,11.409999999999998,0.51,5.648,284.332,0.57,191.91000000000003
25.92,27.94,7.2258787,11.644,11.428,0.376,6.628,23.734,0.9399999999999998,358.22
26.95,27.36,1.5096775,11.68,11.478,0.39799999999999996,5.416,285.378,0.53,179.09
32.99,36.58,9.80888,14.372,4.518000000000001,-1.3579999999999999,12.732,18.735999999999997,1.0020000000000002,277.3
23.82,22.75,4.6977763,11.312000000000001,4.825999999999999,-1.8219999999999998,12.620000000000001,321.26000000000005,1.4,38.720000000000006
24.36,23.04,5.745705,11.364,4.816000000000001,-1.8439999999999999,13.685999999999998,326.806,1.46,34.46
31.9,30.82,3.5210066,13.802000000000001,4.851999999999999,-1.25,7.4879999999999995,254.45999999999998,0.8800000000000001,188.03000000000003
34.27,32.83,4.3846126,11.806000000000001,11.492,0.016,22.413999999999998,28.910000000000004,1.7100000000000002,307.44
27.01,27.36,1.2737408,11.796,11.398,0.506,3.592,298.69999999999993,0.74,186.82
39.68,39.17,1.3097829,13.780000000000001,11.541999999999998,0.28200000000000003,19.421999999999997,23.401999999999997,1.24,337.24
4.1,6.62,38.04229,7.287999999999999,4.4,-1.738,7.194,64.084,0.61,174.07999999999998
19.39,18.43,5.2073975,11.116000000000001,4.318,-2.2,6.659999999999999,321.54200000000003,0.9,102.47999999999999
31.5,30.24,4.1652417,11.941999999999998,11.41,0.41,14.285999999999998,52.26800000000001,0.8619999999999999,212.87600000000003
36.24,34.85,4.0077744,14.469999999999999,4.822,-1.388,13.64,72.45000000000002,2.308,165.862
15.38,14.11,9.019832,10.734,4.34,-2.04,5.312,11.392000000000001,0.4600000000000001,190.87999999999997
27.42,27.94,1.8362327,11.504,11.454,0.414,5.696000000000001,102.25200000000001,1.174,4.598
40.21,36.29,10.799574,14.820000000000002,4.7379999999999995,-1.286,17.224,7.3420000000000005,3.6399999999999997,196.45999999999998
27.4,27.07,1.2252699,11.826000000000002,11.45,0.374,7.287999999999999,37.001999999999995,0.51,207.32
28.37,27.07,4.8122435,11.856,11.464,0.374,5.3740000000000006,145.566,0.49000000000000005,211.24
23.99,22.18,8.171289,10.596,11.441999999999998,0.522,3.164,331.85200000000003,1.75,1.95
22.42,20.74,8.117545,12.02,4.336,-2.272,4.706,303.038,0.8699999999999999,96.34599999999998
4.0,5.47,26.87,7.066,4.994,-0.986,6.314,33.416,0.7079999999999999,290.582
32.16,31.39,2.442788,12.280000000000001,11.4,0.38800000000000007,14.929999999999998,52.698,0.77,344.45
20.94,20.16,3.866932,11.898,4.37,-2.236,0.9460000000000001,133.414,1.55,186.51
27.48,27.36,0.44884038,13.075999999999999,4.9159999999999995,-1.21,3.2640000000000002,340.264,1.27,209.17
37.57,33.98,10.561359,14.362,4.718000000000001,-1.362,14.434000000000001,9.565999999999999,3.8899999999999997,197.44
2.78,4.61,39.587532,7.33,4.384,-1.7239999999999998,4.086,25.782,0.5780000000000001,179.324
35.89,34.56,3.8602617,14.762,4.799999999999999,-1.4300000000000002,11.508,21.637999999999998,2.15,156.95
30.22,27.94,8.167967,11.588000000000001,11.494000000000002,0.476,15.008000000000001,59.64,1.33,32.010000000000005
35.23,33.12,6.3703485,12.77,11.508,0.406,13.742,117.86599999999999,2.3,275.554
40.55,41.76,2.8909488,13.724,11.551999999999998,0.262,19.381999999999998,42.8,1.8359999999999999,324.15
40.16,39.74,1.0355275,13.851999999999999,11.530000000000001,0.27,19.73,29.386000000000003,1.24,337.17999999999995
29.63,29.66,0.12892479,11.389999999999999,11.484,0.506,15.294,58.41799999999999,1.45,25.03
15.56,13.82,12.545784,10.594,4.34,-2.05,4.136,46.112,0.77,178.09
32.42,33.41,2.954769,14.192000000000002,4.8740000000000006,-1.3080000000000003,3.6519999999999997,134.608,0.9200000000000002,177.49
28.5,29.09,2.0330825,11.452000000000002,11.482,0.252,10.056000000000001,142.282,1.92,317.66
36.36,34.56,5.2009134,11.372000000000002,11.508,0.084,25.846000000000004,30.762,3.6399999999999997,352.02
34.92,38.02,8.134891,14.802000000000001,4.608,-1.798,6.2219999999999995,257.536,1.28,114.85
32.23,32.54,0.9800247,11.916000000000002,11.422,0.434,16.732,51.988,1.3,356.85
23.87,22.46,6.2730064,10.458,11.462,0.562,8.302,146.918,0.8299999999999998,237.01999999999998
37.09,41.76,11.192456,13.266,11.553999999999998,0.29000000000000004,19.311999999999998,42.356,0.4600000000000001,116.42
29.79,27.94,6.643562,11.364,11.482000000000003,0.506,15.473999999999998,67.846,1.61,32.75000000000001
24.39,25.34,3.7555516,11.02,11.425999999999998,0.7060000000000001,4.101999999999999,216.42799999999997,1.58,137.23
25.91,22.75,13.8620615,10.338,11.468,0.5519999999999999,11.018,88.44,1.9600000000000002,289.56000000000006
31.88,27.65,15.288702,11.818000000000001,11.431999999999999,0.516,17.016,43.128,1.17,339.09000000000003
