FOC,PERC
34.56,19.289894
33.12,15.726636
33.12,15.646985
33.12,16.112972
34.56,19.79458
33.12,15.245221
33.12,14.597241
33.12,19.251644
33.12,17.06735
33.12,14.7935505
33.12,16.39987
33.12,14.006758
33.12,16.902945
31.68,12.239621
33.12,14.462915
37.44,25.961613
36.0,22.787115
31.68,0.5931746
34.56,10.050087
33.12,15.326778
33.12,15.701811
33.12,7.6050463
33.12,5.348184
34.56,19.0395
34.56,19.609756
33.12,17.060692
34.56,17.683064
33.12,16.244183
33.12,16.64422
33.12,17.777641
34.56,20.816221
34.56,19.457914
33.12,15.863791
33.12,16.711388
34.56,19.12661
33.12,18.875847
33.12,15.099085
31.68,12.157974
34.56,19.815277
33.12,15.156166
33.12,16.410028
33.12,16.660875
34.56,22.769161
37.44,35.34458
37.44,33.681885
36.0,29.213842
36.0,29.042805
37.44,32.013523
37.44,33.267612
36.0,30.488354
36.0,31.877783
36.0,32.02091
34.56,26.435995
36.0,30.13239
36.0,30.973467
37.44,33.762753
36.0,30.177668
34.56,26.426971
36.0,29.619354
37.44,32.497086
37.44,29.729172
37.44,29.761257
40.32,37.975483
34.56,27.267786
34.56,28.048763
37.44,35.66365
36.0,31.513405
36.0,28.952148
37.44,33.948147
36.0,31.841925
36.0,29.998621
34.56,28.671642
34.56,27.44807
36.0,31.586864
36.0,30.56078
34.56,27.777695
36.0,28.325134
37.44,33.437157
36.0,28.58057
38.88,34.32265
37.44,33.4364
38.88,35.87918
36.0,28.735044
36.0,30.885443
34.56,25.509941
36.0,31.884655
37.44,32.140438
38.88,35.531563
37.44,32.62122
38.88,35.63841
40.32,41.642284
37.44,34.63179
36.0,31.09276
37.44,33.92148
36.0,30.113813
36.0,30.169127
34.56,28.889408
36.0,28.912819
36.0,31.16337
37.44,33.095272
37.44,34.543625
34.56,27.41766
36.0,30.660862
36.0,29.755867
36.0,28.740555
34.56,27.53083
36.0,31.01812
34.56,25.697691
36.0,28.748566
34.56,30.82431
36.0,30.071884
36.0,32.45996
36.0,30.142859
34.56,25.579067
36.0,30.277431
34.56,24.850159
36.0,29.306814
36.0,29.037073
36.0,28.815767
34.56,25.067097
34.56,24.964367
36.0,30.594671
33.12,22.026297
36.0,28.718185
36.0,28.18258
34.56,26.253853
38.88,33.743065
37.44,32.472878
36.0,29.514393
36.0,30.157974
34.56,26.915333
36.0,26.88472
37.44,32.01912
36.0,30.166096
34.56,26.679987
34.56,27.81752
36.0,29.275667
36.0,29.093918
34.56,24.981394
34.56,27.89144
36.0,26.566473
36.0,28.743622
34.56,27.119759
36.0,27.441374
37.44,31.166533
38.88,34.917534
36.0,28.84742
36.0,31.518894
36.0,30.311892
34.56,26.652966
37.44,33.69475
36.0,28.655804
34.56,26.955774
36.0,30.940178
37.44,32.121906
36.0,31.509516
36.0,29.176966
36.0,27.926699
34.56,25.35012
37.44,31.033876
36.0,28.483772
36.0,29.158083
36.0,29.10687
36.0,28.841051
38.88,38.365444
38.88,36.13101
36.0,29.770676
36.0,30.722841
36.0,29.988739
37.44,31.956211
34.56,27.442678
36.0,6.18088
37.44,35.727207
36.0,32.39924
36.0,4.9704022
37.44,33.46166
37.44,32.20665
34.56,1.6685106
34.56,25.581312
37.44,31.473442
38.88,10.877686
38.88,36.185623
36.0,27.434519
34.56,0.8535716
36.0,31.820286
36.0,29.746622
36.0,36.565495
36.0,30.390867
34.56,24.208437
36.0,36.846344
36.0,28.750896
36.0,29.55476
34.56,33.468037
34.56,25.441051
34.56,24.19146
34.56,34.895466
34.56,26.309225
36.0,29.59218
37.44,8.546736
37.44,31.69499
38.88,35.9413
37.44,39.804695
36.0,29.346582
34.56,24.630741
34.56,35.247734
36.0,27.468523
37.44,32.299366
36.0,37.209747
33.12,24.806902
37.44,32.621563
37.44,40.806458
36.0,29.592604
36.0,29.357422
38.88,36.28769
37.44,31.371494
37.44,33.323105
36.0,33.43543
34.56,24.859081
36.0,31.526789
36.0,29.278528
34.56,28.905624
36.0,28.799236
37.44,33.402893
36.0,32.036392
37.44,34.10644
37.44,32.12711
38.88,34.969597
36.0,31.280762
34.56,27.222633
38.88,37.29876
37.44,35.51946
37.44,33.067112
37.44,31.642977
36.0,30.261332
37.44,34.300087
37.44,31.687624
37.44,32.22316
36.0,32.304485
36.0,30.981377
34.56,26.52721
36.0,30.77637
36.0,32.6718
36.0,31.493345
34.56,26.597694
36.0,32.70202
38.88,37.60478
36.0,33.133064
36.0,30.378998
37.44,32.61825
36.0,29.090712
34.56,27.010881
37.44,34.06279
38.88,34.31198
37.44,33.68875
34.56,25.820753
36.0,31.664452
36.0,31.736532
36.0,29.856268
36.0,28.302956
36.0,30.38631
36.0,29.827583
34.56,27.70001
36.0,28.622833
36.0,29.932255
38.88,35.74698
37.44,32.14339
37.44,31.89846
36.0,28.492409
36.0,28.886414
34.56,24.725462
34.56,24.518314
36.0,29.691538
36.0,29.84208
36.0,31.881512
34.56,27.579939
36.0,30.186892
36.0,27.27214
36.0,30.184916
36.0,29.358637
34.56,28.884802
36.0,30.04028
36.0,29.036257
37.44,34.081345
36.0,29.607105
37.44,30.558723
36.0,28.442701
36.0,31.723976
34.56,27.083826
34.56,26.98088
37.44,34.18682
36.0,30.143696
34.56,26.58399
36.0,30.197063
36.0,29.346455
34.56,26.594389
36.0,30.249447
37.44,31.392502
38.88,35.098217
37.44,33.55772
38.88,36.921432
36.0,29.380423
36.0,30.88285
36.0,29.945692
37.44,32.63821
36.0,28.658232
37.44,33.14053
36.0,32.953262
36.0,31.416777
34.56,26.926596
36.0,27.820572
34.56,26.856241
34.56,28.340319
36.0,31.285381
34.56,28.016201
36.0,29.05542
38.88,32.376457
37.44,34.333427
38.88,34.7413
34.56,26.15518
36.0,33.38584
37.44,32.441353
34.56,27.094946
34.56,26.587566
38.88,37.69751
33.12,23.89636
34.56,27.459427
34.56,25.506836
34.56,27.357471
36.0,30.427647
37.44,31.81744
37.44,33.127872
36.0,29.972395
36.0,31.41275
34.56,27.559965
34.56,25.216085
34.56,26.497475
34.56,28.990099
36.0,31.01653
