Terminal,Date,Latitude,Longitude,Course,Speed,Average Speed,Wind Speed,Wind Direction,Pressure,Significant Wave Height,Wind Wave Height,Swell Height,Wind Wave Direction,Swell Direction,Swell Period,Wind Wave Period,Current Speed ,Current Direction 
AIS.636013410.S-34,02.12.2019 21:15 Z,"23° 08' 07.36"" N","037° 00' 55.98"" E",335°,012.3 kn.,012.7 kn.,005.0m/s,346°,1015mb,1.3m,1.1m,0.7m,350°,155°,005sec,005sec,0.05m/s,346°
AIS.636013410.S-34,02.12.2019 20:16 Z,"22° 57' 04.89"" N","037° 07' 03.43"" E",330°,013.2 kn.,013.5 kn.,005.0m/s,344°,1015mb,1.3m,1.2m,0.6m,350°,155°,005sec,005sec,0.05m/s,346°
AIS.636013410.S-34,02.12.2019 20:11 Z,"22° 56' 03.08"" N","037° 07' 43.21"" E",327°,013.1 kn.,012.1 kn.,005.0m/s,344°,1015mb,1.3m,1.2m,0.6m,345°,155°,005sec,005sec,0.05m/s,346°
INC.463702145 (9469.014),02.12.2019 20:04 Z,"22° 54' 48.00"" N","037° 08' 28.79"" E",333°,013.8 kn.,013.3 kn.,005.0m/s,344°,1014mb,1.3m,1.2m,0.6m,345°,155°,005sec,005sec,0.05m/s,346°
INC.463702145 (9469.014),02.12.2019 14:04 Z,"21° 42' 38.40"" N","037° 45' 07.20"" E",336°,013.4 kn.,013.3 kn.,006.0m/s,348°,1013mb,1.2m,0.9m,0.6m,345°,075°,005sec,004sec,0.10m/s,009°
INC.463702145 (9469.014),02.12.2019 08:04 Z,"20° 30' 28.80"" N","038° 21' 09.59"" E",334°,013.4 kn.,012.7 kn.,003.0m/s,014°,1014mb,0.8m,0.5m,0.7m,030°,140°,005sec,002sec,0.03m/s,015°
INC.463702145 (9469.014),02.12.2019 02:04 Z,"19° 21' 26.40"" N","038° 55' 24.00"" E",335°,012.6 kn.,012.9 kn.,002.0m/s,052°,1011mb,0.9m,0.4m,0.8m,045°,155°,005sec,003sec,0.05m/s,195°
INC.463702145 (9469.014),01.12.2019 20:04 Z,"18° 11' 38.39"" N","039° 29' 36.00"" E",334°,013.0 kn.,013.5 kn.,004.0m/s,120°,1012mb,1.2m,1.0m,0.7m,120°,165°,006sec,004sec,0.04m/s,075°
INC.463702145 (9469.014),01.12.2019 14:04 Z,"16° 58' 28.80"" N","040° 05' 16.80"" E",334°,013.8 kn.,010.2 kn.,006.0m/s,140°,1010mb,1.2m,1.0m,0.7m,140°,175°,005sec,005sec,0.05m/s,326°
INC.463702145 (9469.014),01.12.2019 08:04 Z,"16° 26' 02.40"" N","040° 59' 38.40"" E",323°,013.2 kn.,013.0 kn.,005.0m/s,152°,1013mb,1.1m,1.0m,0.4m,155°,135°,005sec,004sec,0.05m/s,326°
INC.463702145 (9469.014),01.12.2019 02:04 Z,"15° 22' 11.99"" N","041° 46' 12.00"" E",334°,013.2 kn.,013.0 kn.,004.0m/s,160°,1011mb,1.3m,1.2m,0.4m,160°,170°,006sec,004sec,0.05m/s,026°
INC.463702145 (9469.014),30.11.2019 20:04 Z,"14° 11' 55.20"" N","042° 21' 02.40"" E",334°,013.0 kn.,013.1 kn.,006.0m/s,148°,1014mb,0.9m,0.7m,0.5m,150°,140°,005sec,004sec,No data,No data
INC.463702145 (9469.014),30.11.2019 14:04 Z,"13° 07' 38.40"" N","043° 07' 04.79"" E",335°,014.4 kn.,013.1 kn.,005.0m/s,132°,1012mb,1.0m,0.9m,0.4m,130°,085°,005sec,004sec,0.20m/s,289°
INC.463702145 (9469.014),30.11.2019 08:04 Z,"12° 17' 36.00"" N","044° 09' 19.19"" E",294°,013.2 kn.,013.0 kn.,004.0m/s,104°,1016mb,1.1m,0.7m,0.7m,105°,080°,006sec,004sec,0.29m/s,258°
INC.463702145 (9469.014),30.11.2019 02:04 Z,"12° 05' 52.80"" N","045° 28' 04.80"" E",252°,013.6 kn.,013.1 kn.,004.0m/s,054°,1014mb,1.2m,0.7m,1.0m,050°,075°,007sec,003sec,0.50m/s,264°
INC.463702145 (9469.014),29.11.2019 20:04 Z,"12° 29' 45.60"" N","046° 44' 28.80"" E",252°,013.2 kn.,013.2 kn.,006.0m/s,098°,1015mb,1.2m,0.8m,1.0m,100°,080°,007sec,004sec,0.44m/s,260°
INC.463702145 (9469.014),29.11.2019 14:04 Z,"12° 53' 50.40"" N","048° 01' 28.80"" E",252°,013.4 kn.,013.5 kn.,005.0m/s,076°,1013mb,1.4m,0.8m,1.1m,075°,075°,007sec,004sec,0.39m/s,263°
INC.463702145 (9469.014),29.11.2019 08:04 Z,"13° 18' 21.59"" N","049° 20' 14.40"" E",252°,014.4 kn.,014.5 kn.,004.0m/s,060°,1016mb,1.4m,0.8m,1.2m,070°,080°,007sec,004sec,0.48m/s,292°
INC.463702145 (9469.014),29.11.2019 02:04 Z,"13° 44' 40.80"" N","050° 45' 04.80"" E",252°,014.0 kn.,013.1 kn.,005.0m/s,046°,1014mb,1.6m,0.9m,1.2m,035°,080°,007sec,004sec,0.26m/s,318°
INC.463702145 (9469.014),28.11.2019 20:04 Z,"14° 08' 52.80"" N","052° 02' 00.00"" E",255°,012.8 kn.,012.8 kn.,006.0m/s,062°,1015mb,1.7m,1.3m,1.2m,065°,085°,008sec,005sec,0.12m/s,281°
INC.463702145 (9469.014),28.11.2019 14:04 Z,"14° 35' 04.80"" N","053° 16' 09.60"" E",248°,013.2 kn.,013.3 kn.,007.0m/s,042°,1012mb,1.8m,1.3m,1.2m,045°,085°,007sec,005sec,0.08m/s,280°
INC.463702145 (9469.014),28.11.2019 08:04 Z,"15° 11' 55.20"" N","054° 29' 19.20"" E",245°,014.4 kn.,014.1 kn.,007.0m/s,050°,1016mb,1.9m,1.6m,1.1m,055°,090°,007sec,006sec,0.14m/s,280°
INC.463702145 (9469.014),28.11.2019 02:04 Z,"15° 51' 16.80"" N","055° 46' 38.40"" E",243°,013.6 kn.,013.4 kn.,007.0m/s,060°,1013mb,1.9m,1.6m,1.0m,060°,090°,007sec,006sec,0.13m/s,273°
INC.463702145 (9469.014),27.11.2019 20:04 Z,"16° 28' 21.59"" N","057° 00' 31.20"" E",245°,013.4 kn.,012.5 kn.,008.0m/s,046°,1015mb,1.9m,1.7m,0.9m,045°,090°,007sec,006sec,0.12m/s,307°
INC.463702145 (9469.014),27.11.2019 14:04 Z,"17° 03' 12.00"" N","058° 09' 40.80"" E",243°,012.2 kn.,012.7 kn.,008.0m/s,044°,1013mb,1.7m,1.5m,0.8m,045°,090°,007sec,005sec,0.21m/s,312°
INC.463702145 (9469.014),27.11.2019 08:04 Z,"17° 38' 40.79"" N","059° 19' 57.60"" E",240°,013.2 kn.,013.1 kn.,008.0m/s,036°,1015mb,1.6m,1.4m,0.9m,035°,055°,006sec,005sec,0.22m/s,352°
INC.463702145 (9469.014),27.11.2019 02:04 Z,"18° 15' 07.20"" N","060° 33' 12.00"" E",242°,013.2 kn.,013.0 kn.,008.0m/s,032°,1013mb,1.6m,1.4m,0.9m,030°,035°,006sec,005sec,0.17m/s,006°
INC.463702145 (9469.014),26.11.2019 20:04 Z,"18° 51' 09.60"" N","061° 46' 12.00"" E",243°,013.0 kn.,012.9 kn.,007.0m/s,022°,1014mb,1.5m,1.2m,0.8m,025°,020°,006sec,005sec,0.08m/s,353°
INC.463702145 (9469.014),26.11.2019 14:04 Z,"19° 27' 09.59"" N","062° 58' 14.40"" E",243°,013.6 kn.,013.7 kn.,006.0m/s,014°,1012mb,1.2m,0.9m,0.7m,015°,105°,007sec,004sec,0.13m/s,279°
INC.463702145 (9469.014),26.11.2019 08:04 Z,"20° 05' 19.20"" N","064° 15' 28.80"" E",243°,013.4 kn.,013.2 kn.,004.0m/s,010°,1014mb,0.9m,0.5m,0.7m,010°,285°,007sec,004sec,0.13m/s,272°
INC.463702145 (9469.014),26.11.2019 02:04 Z,"20° 42' 00.00"" N","065° 30' 14.40"" E",242°,013.4 kn.,013.2 kn.,004.0m/s,006°,1012mb,0.8m,0.4m,0.7m,005°,065°,007sec,003sec,0.30m/s,306°
INC.463702145 (9469.014),25.11.2019 20:04 Z,"21° 18' 52.80"" N","066° 45' 19.20"" E",241°,013.6 kn.,013.4 kn.,004.0m/s,006°,1014mb,0.7m,0.4m,0.6m,005°,155°,008sec,003sec,0.26m/s,310°
INC.463702145 (9469.014),25.11.2019 14:04 Z,"21° 56' 04.79"" N","068° 01' 45.59"" E",246°,013.0 kn.,012.7 kn.,004.0m/s,020°,1012mb,0.6m,0.3m,0.6m,020°,165°,009sec,003sec,0.09m/s,300°
AIS.636013410.S-34,25.11.2019 11:31 Z,"22° 11' 36.88"" N","068° 32' 02.75"" E",241°,011.9 kn.,013.1 kn.,004.0m/s,018°,1014mb,0.7m,0.3m,0.6m,015°,185°,009sec,003sec,0.09m/s,300°
AIS.636013410.S-34,25.11.2019 11:05 Z,"22° 14' 20.57"" N","068° 37' 29.27"" E",240°,012.7 kn.,013.5 kn.,004.0m/s,020°,1014mb,0.7m,0.3m,0.6m,020°,185°,009sec,003sec,0.09m/s,300°
AIS.636013410.S-34,25.11.2019 09:53 Z,"22° 25' 28.92"" N","068° 49' 59.84"" E",199°,014.2 kn.,015.4 kn.,004.0m/s,024°,1014mb,0.7m,0.3m,0.6m,025°,190°,009sec,002sec,0.09m/s,300°
AIS.636013410.S-34,25.11.2019 09:25 Z,"22° 32' 09.92"" N","068° 52' 54.26"" E",203°,013.6 kn.,013.1 kn.,004.0m/s,026°,1014mb,0.7m,0.3m,0.6m,025°,190°,009sec,002sec,0.00m/s,300°
AIS.636013410.S-34,25.11.2019 08:27 Z,"22° 38' 30.76"" N","069° 04' 48.54"" E",268°,013.1 kn.,013.2 kn.,004.0m/s,028°,1014mb,0.7m,0.3m,0.6m,030°,195°,009sec,002sec,0.00m/s,300°
INC.463702145 (9469.014),25.11.2019 08:04 Z,"22° 38' 14.39"" N","069° 10' 23.99"" E",298°,014.2 kn.,012.0 kn.,004.0m/s,030°,1014mb,0.7m,0.3m,0.6m,030°,195°,009sec,002sec,0.00m/s,303°
AIS.636013410.S-34,25.11.2019 06:21 Z,"22° 38' 21.98"" N","069° 32' 34.83"" E",277°,010.4 kn.,010.8 kn.,004.0m/s,034°,1015mb,0.7m,0.3m,0.6m,035°,200°,009sec,002sec,0.00m/s,304°
AIS.636013410.S-34,25.11.2019 06:05 Z,"22° 37' 25.82"" N","069° 35' 27.60"" E",288°,009.9 kn.,008.5 kn.,003.0m/s,018°,1012mb,0.6m,0.4m,0.5m,020°,190°,009sec,003sec,0.00m/s,000°
AIS.636013410.S-34,25.11.2019 05:15 Z,"22° 34' 32.26"" N","069° 42' 25.59"" E",295°,005.7 kn.,005.3 kn.,003.0m/s,020°,1012mb,0.7m,0.4m,0.6m,020°,190°,009sec,003sec,0.00m/s,305°
AIS.636013410.S-34,25.11.2019 04:24 Z,"22° 32' 23.71"" N","069° 46' 38.38"" E",304°,006.1 kn.,005.0 kn.,003.0m/s,020°,1012mb,0.7m,0.4m,0.6m,020°,200°,009sec,003sec,0.00m/s,305°
AIS.636013410.S-34,25.11.2019 03:33 Z,"22° 29' 54.06"" N","069° 50' 20.18"" E",013°,000.5 kn.,000.0 kn.,003.0m/s,024°,1012mb,0.7m,0.4m,0.6m,025°,200°,009sec,003sec,0.00m/s,305°
INC.463702145 (9469.014),25.11.2019 02:04 Z,"22° 29' 52.80"" N","069° 50' 19.20"" E",202°,000.0 kn.,000.0 kn.,003.0m/s,026°,1012mb,0.7m,0.4m,0.6m,025°,200°,009sec,003sec,0.00m/s,305°
INC.463702145 (9469.014),24.11.2019 20:04 Z,"22° 29' 52.80"" N","069° 50' 19.20"" E",202°,000.0 kn.,000.0 kn.,004.0m/s,012°,1014mb,0.7m,0.4m,0.6m,015°,200°,010sec,003sec,0.00m/s,306°
INC.463702145 (9469.014),24.11.2019 14:04 Z,"22° 29' 52.80"" N","069° 50' 19.20"" E",202°,000.0 kn.,000.0 kn.,003.0m/s,012°,1012mb,0.8m,0.3m,0.7m,010°,190°,010sec,003sec,0.00m/s,306°
INC.463702145 (9469.014),24.11.2019 08:04 Z,"22° 29' 52.80"" N","069° 50' 19.20"" E",202°,000.0 kn.,000.0 kn.,004.0m/s,024°,1015mb,0.8m,0.4m,0.7m,020°,195°,010sec,003sec,0.00m/s,306°
INC.463702145 (9469.014),24.11.2019 02:04 Z,"22° 29' 52.80"" N","069° 50' 19.20"" E",202°,000.0 kn.,000.0 kn.,003.0m/s,026°,1013mb,0.8m,0.4m,0.7m,025°,200°,010sec,002sec,0.00m/s,306°
AIS.636013410.S-34,23.11.2019 20:50 Z,"22° 29' 52.22"" N","069° 50' 18.88"" E",129°,000.0 kn.,000.0 kn.,004.0m/s,022°,1015mb,0.8m,0.4m,0.7m,020°,190°,011sec,003sec,0.00m/s,308°
AIS.636013410.S-34,23.11.2019 20:20 Z,"22° 29' 52.22"" N","069° 50' 18.85"" E",090°,000.0 kn.,000.0 kn.,004.0m/s,022°,1015mb,0.8m,0.4m,0.7m,020°,190°,011sec,003sec,0.00m/s,308°
INC.463702145 (9469.014),23.11.2019 20:04 Z,"22° 29' 52.80"" N","069° 50' 19.20"" E",202°,000.0 kn.,000.0 kn.,004.0m/s,020°,1015mb,0.8m,0.4m,0.7m,020°,190°,011sec,003sec,0.00m/s,308°
AIS.636013410.S-34,23.11.2019 16:50 Z,"22° 29' 52.22"" N","069° 50' 18.96"" E",264°,000.0 kn.,000.0 kn.,004.0m/s,022°,1013mb,0.9m,0.4m,0.8m,020°,195°,011sec,003sec,0.00m/s,308°
INC.463702145 (9469.014),23.11.2019 14:04 Z,"22° 29' 52.80"" N","069° 50' 19.20"" E",202°,000.0 kn.,000.0 kn.,004.0m/s,022°,1013mb,0.9m,0.4m,0.8m,020°,190°,011sec,003sec,0.00m/s,308°
INC.463702145 (9469.014),23.11.2019 08:04 Z,"22° 29' 52.80"" N","069° 50' 19.20"" E",202°,000.0 kn.,000.0 kn.,004.0m/s,040°,1016mb,0.9m,0.4m,0.8m,045°,190°,011sec,002sec,0.00m/s,308°
INC.463702145 (9469.014),23.11.2019 02:04 Z,"22° 29' 52.80"" N","069° 50' 19.20"" E",202°,000.0 kn.,000.0 kn.,004.0m/s,028°,1014mb,0.8m,0.4m,0.7m,025°,190°,012sec,003sec,0.00m/s,308°
AIS.636013410.S-34,22.11.2019 22:50 Z,"22° 29' 52.26"" N","069° 50' 19.03"" E",287°,000.2 kn.,000.0 kn.,003.0m/s,020°,1015mb,0.8m,0.3m,0.7m,020°,190°,012sec,003sec,0.00m/s,310°
INC.463702145 (9469.014),22.11.2019 20:04 Z,"22° 29' 52.80"" N","069° 50' 19.20"" E",202°,000.0 kn.,000.0 kn.,003.0m/s,014°,1015mb,0.8m,0.3m,0.7m,015°,190°,012sec,003sec,0.00m/s,310°
AIS.636013410.S-34,22.11.2019 19:38 Z,"22° 29' 52.29"" N","069° 50' 18.92"" E",182°,000.0 kn.,000.0 kn.,003.0m/s,012°,1015mb,0.8m,0.3m,0.7m,015°,190°,012sec,003sec,0.00m/s,310°
AIS.636013410.S-34,22.11.2019 18:26 Z,"22° 29' 52.22"" N","069° 50' 18.96"" E",001°,000.1 kn.,000.0 kn.,003.0m/s,010°,1015mb,0.8m,0.3m,0.7m,010°,190°,012sec,003sec,0.00m/s,310°
AIS.636013410.S-34,22.11.2019 16:48 Z,"22° 29' 52.62"" N","069° 50' 18.92"" E",269°,000.2 kn.,000.9 kn.,003.0m/s,016°,1013mb,0.7m,0.2m,0.7m,015°,190°,012sec,003sec,0.00m/s,310°
AIS.636013410.S-34,22.11.2019 16:23 Z,"22° 30' 10.90"" N","069° 50' 06.43"" E",117°,001.5 kn.,005.1 kn.,003.0m/s,016°,1013mb,0.7m,0.2m,0.7m,015°,190°,012sec,003sec,0.00m/s,310°
AIS.636013410.S-34,22.11.2019 15:27 Z,"22° 32' 27.70"" N","069° 45' 33.58"" E",108°,006.7 kn.,005.7 kn.,003.0m/s,014°,1013mb,0.7m,0.2m,0.7m,010°,190°,012sec,003sec,0.00m/s,310°
AIS.636013410.S-34,22.11.2019 14:17 Z,"22° 38' 24.39"" N","069° 49' 03.97"" E",232°,007.8 kn.,007.2 kn.,003.0m/s,012°,1013mb,0.7m,0.2m,0.7m,010°,190°,011sec,003sec,0.00m/s,312°
INC.463702145 (9469.014),22.11.2019 14:04 Z,"22° 39' 00.00"" N","069° 50' 38.39"" E",270°,008.2 kn.,008.5 kn.,003.0m/s,012°,1013mb,0.7m,0.2m,0.7m,010°,190°,011sec,003sec,0.00m/s,312°
AIS.636013410.S-34,22.11.2019 13:53 Z,"22° 38' 48.84"" N","069° 52' 14.88"" E",287°,007.4 kn.,003.6 kn.,003.0m/s,012°,1013mb,0.7m,0.2m,0.7m,010°,190°,011sec,003sec,0.00m/s,312°
AIS.636013410.S-34,22.11.2019 13:01 Z,"22° 37' 13.65"" N","069° 55' 10.05"" E",229°,000.0 kn.,000.1 kn.,003.0m/s,008°,1013mb,0.7m,0.2m,0.7m,005°,190°,011sec,003sec,0.00m/s,312°
AIS.636013410.S-34,22.11.2019 12:13 Z,"22° 37' 10.34"" N","069° 55' 10.30"" E",008°,000.0 kn.,000.2 kn.,002.0m/s,026°,1016mb,0.7m,0.2m,0.7m,030°,190°,011sec,003sec,0.00m/s,312°
AIS.636013410.S-34,22.11.2019 11:22 Z,"22° 37' 03.97"" N","069° 55' 00.65"" E",321°,000.1 kn.,000.1 kn.,002.0m/s,028°,1016mb,0.7m,0.3m,0.6m,035°,190°,011sec,002sec,0.00m/s,312°
AIS.636013410.S-34,22.11.2019 10:31 Z,"22° 37' 06.06"" N","069° 54' 57.27"" E",162°,000.0 kn.,000.0 kn.,002.0m/s,030°,1016mb,0.7m,0.3m,0.6m,035°,190°,011sec,002sec,0.00m/s,312°
AIS.636013410.S-34,22.11.2019 09:43 Z,"22° 37' 06.31"" N","069° 54' 56.70"" E",355°,000.0 kn.,000.0 kn.,002.0m/s,034°,1016mb,0.7m,0.3m,0.6m,040°,190°,011sec,002sec,0.00m/s,312°
AIS.636013410.S-34,22.11.2019 08:52 Z,"22° 37' 05.88"" N","069° 54' 56.84"" E",319°,000.1 kn.,000.0 kn.,002.0m/s,036°,1016mb,0.7m,0.3m,0.6m,040°,190°,011sec,002sec,0.00m/s,312°
INC.463702145 (9469.014),22.11.2019 08:04 Z,"22° 37' 07.20"" N","069° 54' 57.60"" E",167°,000.0 kn.,000.5 kn.,002.0m/s,038°,1016mb,0.7m,0.3m,0.6m,045°,190°,011sec,002sec,0.00m/s,312°
AIS.636013410.S-34,22.11.2019 08:01 Z,"22° 37' 05.88"" N","069° 54' 56.73"" E",102°,000.0 kn.,000.0 kn.,002.0m/s,038°,1016mb,0.7m,0.3m,0.6m,045°,190°,011sec,002sec,0.00m/s,312°
INC.463702145 (9469.014),22.11.2019 02:04 Z,"22° 37' 12.00"" N","069° 55' 12.00"" E",162°,000.0 kn.,000.0 kn.,002.0m/s,358°,1013mb,0.7m,0.3m,0.6m,355°,190°,012sec,002sec,0.00m/s,312°
AIS.636013410.S-34,22.11.2019 00:01 Z,"22° 37' 10.01"" N","069° 55' 10.16"" E",283°,000.1 kn.,000.3 kn.,002.0m/s,358°,1013mb,0.7m,0.3m,0.6m,355°,190°,012sec,002sec,0.00m/s,312°
AIS.636013410.S-34,21.11.2019 23:43 Z,"22° 37' 05.44"" N","069° 55' 08.00"" E",071°,000.1 kn.,000.2 kn.,001.0m/s,004°,1015mb,0.7m,0.2m,0.6m,005°,190°,012sec,002sec,0.00m/s,314°
AIS.636013410.S-34,21.11.2019 22:52 Z,"22° 37' 03.43"" N","069° 54' 59.22"" E",024°,000.0 kn.,000.0 kn.,001.0m/s,002°,1015mb,0.7m,0.2m,0.6m,005°,190°,012sec,002sec,0.00m/s,314°
AIS.636013410.S-34,21.11.2019 22:01 Z,"22° 37' 04.15"" N","069° 54' 57.81"" E",129°,000.0 kn.,000.0 kn.,001.0m/s,002°,1015mb,0.7m,0.2m,0.6m,005°,190°,012sec,002sec,0.00m/s,314°
AIS.636013410.S-34,21.11.2019 21:13 Z,"22° 37' 04.79"" N","069° 54' 57.16"" E",039°,000.0 kn.,000.0 kn.,001.0m/s,002°,1014mb,0.7m,0.2m,0.6m,005°,190°,012sec,002sec,0.00m/s,314°
AIS.636013410.S-34,21.11.2019 20:19 Z,"22° 37' 05.30"" N","069° 54' 56.70"" E",217°,000.0 kn.,000.1 kn.,001.0m/s,000°,1014mb,0.6m,0.2m,0.6m,000°,185°,012sec,002sec,0.00m/s,314°
INC.463702145 (9469.014),21.11.2019 20:04 Z,"22° 37' 04.79"" N","069° 54' 57.60"" E",281°,000.0 kn.,000.0 kn.,001.0m/s,000°,1014mb,0.6m,0.2m,0.6m,000°,185°,012sec,002sec,0.00m/s,314°
AIS.636013410.S-34,21.11.2019 19:31 Z,"22° 37' 04.43"" N","069° 54' 57.41"" E",261°,000.0 kn.,000.0 kn.,001.0m/s,000°,1014mb,0.6m,0.2m,0.6m,000°,185°,012sec,002sec,0.00m/s,314°
AIS.636013410.S-34,21.11.2019 18:43 Z,"22° 37' 04.08"" N","069° 54' 57.74"" E",038°,000.0 kn.,000.0 kn.,001.0m/s,358°,1014mb,0.6m,0.2m,0.6m,000°,185°,012sec,002sec,0.00m/s,314°
AIS.636013410.S-34,21.11.2019 17:52 Z,"22° 37' 03.68"" N","069° 54' 58.17"" E",116°,000.0 kn.,000.0 kn.,001.0m/s,004°,1012mb,0.6m,0.2m,0.6m,005°,185°,011sec,002sec,0.00m/s,314°
AIS.636013410.S-34,21.11.2019 17:01 Z,"22° 37' 02.74"" N","069° 54' 59.97"" E",336°,000.0 kn.,000.1 kn.,001.0m/s,004°,1012mb,0.6m,0.2m,0.6m,005°,185°,011sec,002sec,0.00m/s,314°
AIS.636013410.S-34,21.11.2019 16:13 Z,"22° 37' 02.13"" N","069° 55' 03.00"" E",295°,000.0 kn.,000.2 kn.,001.0m/s,006°,1012mb,0.6m,0.2m,0.6m,010°,185°,011sec,002sec,0.00m/s,314°
AIS.636013410.S-34,21.11.2019 15:22 Z,"22° 37' 07.89"" N","069° 55' 10.41"" E",226°,000.0 kn.,000.1 kn.,001.0m/s,008°,1012mb,0.6m,0.2m,0.6m,010°,185°,011sec,002sec,0.00m/s,314°
AIS.636013410.S-34,21.11.2019 14:31 Z,"22° 37' 11.85"" N","069° 55' 10.41"" E",255°,000.0 kn.,000.0 kn.,001.0m/s,010°,1012mb,0.6m,0.2m,0.6m,010°,185°,011sec,002sec,0.00m/s,314°
INC.463702145 (9469.014),21.11.2019 14:04 Z,"22° 37' 12.00"" N","069° 55' 09.59"" E",113°,000.0 kn.,000.0 kn.,001.0m/s,012°,1012mb,0.6m,0.2m,0.6m,010°,185°,011sec,002sec,0.00m/s,314°
AIS.636013410.S-34,21.11.2019 13:40 Z,"22° 37' 12.79"" N","069° 55' 10.09"" E",112°,000.0 kn.,000.0 kn.,001.0m/s,012°,1012mb,0.6m,0.2m,0.6m,010°,185°,011sec,002sec,0.00m/s,314°
AIS.636013410.S-34,21.11.2019 12:52 Z,"22° 37' 12.57"" N","069° 55' 10.63"" E",259°,000.0 kn.,000.0 kn.,001.0m/s,016°,1012mb,0.6m,0.2m,0.6m,015°,185°,011sec,002sec,0.00m/s,314°
AIS.636013410.S-34,21.11.2019 12:01 Z,"22° 37' 13.29"" N","069° 55' 09.80"" E",229°,000.1 kn.,000.2 kn.,001.0m/s,020°,1014mb,0.7m,0.2m,0.7m,020°,185°,012sec,002sec,0.00m/s,314°
AIS.636013410.S-34,21.11.2019 11:10 Z,"22° 37' 16.24"" N","069° 55' 01.77"" E",116°,000.1 kn.,000.2 kn.,001.0m/s,024°,1014mb,0.6m,0.2m,0.6m,025°,190°,011sec,002sec,0.00m/s,314°
