Terminal,Date,Latitude,Longitude,Course,Speed,Average Speed,Wind Speed,Wind Direction,Pressure,Significant Wave Height,Wind Wave Height,Swell Height,Wind Wave Direction,Swell Direction,Swell Period,Wind Wave Period,Current Speed ,Current Direction 
AIS.636013411.S-19,15.07.2019 15:58 Z,"51° 29' 18.48"" N","000° 47' 35.62"" E",088°,016.1 kn.,016.2 kn.,002.0m/s,020°,1022mb,0.9m,0.4m,0.8m,025°,010°,006sec,003sec,1.43m/s,096°
AIS.636013411.S-19,15.07.2019 15:53 Z,"51° 29' 25.42"" N","000° 45' 22.92"" E",102°,016.5 kn.,016.4 kn.,003.0m/s,020°,1022mb,0.9m,0.4m,0.8m,030°,010°,006sec,003sec,0.82m/s,085°
AIS.636013411.S-19,15.07.2019 15:48 Z,"51° 29' 42.79"" N","000° 43' 10.98"" E",102°,016.5 kn.,016.5 kn.,003.0m/s,020°,1022mb,0.9m,0.4m,0.8m,030°,010°,006sec,003sec,0.85m/s,092°
AIS.636013411.S-19,15.07.2019 15:43 Z,"51° 29' 57.23"" N","000° 41' 01.15"" E",095°,016.5 kn.,016.7 kn.,003.0m/s,022°,1022mb,0.9m,0.4m,0.8m,035°,010°,006sec,003sec,1.06m/s,098°
AIS.636013411.S-19,15.07.2019 15:38 Z,"51° 30' 03.18"" N","000° 38' 46.23"" E",092°,016.5 kn.,016.2 kn.,003.0m/s,022°,1022mb,0.9m,0.4m,0.8m,-005°,010°,006sec,003sec,1.12m/s,097°
AIS.636013411.S-19,15.07.2019 15:33 Z,"51° 30' 06.92"" N","000° 36' 33.56"" E",092°,015.4 kn.,013.8 kn.,003.0m/s,022°,1022mb,0.9m,0.4m,0.8m,-005°,010°,006sec,003sec,1.07m/s,096°
AIS.636013411.S-19,15.07.2019 15:28 Z,"51° 30' 09.32"" N","000° 34' 41.88"" E",092°,011.1 kn.,007.7 kn.,003.0m/s,022°,1022mb,0.9m,0.4m,0.8m,-005°,010°,006sec,003sec,1.07m/s,092°
AIS.636013411.S-19,15.07.2019 15:23 Z,"51° 30' 13.49"" N","000° 33' 40.64"" E",111°,004.4 kn.,002.8 kn.,003.0m/s,022°,1022mb,0.9m,0.4m,0.8m,-005°,010°,006sec,003sec,0.98m/s,087°
AIS.636013411.S-34,15.07.2019 15:20 Z,"51° 30' 16.59"" N","000° 33' 29.76"" E",125°,001.0 kn.,001.1 kn.,003.0m/s,022°,1022mb,0.9m,0.4m,0.8m,-005°,010°,006sec,003sec,1.06m/s,086°
AIS.636013411.S-19,15.07.2019 15:18 Z,"51° 30' 19.23"" N","000° 33' 30.22"" E",205°,001.4 kn.,000.5 kn.,003.0m/s,022°,1022mb,0.9m,0.4m,0.8m,-005°,010°,006sec,003sec,1.08m/s,087°
AIS.636013411.S-19,15.07.2019 15:10 Z,"51° 30' 22.05"" N","000° 33' 33.22"" E",081°,000.1 kn.,000.0 kn.,003.0m/s,022°,1022mb,0.9m,0.4m,0.8m,-005°,010°,006sec,003sec,1.13m/s,088°
AIS.636013411.S-19,15.07.2019 15:07 Z,"51° 30' 22.00"" N","000° 33' 33.29"" E",081°,000.0 kn.,000.0 kn.,003.0m/s,022°,1022mb,0.9m,0.4m,0.8m,-005°,010°,006sec,003sec,1.18m/s,088°
AIS.636013411.S-19,15.07.2019 15:01 Z,"51° 30' 21.77"" N","000° 33' 33.47"" E",081°,000.0 kn.,000.0 kn.,003.0m/s,022°,1022mb,0.9m,0.4m,0.8m,-005°,010°,006sec,003sec,1.20m/s,088°
AIS.636013411.S-19,15.07.2019 14:55 Z,"51° 30' 21.90"" N","000° 33' 33.04"" E",081°,000.0 kn.,000.1 kn.,003.0m/s,022°,1022mb,0.9m,0.4m,0.8m,-005°,010°,006sec,003sec,1.27m/s,088°
AIS.636013411.S-19,15.07.2019 14:52 Z,"51° 30' 22.23"" N","000° 33' 33.12"" E",081°,000.0 kn.,000.0 kn.,003.0m/s,022°,1022mb,0.9m,0.4m,0.8m,-005°,010°,006sec,003sec,1.27m/s,088°
AIS.636013411.S-19,15.07.2019 14:46 Z,"51° 30' 22.14"" N","000° 33' 33.37"" E",081°,000.0 kn.,000.0 kn.,003.0m/s,022°,1022mb,0.9m,0.4m,0.8m,-005°,010°,006sec,003sec,1.28m/s,088°
