clusters,error,models,partitioners,var
21,4.60665273666,TensorFlowW,KMeansPartitioner,48.8776753839
22,211.612792969,TensorFlowW,KMeansPartitioner,48.8776753839
23,22.8724250793,TensorFlowW,KMeansPartitioner,48.8776753839
24,3.1085486412,TensorFlowW,KMeansPartitioner,48.8776753839
25,73.6103591919,TensorFlowW,KMeansPartitioner,48.8776753839
26,77.619102478,TensorFlowW,KMeansPartitioner,48.8776753839
27,63.8298568726,TensorFlowW,KMeansPartitioner,48.8776753839
28,8.40034389496,TensorFlowW,KMeansPartitioner,48.8776753839
29,69.9536895752,TensorFlowW,KMeansPartitioner,48.8776753839
1,6.99308923721,Analytical method,KMeansPartitioner,48.8776753839
1,1.70468261161,SplineRegressionModeler,KMeansPartitioner,46.8649846816
2,7.92455229922,SplineRegressionModeler,KMeansPartitioner,46.8649846816
3,8.34219584744,SplineRegressionModeler,KMeansPartitioner,46.8649846816
4,8.3313920051,SplineRegressionModeler,KMeansPartitioner,46.8649846816
5,8.55900155491,SplineRegressionModeler,KMeansPartitioner,46.8649846816
6,8.63160406246,SplineRegressionModeler,KMeansPartitioner,46.8649846816
7,8.63160406246,SplineRegressionModeler,KMeansPartitioner,46.8649846816
8,8.63160406246,SplineRegressionModeler,KMeansPartitioner,46.8649846816
9,8.63160406246,SplineRegressionModeler,KMeansPartitioner,46.8649846816
10,8.63160406246,SplineRegressionModeler,KMeansPartitioner,46.8649846816
11,8.63160406246,SplineRegressionModeler,KMeansPartitioner,46.8649846816
12,8.63160406246,SplineRegressionModeler,KMeansPartitioner,46.8649846816
13,8.6318576089,SplineRegressionModeler,KMeansPartitioner,46.8649846816
14,8.6318576089,SplineRegressionModeler,KMeansPartitioner,46.8649846816
15,8.6318576089,SplineRegressionModeler,KMeansPartitioner,46.8649846816
16,8.6318576089,SplineRegressionModeler,KMeansPartitioner,46.8649846816
17,8.6318576089,SplineRegressionModeler,KMeansPartitioner,46.8649846816
18,8.6318576089,SplineRegressionModeler,KMeansPartitioner,46.8649846816
19,8.6318576089,SplineRegressionModeler,KMeansPartitioner,46.8649846816
20,8.6318576089,SplineRegressionModeler,KMeansPartitioner,46.8649846816
21,8.6318576089,SplineRegressionModeler,KMeansPartitioner,46.8649846816
22,8.63494856751,SplineRegressionModeler,KMeansPartitioner,46.8649846816
23,8.63494856751,SplineRegressionModeler,KMeansPartitioner,46.8649846816
24,8.63494856751,SplineRegressionModeler,KMeansPartitioner,46.8649846816
25,8.63447435609,SplineRegressionModeler,KMeansPartitioner,46.8649846816
26,8.63447435609,SplineRegressionModeler,KMeansPartitioner,46.8649846816
27,8.63440979746,SplineRegressionModeler,KMeansPartitioner,46.8649846816
28,8.63447435609,SplineRegressionModeler,KMeansPartitioner,46.8649846816
29,8.63447435609,SplineRegressionModeler,KMeansPartitioner,46.8649846816
1,1.72493968793,LinearRegressionModeler,KMeansPartitioner,46.8649846816
2,4.03637581879,LinearRegressionModeler,KMeansPartitioner,46.8649846816
3,6.11438488351,LinearRegressionModeler,KMeansPartitioner,46.8649846816
4,5.67595749445,LinearRegressionModeler,KMeansPartitioner,46.8649846816
5,6.74757687938,LinearRegressionModeler,KMeansPartitioner,46.8649846816
6,8.64299742037,LinearRegressionModeler,KMeansPartitioner,46.8649846816
7,8.64299742037,LinearRegressionModeler,KMeansPartitioner,46.8649846816
8,8.64299742037,LinearRegressionModeler,KMeansPartitioner,46.8649846816
9,8.64299742037,LinearRegressionModeler,KMeansPartitioner,46.8649846816
10,8.64299742037,LinearRegressionModeler,KMeansPartitioner,46.8649846816
11,8.64299742037,LinearRegressionModeler,KMeansPartitioner,46.8649846816
12,8.64299742037,LinearRegressionModeler,KMeansPartitioner,46.8649846816
13,8.63607882351,LinearRegressionModeler,KMeansPartitioner,46.8649846816
14,8.63607882351,LinearRegressionModeler,KMeansPartitioner,46.8649846816
15,8.63607882351,LinearRegressionModeler,KMeansPartitioner,46.8649846816
16,8.63607882351,LinearRegressionModeler,KMeansPartitioner,46.8649846816
17,8.63607882351,LinearRegressionModeler,KMeansPartitioner,46.8649846816
18,8.63607882351,LinearRegressionModeler,KMeansPartitioner,46.8649846816
19,8.63607882351,LinearRegressionModeler,KMeansPartitioner,46.8649846816
20,8.63607882351,LinearRegressionModeler,KMeansPartitioner,46.8649846816
21,8.63607882351,LinearRegressionModeler,KMeansPartitioner,46.8649846816
22,8.64135449027,LinearRegressionModeler,KMeansPartitioner,46.8649846816
23,8.64135449027,LinearRegressionModeler,KMeansPartitioner,46.8649846816
24,8.64135449027,LinearRegressionModeler,KMeansPartitioner,46.8649846816
25,8.64482563019,LinearRegressionModeler,KMeansPartitioner,46.8649846816
26,8.64482563019,LinearRegressionModeler,KMeansPartitioner,46.8649846816
27,8.64550001436,LinearRegressionModeler,KMeansPartitioner,46.8649846816
28,8.64482563019,LinearRegressionModeler,KMeansPartitioner,46.8649846816
29,8.64482563019,LinearRegressionModeler,KMeansPartitioner,46.8649846816
1,8.63304663212,RandomForestModeler,KMeansPartitioner,46.8649846816
2,8.64265284974,RandomForestModeler,KMeansPartitioner,46.8649846816
3,8.62419689119,RandomForestModeler,KMeansPartitioner,46.8649846816
4,8.59492227979,RandomForestModeler,KMeansPartitioner,46.8649846816
5,8.62356476684,RandomForestModeler,KMeansPartitioner,46.8649846816
6,8.60478756477,RandomForestModeler,KMeansPartitioner,46.8649846816
7,8.59492227979,RandomForestModeler,KMeansPartitioner,46.8649846816
8,8.65223834197,RandomForestModeler,KMeansPartitioner,46.8649846816
9,8.62437305699,RandomForestModeler,KMeansPartitioner,46.8649846816
10,8.58609326425,RandomForestModeler,KMeansPartitioner,46.8649846816
11,8.6330984456,RandomForestModeler,KMeansPartitioner,46.8649846816
12,8.6049015544,RandomForestModeler,KMeansPartitioner,46.8649846816
13,8.65263212435,RandomForestModeler,KMeansPartitioner,46.8649846816
14,8.63315025907,RandomForestModeler,KMeansPartitioner,46.8649846816
15,8.63293264249,RandomForestModeler,KMeansPartitioner,46.8649846816
16,8.64375129534,RandomForestModeler,KMeansPartitioner,46.8649846816
17,8.61410362694,RandomForestModeler,KMeansPartitioner,46.8649846816
18,8.59572020725,RandomForestModeler,KMeansPartitioner,46.8649846816
19,8.61397927461,RandomForestModeler,KMeansPartitioner,46.8649846816
20,8.67194818653,RandomForestModeler,KMeansPartitioner,46.8649846816
21,8.62357512953,RandomForestModeler,KMeansPartitioner,46.8649846816
22,8.64305699482,RandomForestModeler,KMeansPartitioner,46.8649846816
23,8.65227979275,RandomForestModeler,KMeansPartitioner,46.8649846816
24,8.64294300518,RandomForestModeler,KMeansPartitioner,46.8649846816
25,8.61405181347,RandomForestModeler,KMeansPartitioner,46.8649846816
26,8.62385492228,RandomForestModeler,KMeansPartitioner,46.8649846816
27,8.65324352332,RandomForestModeler,KMeansPartitioner,46.8649846816
28,8.6430984456,RandomForestModeler,KMeansPartitioner,46.8649846816
29,8.64343005181,RandomForestModeler,KMeansPartitioner,46.8649846816
1,74.0045547485,TensorFlow,KMeansPartitioner,46.8649846816
1,44.3323440552,TensorFlowW,KMeansPartitioner,46.8649846816
2,1.94130837917,TensorFlowW,KMeansPartitioner,46.8649846816
3,30.8826332092,TensorFlowW,KMeansPartitioner,46.8649846816
4,27.9639453888,TensorFlowW,KMeansPartitioner,46.8649846816
5,24.6211700439,TensorFlowW,KMeansPartitioner,46.8649846816
6,20.5522766113,TensorFlowW,KMeansPartitioner,46.8649846816
7,70.5327224731,TensorFlowW,KMeansPartitioner,46.8649846816
8,2.42092347145,TensorFlowW,KMeansPartitioner,46.8649846816
9,66.1287231445,TensorFlowW,KMeansPartitioner,46.8649846816
10,2.56829094887,TensorFlowW,KMeansPartitioner,46.8649846816
11,51.6955795288,TensorFlowW,KMeansPartitioner,46.8649846816
12,60.2903213501,TensorFlowW,KMeansPartitioner,46.8649846816
13,16.918340683,TensorFlowW,KMeansPartitioner,46.8649846816
14,41.3024902344,TensorFlowW,KMeansPartitioner,46.8649846816
15,7.87138605118,TensorFlowW,KMeansPartitioner,46.8649846816
16,4.7861161232,TensorFlowW,KMeansPartitioner,46.8649846816
17,24.8952713013,TensorFlowW,KMeansPartitioner,46.8649846816
18,78.8552703857,TensorFlowW,KMeansPartitioner,46.8649846816
19,12.8030185699,TensorFlowW,KMeansPartitioner,46.8649846816
20,1.62365674973,TensorFlowW,KMeansPartitioner,46.8649846816
21,60.3474159241,TensorFlowW,KMeansPartitioner,46.8649846816
22,136.477371216,TensorFlowW,KMeansPartitioner,46.8649846816
23,9.20757389069,TensorFlowW,KMeansPartitioner,46.8649846816
24,13.9498567581,TensorFlowW,KMeansPartitioner,46.8649846816
25,3.39151906967,TensorFlowW,KMeansPartitioner,46.8649846816
26,715.260253906,TensorFlowW,KMeansPartitioner,46.8649846816
27,3.20804452896,TensorFlowW,KMeansPartitioner,46.8649846816
28,9.07304191589,TensorFlowW,KMeansPartitioner,46.8649846816
29,77.2660064697,TensorFlowW,KMeansPartitioner,46.8649846816
1,8.66253710276,Analytical method,KMeansPartitioner,46.8649846816
1,3.28807031304,SplineRegressionModeler,KMeansPartitioner,36.2208530844
2,3.85246300473,SplineRegressionModeler,KMeansPartitioner,36.2208530844
3,2.24086208838,SplineRegressionModeler,KMeansPartitioner,36.2208530844
4,2.78837374164,SplineRegressionModeler,KMeansPartitioner,36.2208530844
5,3.87735721035,SplineRegressionModeler,KMeansPartitioner,36.2208530844
6,3.82312390568,SplineRegressionModeler,KMeansPartitioner,36.2208530844
7,3.82312390568,SplineRegressionModeler,KMeansPartitioner,36.2208530844
8,3.88331911721,SplineRegressionModeler,KMeansPartitioner,36.2208530844
9,3.82312390568,SplineRegressionModeler,KMeansPartitioner,36.2208530844
10,2.96660351514,SplineRegressionModeler,KMeansPartitioner,36.2208530844
11,2.96660351514,SplineRegressionModeler,KMeansPartitioner,36.2208530844
12,2.96660351514,SplineRegressionModeler,KMeansPartitioner,36.2208530844
13,2.76213012707,SplineRegressionModeler,KMeansPartitioner,36.2208530844
14,2.76213012707,SplineRegressionModeler,KMeansPartitioner,36.2208530844
15,3.28508607154,SplineRegressionModeler,KMeansPartitioner,36.2208530844
