,Latitude,Longitude
22012,22.30755611619453,249.6871738998558
22013,22.30542452098523,249.6919757008407
22014,22.30328445728825,249.69679632051822
22015,22.30114552016691,249.7016141256755
22016,22.299013712738372,249.70641559960222
22017,22.29687463230848,249.71123318541893
22018,22.29474268156502,249.71603444050507
22019,22.292610672515416,249.7208355931489
22020,22.29047019617538,249.72565556341794
22021,22.28834405200912,249.73044298400663
22022,22.286208233384233,249.7352519218358
22023,22.284071151568302,249.74006345789937
22024,22.281911193453283,249.74492624584292
22025,22.279748763055785,249.74979432896254
22026,22.277581464454173,249.75467311566223
22027,22.27542971225384,249.75951665793352
22028,22.273280296594976,249.76435468747698
22029,22.271135615842837,249.76918179739994
22030,22.26896565077978,249.7740655561598
22031,22.266810040602728,249.77891677991886
22032,22.26463994292587,249.783800321145
22033,22.26246618215266,249.78869186397634
22034,22.260283951219147,249.79360221620806
22035,22.25810765122932,249.79849894268185
22036,22.25595049617534,249.80335231970852
22037,22.25382090275355,249.8081434380794
22038,22.25167323142766,249.81297498605272
22039,22.249509877738177,249.81784155401954
22040,22.247333238700005,249.82273773344508
22041,22.247333238699998,249.82273773344508
22042,22.247333238699998,249.82273773344508
22043,22.24517328289721,249.82759594041062
22044,22.24517328289721,249.82759594041062
22045,22.24517328289721,249.82759594041062
22046,22.24301572657375,249.8324486676918
22047,22.240857040290365,249.8373040594709
22048,22.238704294023897,249.84214583372506
22049,22.23655510531303,249.84697940506186
22050,22.234421475210123,249.85177774987557
22051,22.232282975750252,249.85658679641364
22052,22.230117988842238,249.86145517757905
22053,22.227962567281622,249.86630184787634
22054,22.225791469833823,249.8711835351907
22055,22.223632330802932,249.8760381038507
22056,22.22147914630064,249.8808790641318
22057,22.219318693226885,249.88573612861308
22058,22.217160585462445,249.89058768669793
22059,22.21498559441543,249.89547695727885
22060,22.212820156148812,249.90034451224295
22061,22.210659472443208,249.90520116149895
22062,22.208505941842255,249.91004150088492
22063,22.20632470591764,249.9149438567557
22064,22.204177069704247,249.91977048451832
22065,22.202004138014612,249.92465372867994
22066,22.199821530970482,249.92955847366156
22067,22.19764608305322,249.93444691165143
22068,22.19764608305322,249.93444691165143
22069,22.19764608305322,249.93444691165143
22070,22.19544168189493,249.93940003702699
22071,22.19324098153633,249.94434503213222
22072,22.191031805510484,249.94930882305042
22073,22.188838185197703,249.95423739334205
22074,22.186631273436106,249.95919555744487
22075,22.184419496301366,249.96416441686574
22076,22.182207661501092,249.96913316923326
22077,22.17999095741848,249.9741126142545
22078,22.17777179315404,249.97909735335554
22079,22.1755778259434,249.98402528505147
22080,22.17557782594339,249.98402528505147
22081,22.17557782594339,249.98402528505147
22082,22.173370518663454,249.9889827828727
22083,22.173370518663454,249.9889827828727
22084,22.173370518663454,249.9889827828727
22085,22.171163243939787,249.99394022032172
22086,22.168959663003953,249.99888952521837
22087,22.166734384343854,250.0038873240929
22088,22.166734384343854,250.0038873240929
22089,22.166734384343847,250.0038873240929
22090,22.16452822900792,250.00884178736192
22091,22.1623486058926,250.0137368177808
22092,22.160144866473544,250.01868573415703
22093,22.15793626214316,250.02364534442893
22094,22.155734815907678,250.02858865036828
22095,22.153551340905985,250.0334913512663
22096,22.15135337634621,250.03842634131814
22097,22.14915535973969,250.0433612283328
22098,22.14697772363605,250.04825011563486
22099,22.144775971047068,250.05319288317799
22100,22.142583778483747,250.05811394801748
22101,22.14040475605882,250.0630052143613
22102,22.138218451232618,250.06791256718378
22103,22.13602607777289,250.0728333122322
22104,22.133822823018132,250.07777824454377
22105,22.131606274459358,250.0827527575683
22106,22.129402892490514,250.08769747093595
22107,22.12720185848549,250.0926366801873
22108,22.127201858485492,250.0926366801873
