,Latitude,Longitude,x,y
43648,13.69,50.494933,5621070.229200467,1538674.853027834
43649,35.87936699999999,-5.80706,-646438.9622059873,4284035.127736651
43650,44.674633,-8.693908,-967801.4115635675,5570443.728389818
43651,49.19300000000001,-5.014283,-558187.4302533682,6307673.131933066
43652,37.432733,6.8557869999999985,763182.7178271445,4499597.060791254
43653,53.370633,4.543895,505824.07761810184,7051851.430929168
43654,16.198567,41.328767,4600697.2975538485,1827729.4170102323
43655,20.36725,69.85378299999999,7776087.55354383,2316587.8572332542
43656,18.2956,57.65216700000001,6417809.873568772,2072177.1905216686
43657,19.228317,39.829217,4433768.155134795,2181835.071791134
43658,13.92965,51.272983,5707682.3590121735,1566146.7098054024
43659,39.9892,-9.837455,-1095100.481301743,4864372.977029147
43660,51.561183,1.18591,132014.89732665106,6721167.319722869
43661,25.078183,57.319233,6380747.830221003,2885350.70377225
43662,47.688667,-6.763893,-752953.1245401875,6055215.524196424
43663,14.607067,53.279783,5931078.313136114,1643957.2208833913
43664,19.536717000000003,63.2025,7035670.116861873,2218228.7009326527
43665,54.10235,5.92351,659402.116908864,7189564.037787172
43666,51.4192,2.89879,322691.8267166335,6695783.030717023
43667,40.887467,-10.0852,-1122679.328548323,4995757.215010228
43668,12.2662,45.927883,5112668.548773047,1376018.759316874
43669,36.671733,-9.406868,-1047167.7557195397,4393448.8415964665
43670,36.676167,13.9942,1557827.218059229,4394064.254972772
43671,46.0054,-7.62345,-848638.5720879815,5781214.616273287
43672,32.89635,29.245,3255538.508249286,3881554.227000845
43673,19.888,63.89316700000001,7112554.815609593,2259767.698720867
43674,15.75925,54.6704,6085881.089464583,1776859.2678281872
43675,20.49125,69.828983,7773326.830172156,2331317.9421584597
43676,33.73125,27.2784,3036617.597655234,3992772.301244358
43677,24.765233,61.14745,6806902.997307156,2846936.2205794584
43678,22.002433,38.484383,4284061.919053314,2511817.348047653
43679,45.199233,-8.667943,-964911.0009851201,5652941.367288922
43680,18.8769,71.283367,7935228.116470042,2140448.231939945
43681,25.438367,56.9793,6342906.661757174,2929684.938403528
43682,37.712417,9.939075,1106412.7679561558,4538879.259451976
43683,15.9089,41.471617,4616599.286813668,1794175.2755801873
43684,16.149033,55.126533,6136657.582758592,1821988.0817712275
43685,24.47035,58.659033,6529893.68398583,2810827.947284059
43686,51.334583,2.11891,235875.98223677534,6680692.348016252
43687,36.1205,-7.181187,-799406.0801312759,4317214.679030027
43688,48.9966,-5.53966,-616672.1303678658,6274284.504833125
43689,36.268683,-3.509438,-390668.8511305644,4337654.997945606
43690,46.736467,-7.502882,-835217.003722018,5899164.364904139
43691,21.142167,66.442433,7396337.808626196,2408838.5793505837
43692,35.829633,18.9612,2110751.128829419,4277204.386420198
43693,43.449867,-9.600217,-1068691.2679449285,5380698.809381825
43694,51.3602,2.475625,275585.3143950979,6685257.966908113
43695,15.12995,53.937883,6004337.670027168,1704180.9769385508
43696,45.07045,-8.769222000000001,-976185.3276931721,5632619.223835934
43697,34.700183,24.982,2780983.5189975603,4123211.488160612
43698,24.05545,61.9686,6898312.997172054,2760166.390428803
43699,36.664,-0.416642,-46380.37528309109,4392375.631081829
43700,31.448367,32.3319,3599170.6443790416,3691116.0588226067
43701,37.65123300000001,9.154875,1019116.0232760704,4530273.216971113
43702,42.341767,-10.099617,-1124284.2216470893,5212312.764108423
43703,39.351933,-10.083667,-1122508.6757689368,4772209.064732638
43704,37.080117,3.326517,370306.17855516804,4450279.955104062
43705,43.525733,-9.541865,-1062195.5530181592,5392339.2265121965
43706,53.64335,9.522718,1060064.1187279406,7102898.329393673
43707,26.18395,55.87626700000001,6220117.589868997,3021881.8341431674
43708,17.800367,40.535833,4512428.288441175,2014195.0231345594
43709,34.76835,24.814,2762281.8445442906,4132445.2250133
43710,53.849333,3.962112,441060.2903059187,7141673.249415706
43711,35.356083,22.077783,2457687.5614043917,4212377.310168668
43712,51.353967,2.01293,224078.34260250416,6684146.848427938
43713,53.19425,4.507232,501742.77112714807,7019010.0536289625
43714,37.158417,12.403717,1380775.460383871,4461211.137476814
43715,24.012217,58.60555,6523939.983659735,2754896.8746772925
43716,22.735317,59.9253,6670853.881634157,2600040.9347190373
43717,21.91025,68.002033,7569951.686467385,2500753.0798548716
43718,19.970233,39.460717,4392746.922777475,2269504.9504057043
43719,15.028033,54.13565,6026352.99176288,1692431.054340593
43720,23.196583,37.541933,4179148.8649551934,2655809.401164792
43721,19.990367000000006,70.146733,7808698.598371719,2271889.800807297
43722,36.94045,2.259233,251496.66714335987,4430809.532509031
43723,12.273333,45.95075,5115214.091569016,1376831.3628580319
43724,18.851683,72.526533,8073616.722561553,2137481.749807449
43725,36.864133,1.7421400000000002,193934.13769059366,4420185.562236855
43726,53.13055,4.466833,497245.5750185906,7007182.740287029
43727,36.746267,0.990272,110236.57478683662,4403798.444868352
43728,36.237767,19.354417,2154523.8450406776,4333387.25842041
43729,51.87395,3.070818,341841.89607881877,6777366.008059925
43730,18.9216,71.081183,7912721.096543494,2145707.756408308
43731,19.2577,62.6163,6970414.631358856,2185299.5345902247
43732,34.652,25.09805,2793902.14590412,4116689.3239258924
43733,53.15626700000001,3.39279,377683.6551685106,7011955.557399839
43734,36.61805,-8.594692,-956756.7369650222,4386000.765246486
43735,51.4209,3.499492,389561.66747513454,6696086.496546092
43736,47.460717,-6.915392999999999,-769818.0273953684,6017601.734375414
43737,12.496983,46.662983,5194499.506455181,1402321.1867751093
43738,36.499167,-8.958898,-997299.963428877,4369525.155987091
43739,19.7836,63.688267,7089745.451946049,2247412.9196221204
43740,36.6935,-0.200938,-22368.315841018808,4396470.314829113
43741,36.9125,1.751112,194932.89616199085,4426917.423340393
43742,36.446467,15.468433,1721938.0849298693,4362229.728467524
43743,13.337483,49.382133,5497193.899845711,1498315.3746622065
43744,36.22375,-2.818262,-313727.4907620328,4331452.8648339
43745,29.5713,32.5319,3621434.5425376967,3448562.6265725503
43746,35.9217,-5.519805,-614461.8818781654,4289852.754574451
43747,15.922183,41.4657,4615940.609386644,1795712.873165948
43748,52.75196700000001,3.689792,410745.7665730945,6937249.666943119
43749,35.294033,22.495467,2504183.9315968896,4203911.194397871
43750,34.830217,24.61895,2740568.9778650627,4140832.1827810947
43751,14.175567,52.094517,5799135.105561534,1594366.6206736534
43752,51.137283,1.603652,178517.72404961477,6645613.51648392
43753,37.5377,7.9708130000000015,887306.8443684055,4514322.61037244
43754,15.730883,41.5557,4625959.363558039,1773578.3636972222
43755,21.553483,67.28205,7489803.545527572,2457999.220226516
43756,51.853617,1.969325,219224.2562064635,6773700.683892525
43757,24.59155,66.900083,7447283.173587739,2825658.5235151453
43758,24.7337,61.71771700000001,6870384.829363365,2843070.946248583
43759,12.7817,48.0755,5351740.179632024,1434802.9120138034
43760,51.367917,2.5601580000000004,284995.48491032573,6686633.838424498
43761,13.7657,42.463817,4727050.485578754,1547349.5413161095
43762,36.6182,14.197217000000002,1580426.9671216074,4386021.569288287
43763,16.86825,41.003583,4564497.98025973,1905493.941383373
43764,37.596533,8.531723,949747.0599492603,4522585.204723326
43765,18.496767,40.197233,4474735.508858573,2095777.0345758495
43766,34.326633,25.91985,2885384.503438032,4072745.6373202875
43767,15.9991,41.4281,4611754.996532817,1804618.541448887
43768,46.501083,-7.674060000000001,-854272.4515170291,5861014.97254652
43769,50.283017,-0.029628,-3298.1738732231097,6495434.434868558
43770,54.0311,7.949338000000001,884916.2583036199,7176048.463295446
43771,36.540133,-8.363397,-931009.0953419919,4375199.639272296
43772,52.670733,3.5388580000000003,393943.87054970255,6922323.1713800635
43773,36.5435,-9.147542,-1018299.7174500833,4375666.159334341
43774,13.964267,51.814567,5767971.214113956,1570117.312966239
43775,25.809833,55.29105,6154971.531425429,2975546.9464657237
43776,53.629133,4.858912,540891.6096493265,7100229.070711002
43777,18.567067,40.160217,4470614.90658737,2104030.778832825
43778,36.390567,16.517332999999994,1838701.0988229332,4354496.728844974
43779,18.432217,60.96103299999999,6786151.151791946,2088201.3664710217
43780,22.791267,59.891533,6667094.9563885415,2606795.3539410885
43781,21.566933,67.308167,7492710.87666862,2459609.108141093
43782,36.789433,13.604432999999998,1514438.5540912072,4409796.963287732
43783,48.2078,-6.326033,-704210.7723014448,6141495.23874689
43784,51.09895,1.503862,167409.152063354,6638815.53157311
43785,44.9658,-8.833115,-983297.8639184267,5616139.002071757
43786,37.792667,-9.83141,-1094427.5549798978,4550177.875164429
43787,37.73865,23.70965,2639346.1648867386,4542571.326990641
43788,36.898167,1.935468,215455.31220667562,4424922.069567521
43789,53.51201700000001,4.719828,525408.8495918348,7078274.544332997
43790,52.005267,3.895213,433613.1276913395,6801077.851580485
43791,44.3193,-9.343407,-1040103.3095143078,5514988.289691378
43792,21.26045,69.150717,7697822.604429767,2422961.7015915113
43793,49.618117,-0.308598,-34352.97221982264,6380401.227631456
43794,35.3183,22.343283,2487242.886210006,4207221.415667472
43795,25.305633,57.0577,6351634.109835365,2913331.697208695
43796,12.07865,44.711917,4977307.832831113,1354660.5933723066
43797,51.583183,1.260052,140268.34701304595,6725107.654054004
43798,36.41943300000001,-1.284168,-142952.92785301653,4358489.24968428
43799,50.086783,-2.391895,-266264.5334309771,6461318.714568615
43800,15.39125,41.723433,4644631.315707267,1734331.9531099964
43801,35.474117,21.314067,2372671.0851737163,4228499.875673164
43802,37.305033,5.599305,623311.7813962307,4481710.170409856
43803,36.338683,-2.938292,-327089.1692419494,4347324.26196552
43804,33.924267,26.939417,2998882.1827076576,4018637.4620780796
43805,47.956833,-6.510522,-724747.993838405,6099676.386347257
43806,24.307633,36.68,4083198.922297275,2790939.5878951824
43807,36.228533,-3.866087,-430370.8362024946,4332112.896100374
43808,26.00505,35.343733,3934446.3602934196,2999706.4210370844
43809,53.550367,5.368144999999998,597579.1679044573,7085456.929982349
43810,36.3363,-8.221158,-915175.1222910476,4346994.949817676
43811,37.5913,8.543895,951102.0407911962,4521850.0098669045
43812,12.57865,43.464967,4838497.99378644,1411634.4094604647
43813,37.028033,12.83755,1429069.5290331892,4443014.946583215
43814,24.186367,63.63973299999999,7084342.671779888,2776134.239685965
43815,47.003717,-7.30651,-813356.9726759614,5942680.802542721
43816,12.5362,43.57745,4851019.5440693395,1406793.085661336
43817,50.54165,0.116533,12972.39422061255,6540613.914207771
43818,53.98371700000001,8.40253999,935366.473056918,7167073.091639839
43819,53.982983,8.432938,938750.364051247,7166934.136398522
43820,38.459617,-10.042633,-1117940.7917837254,4644559.300510748
43821,21.976167,68.86445,7665955.507758849,2508664.0390065867
43822,26.581767,34.820133,3876159.4749140614,3071315.532209865
43823,26.31865,56.032633,6237524.173366377,3038600.937792999
43824,35.832567,-5.978685,-665544.1698133828,4277607.239238616
43825,34.72315,24.928733,2775053.863681475,4126321.691758101
43826,53.18063299999999,3.40593,379146.3932775343,7016480.280908707
43827,24.6136,36.406817,4052788.3298438955,2828358.202156058
43828,25.5287,55.036967,6126687.141246201,2940824.547480174
43829,36.679617,13.9826,1556535.9119660272,4394543.119415063
43830,36.72595,0.823685,91692.19477405756,4400976.281962667
43831,36.663733,14.054967,1564591.7695562637,4392338.577892283
43832,53.0924,4.41696,491693.7380542577,7000107.741886132
43833,37.185417,4.433202,493501.78922372195,4464983.13500674
43834,38.899483,-10.079883,-1122087.4428157748,4707283.58512896
43835,12.035133,45.2171,5033544.547148531,1349707.0307103128
43836,48.144667,-6.048623,-673329.6323604828,6130956.102850331
43837,19.060083,62.199833,6924053.736986654,2162010.993432542
43838,18.0588,40.40785,4498181.28605098,2044432.1301647616
43839,22.772883,37.868083,4215455.7168774195,2604575.6876843045
43840,12.511683,46.715533,5200349.345696368,1403997.3423141097
43841,45.7729,-8.21592,-914592.0307982723,5744030.674416703
43842,15.77305,41.537317,4623912.977358786,1778455.5302951508
43843,38.333567,-9.985092,-1111535.3569639896,4626655.403766312
43844,46.5502,-7.651382000000001,-851747.9481048193,5868961.83665844
43845,36.436133,15.629582999999998,1739877.2208712052,4360799.741556178
43846,34.035616999999995,26.52435,2952677.135622566,4033585.5222651022
43847,28.36935,33.212317,3697178.216504783,3295620.6869124114
43848,19.4939,63.093783,7023567.795781301,2213171.828301432
43849,14.07835,42.322233,4711289.426794278,1583206.9742517313
43850,17.255717,56.43296700000001,6282089.150393614,1950612.4273319878
43851,19.75745,63.634233,7083730.414580525,2244319.577559242
43852,13.076533,48.882233,5441545.286398154,1468477.3384141738
43853,37.054233,3.059962,340633.411686767,4446668.866415983
43854,36.289033,-7.979552,-888279.6653984477,4340465.096556752
43855,24.615167,36.4412,4056615.8278958416,2828550.074978866
43856,43.627717,-9.842675,-1095681.569043684,5408010.122665905
