12.799,-0.014,3.3953,-151.9,10.43
12.834,-0.034,1.389,-161.9,10.16
12.837,-0.014,2.0578,-146.7,10.46
12.811,-0.04,5.4531,-156.4,10.21
12.828,0.007,7.7681,-174.5,10.14
12.839,0.001,5.1959,-155.0,10.32
12.826,0.013,7.4594,-168.5,10.35
12.787,-0.005,6.482,-154.2,10.22
12.829,-0.045,8.797,-156.5,10.2
12.811,-0.027,6.9964,-145.5,10.3
12.818,-0.009,6.1733,-135.2,10.46
12.841,-0.007,9.5687,-155.9,10.32
12.803,-0.037,6.0704,-157.5,10.14
12.823,0.017,7.1508,-145.0,10.39
12.76,-0.108,9.1571,-152.2,10.29
12.845,0.05,4.9901,-129.0,10.44
12.372,0.131,8.1797,-55.1,10.39
12.309,0.449,2.4693,-342.0,10.49
11.934,-0.725,9.3629,-349.0,10.99
11.936,-0.71,9.26,-349.0,10.84
11.923,-0.748,7.7681,-354.0,10.78
11.931,-0.739,13.5813,-354.6,10.95
11.937,-0.713,13.89,-349.1,10.98
11.93,-0.738,7.7681,-234.1,10.98
12.13,0.816,13.1698,0.0,10.59
12.357,0.643,12.6553,-59.9,10.96
12.338,0.654,10.3918,-56.3,10.73
12.369,0.61,10.7519,-69.7,10.72
12.343,0.648,10.7519,-59.1,10.74
12.328,0.498,9.8773,-67.0,10.69
12.334,0.622,9.4658,-88.6,10.7
12.286,0.62,9.4658,-75.7,10.53
12.346,0.653,10.5976,-69.0,10.98
12.364,0.597,10.2889,-99.8,10.84
12.326,0.666,11.0606,-54.9,10.97
12.335,0.64,10.5976,-55.4,10.71
12.333,0.649,10.8548,-58.4,10.63
12.285,0.739,5.556,-33.6,10.64
12.27,0.768,4.7843,-33.6,10.54
12.253,0.77,9.1571,-25.4,10.52
12.291,0.72,8.4883,-21.8,10.51
12.279,0.669,6.6878,-22.5,10.52
12.304,0.697,8.4883,-25.0,10.73
12.278,0.763,8.6941,-22.5,10.74
12.277,0.778,8.4883,-22.5,10.52
12.248,0.809,9.26,-10.7,10.55
12.29,0.722,7.0993,-22.8,10.87
