draft,windDir,ws,stwC,swh,dt,lat,lon,currSpeed,currDir,sovg,vslHeading
11.29,13.822182208204282,12.94,15.716184210683554,2.46,2019-12-01 06:26:01.045783,37.585831,-9.62058,0.03,237.35218220820428,15.7,167.64781779179572
11.29,13.780580580261926,12.94,15.71620254738606,2.46,2019-12-01 07:25:53.871735,37.841247,-9.69087,0.03,237.31058058026193,15.7,167.68941941973807
11.29,19.69882382658173,13.35,15.23696878267194,2.84,2019-12-01 08:25:46.270115,38.096662,-9.76116,0.47,9.878823826581737,15.7,167.73117617341828
11.29,19.656557032012557,13.35,15.236909424247036,2.84,2019-12-01 09:25:38.264489,38.352078,-9.831449,0.47,9.836557032012564,15.7,167.77344296798745
11.29,28.614781410978537,13.93,15.236864965306468,3.06,2019-12-01 10:11:14.553653,38.546667,-9.885,0.47,9.804781410978563,15.7,167.80521858902145
11.29,32.072277848208216,13.93,15.242534843121561,3.06,2019-12-01 10:27:53.725210,38.616667,-9.91,0.47,13.262277848208242,15.7,164.34772215179177
11.29,43.05364319849738,14.8,15.715624191119087,3.36,2019-12-01 10:49:30.071306,38.708333,-9.938333,0.03,238.61364319849739,15.7,166.38635680150261
11.29,29.44,14.8,15.678786796564403,3.36,2019-12-01 11:56:18.939965,39,-9.938333,0.03,45.0,15.7,0.0
11.29,29.57989235908704,14.8,15.721161346476418,3.36,2019-12-01 12:56:12.131206,39.261411,-9.939154,0.03,225.13989235908704,15.7,179.86010764091296
11.29,36.829195821571716,12.12,15.230362611998888,2.12,2019-12-01 13:56:05.470359,39.522821,-9.939974,0.47,357.74919582157173,15.7,179.86080417842828
11.29,36.828834839258036,12.12,15.23036272830414,2.12,2019-12-01 14:55:58.985273,39.784232,-9.940795,0.47,357.74883483925805,15.7,179.86116516074196
11.29,36.82813384997556,12.12,15.230362954209827,2.12,2019-12-01 15:55:52.648695,40.045642,-9.941615,0.47,357.7481338499756,15.7,179.86186615002444
