FOC_pred,FOC_act,PERC,stw
58.05,57.71,0.59407085,16.87
62.21,61.03,1.9313319,17.16
35.5,34.51,2.8678985,13.75
71.39,66.01,8.147664,17.72
44.42,40.27,10.317501,15.19
24.73,24.8,0.2981232,12.26
26.9,28.78,6.5456786,12.68
94.23,97.65,3.5042086,20.22
53.33,51.51,3.5372858,15.93
37.89,36.08,5.0104904,14.94
50.88,54.07,5.8949666,15.55
30.77,32.06,4.017515,13.93
73.3,73.77,0.63242173,18.52
56.91,52.88,7.620189,16.69
59.9,55.66,7.6227465,16.74
67.81,67.82,0.012486919,17.44
30.7,30.2,1.6668584,13.85
45.31,38.62,17.321236,14.71
67.16,65.46,2.6003346,17.44
82.27,80.27,2.4928172,18.92
39.45,37.87,4.1662397,14.94
85.58,81.26,5.3134704,19.27
60.51,59.27,2.0945373,17.16
77.62,78.33,0.90729696,18.71
96.14,97.65,1.5416924,20.64
30.5,28.23,8.058517,12.66
75.07,73.38,2.2974274,18.6
26.16,24.67,6.0280952,12.91
72.6,71.72,1.2212988,17.92
29.27,27.67,5.7837124,13.44
85.14,83.53,1.9332883,18.9
68.94,69.46,0.7541853,17.82
27.92,28.6,2.369127,13.39
35.91,35.37,1.5355532,14.82
31.8,32.6,2.4443727,14.03
60.57,61.0,0.7098776,17.2
34.03,36.87,7.697111,14.7
80.12,74.65,7.323942,18.23
33.33,35.33,5.666245,14.02
31.12,31.1,0.064935714,13.95
25.2,22.34,12.80911,12.38
95.34,98.39,3.0982134,20.46
69.61,69.52,0.12915759,17.84
87.43,83.38,4.859251,19.03
54.88,52.4,4.741661,16.51
29.61,28.2,5.017132,12.66
89.6,81.73,9.634796,19.88
75.43,73.98,1.9650383,18.25
85.27,81.02,5.2464476,19.26
37.0,37.67,1.7668722,14.98
30.02,28.6,4.960507,12.43
84.3,81.64,3.262865,19.2
26.78,27.25,1.7111892,13.13
85.0,84.4,0.7157981,19.17
72.71,71.54,1.6385922,18.34
74.71,72.45,3.1201434,18.43
96.01,97.65,1.6766776,20.59
27.45,25.41,8.030448,13.34
73.56,69.59,5.7102604,18.03
70.56,72.21,2.2855537,17.82
82.82,77.2,7.27447,18.79
