FOC_pred,FOC_act,PERC,stw
28.44,26.67,6.6247215,13.53
33.2,31.65,4.9093103,13.35
51.33,51.87,1.0330571,15.22
30.16,28.54,5.6598463,13.68
30.18,30.86,2.2158558,12.27
35.7,36.46,2.088594,13.87
27.8,29.13,4.5586224,13.68
34.71,36.27,4.288437,13.7
34.85,35.66,2.2595289,13.69
28.44,27.4,3.792157,13.56
44.29,44.87,1.2853073,15.55
32.11,30.94,3.7697012,12.62
30.38,31.4,3.238915,12.06
27.24,27.36,0.43911543,12.73
28.0,27.53,1.713877,13.02
52.13,51.33,1.5626658,16.42
29.32,27.58,6.300239,13.63
39.59,39.88,0.7286856,14.35
33.8,35.5,4.7900133,13.46
51.15,53.2,3.846111,16.42
26.22,26.27,0.18019979,13.47
36.02,37.45,3.8267064,14.18
29.67,30.03,1.1965485,13.11
55.56,51.65,7.5674286,16.02
38.34,37.1,3.3474126,14.18
31.95,31.35,1.9071175,12.84
51.94,51.89,0.08910027,16.41
35.08,33.84,3.6579497,13.7
34.08,35.73,4.605214,13.75
27.86,27.28,2.1190588,12.95
47.83,44.66,7.104997,15.74
29.16,27.9,4.519172,12.96
31.36,28.13,11.47135,13.75
33.46,33.97,1.509203,13.43
29.3,29.97,2.242379,12.9
32.22,31.64,1.8267866,13.23
28.16,27.95,0.75065595,13.84
32.51,31.37,3.6401658,13.24
33.04,33.87,2.4535139,13.36
49.55,50.24,1.3727367,15.46
33.06,34.13,3.1485167,13.35
36.21,35.47,2.0922005,14.35
49.43,50.93,2.9484246,16.14
29.73,28.91,2.8360713,13.64
27.49,27.02,1.7315223,12.82
30.45,32.04,4.9493313,12.96
27.75,27.14,2.2439318,13.74
39.96,34.72,15.092906,14.85
33.23,36.58,9.170478,14.72
30.1,27.67,8.790471,13.66
32.03,31.78,0.7905894,13.03
32.09,33.18,3.2984369,13.14
53.6,53.54,0.11989863,16.54
35.22,35.67,1.2576417,13.81
29.07,27.55,5.519459,13.54
29.24,29.53,0.9777664,12.72
36.71,36.4,0.8388246,14.12
34.07,34.1,0.096072204,13.47
33.11,32.25,2.653669,13.42
44.8,45.71,1.9941661,14.85
26.86,28.45,5.5892153,12.72
35.29,36.79,4.0763445,13.78
36.6,37.58,2.6174629,14.0
29.76,29.24,1.7639322,13.09
28.37,27.4,3.55708,13.64
53.76,50.43,6.599993,15.58
36.23,36.8,1.5520428,13.95
26.97,27.04,0.2586771,12.5
38.69,38.6,0.24149208,13.86
33.9,32.31,4.912978,13.53
62.26,65.95,5.59702,16.83
28.66,27.13,5.6508703,13.04
35.64,36.04,1.1070454,13.36
36.45,35.48,2.7239068,13.51
48.38,45.62,6.0419807,16.01
30.66,28.75,6.6552005,12.64
28.57,28.39,0.63447726,12.14
36.04,36.15,0.2908245,13.91
36.51,37.38,2.3163824,13.99
28.33,26.73,6.002054,13.43
27.01,26.2,3.1048067,13.66
30.97,29.85,3.7683458,13.55
30.97,29.87,3.6978939,12.82
33.57,32.27,4.0161657,13.4
31.26,33.05,5.413361,13.53
31.99,30.4,5.2275343,13.18
29.02,27.68,4.845568,13.63
34.23,34.69,1.3218273,13.59
28.33,26.2,8.140236,13.58
37.2,38.06,2.2696545,13.88
27.36,26.05,5.018465,13.74
