'draft','windDir','ws','stwC','swh','dt',lat,lon,'currSpeed','currDir','sovg','vslHeading'
12.76,222.85,13.44,17.2021109886215,5.79,2019-11-20 09:46:02,37.226188,156.427989,0.99,13.55,18.1754284639955,75.3264495519988
12.76,231.28,13.44,17.6899720683641,5.93,2019-11-20 10:46:14,37.324263,156.802533,2.98,294.44,18.7876669128314,75.3264120655019
12.76,231.28,13.44,17.5547213962515,5.93,2019-11-20 11:46:21,37.422338,157.177076,2.98,294.44,18.7876669128314,75.3264495519988
12.76,223.62,16.45,17.6899720683641,6.1,2019-11-20 12:46:23,37.520413,157.551620,0.99,13.55,18.7876669128314,75.326592710975
12.76,226.35,15.03,18.0000332285658,3.87,2019-11-20 13:46:22,37.618487,157.926164,0.71,329.67,18.7876669128314,75.3264495519988
12.76,226.35,15.03,18.174843716655,3.87,2019-11-20 14:46:16,37.716562,158.300708,0.71,329.67,18.7876669128314,75.3264202468531
12.76,218.89,15.47,18.3781130779422,4.05,2019-11-20 15:59:11,37.836096,158.757202,1.99,84.05,18.7876669128314,81.2328263429527
12.76,219.66,15.23,18.4336156988725,4.2,2019-11-20 16:59:27,37.895093,159.139749,1.92,98.19,18.4,81.2329951993888
12.76,221.07,14.9,18.5246581712564,4.07,2019-11-20 17:59:40,37.954089,159.522297,0.03,323.77,18.4,81.2328263429527
12.76,221.07,14.9,18.3758004711659,4.07,2019-11-20 18:59:51,38.013086,159.904844,0.03,323.77,18.4,81.2329951993888
12.76,226.3,13.68,18.3758004711659,6.14,2019-11-20 19:59:59,38.072082,160.287392,0.03,323.77,18.4,81.2328263429527
12.76,228.55,12.85,18.6184565071821,6.41,2019-11-20 21:00:04,38.131079,160.669939,0.47,191.16,18.4,81.2328489047342
12.76,228.55,12.85,18.8611125431984,6.41,2019-11-20 22:00:06,38.190076,161.052487,0.47,191.16,18.4,81.232972637972
12.76,234.7,13.01,18.6184565071821,5.89,2019-11-20 23:00:05,38.249072,161.435034,0.03,323.77,18.4,81.2328489047342
12.76,231.55,13.88,18.6184565071821,6.52,2019-11-21 00:00:02,38.308069,161.817582,0.47,191.16,18.4,81.2328263429527
12.76,231.55,13.88,18.8611125431984,6.52,2019-11-21 00:59:55,38.367066,162.200129,0.47,191.16,18.4,81.2329951993888
12.76,226.33,13.62,18.8611125431984,6.35,2019-11-21 01:59:46,38.426062,162.582677,0.47,191.16,18.4,81.2328263429527
12.76,226.33,13.62,18.8611125431984,6.35,2019-11-21 02:59:34,38.485059,162.965224,0.47,191.16,18.4,81.2329211662296
12.76,221.2,13.79,18.8638046172349,6.01,2019-11-21 04:13:19,38.557877,163.437394,0.47,187,18.4,85.3930111419206
12.76,219.08,13.65,18.1200590216229,5.39,2019-11-21 05:13:25,38.589307,163.827437,0.99,3.49,18.380892667896,85.3931688505727
12.76,219.08,13.65,17.3927286840785,5.39,2019-11-21 06:13:30,38.620736,164.217481,0.99,3.49,18.380892667896,85.3930111419206
12.76,220.73,14.18,17.3927286840785,5.41,2019-11-21 07:13:33,38.652166,164.607524,0.99,3.49,18.380892667896,85.3930229025361
12.76,219.01,13.78,17.1689547189475,5.4,2019-11-21 08:13:35,38.683596,164.997568,1.55,22.14,18.380892667896,85.3930111419206
12.76,219.01,13.78,16.9451807538164,5.4,2019-11-21 09:13:35,38.715026,165.387611,1.55,22.14,18.380892667896,85.3931570903266
12.76,219,14.58,16.9451807538164,5.6,2019-11-21 10:13:33,38.746455,165.777654,1.55,22.14,18.380892667896,85.3930229025361
12.76,221.97,14.27,17.2087839227031,5.12,2019-11-21 11:13:30,38.777885,166.167698,1.37,48.46,18.380892667896,85.3930111419206
12.76,221.78,14.38,17.9152151085299,5.28,2019-11-21 12:13:25,38.809315,166.557741,0.03,319.61,18.380892667896,85.3931400141787
12.76,225,14.38,18.3575152010403,5.28,2019-11-21 12:55:35,38.831436,166.832268,0.03,322.83,18.380892667896,82.1718855581693
12.76,226.5,12.31,18.6132288302497,4.85,2019-11-21 13:55:41,38.884774,167.220229,0.47,190.22,18.3939100984554,82.1718855581693
12.76,225.96,13.59,18.6132288302497,4.85,2019-11-21 14:55:45,38.938112,167.608190,0.03,322.83,18.3939100984554,82.1718855581693
12.76,225.96,13.59,18.37000470717,4.85,2019-11-21 15:55:46,38.991450,167.996151,0.03,322.83,18.3939100984554,82.1718855581693
12.76,225.35,12.06,18.3375456343294,4.62,2019-11-21 16:55:44,39.044788,168.384112,0.51,280.03,18.3939100984554,82.1718855581693
12.76,223.32,12.46,18.0957284068073,4.79,2019-11-21 17:55:40,39.098126,168.772073,0.51,5.63,18.3939100984554,82.1717538202274
12.76,217.69,12.46,17.8851401752906,4.79,2019-11-21 18:37:53,39.135719,169.045506,0.51,360,18.3939100984554,87.8049326315113
12.76,220.6,11.71,18.1339940520325,4.8,2019-11-21 19:37:57,39.150861,169.440550,0.03,317.2,18.4,87.8049326315113
12.76,218.14,12.41,18.1543936130341,4.89,2019-11-21 20:38:01,39.166003,169.835594,1.08,64.25,18.4,87.8049326315113
12.76,218.14,12.41,17.9307991220032,4.89,2019-11-21 21:38:05,39.181145,170.230638,1.08,64.25,18.4,87.8049326315113
12.76,213.23,11.92,18.1543936130341,4.8,2019-11-21 22:38:07,39.196287,170.625682,0.03,317.2,18.4,87.8049326315113
12.76,213.23,11.92,18.3779881040649,4.8,2019-11-21 23:38:09,39.211429,171.020726,0.03,317.2,18.4,87.8049326315113
12.76,213.23,11.92,18.3779881040649,4.8,2019-11-22 00:38:10,39.226571,171.415770,0.03,317.2,18.4,87.8047878078473
12.76,212.54,10.2,18.1285199501339,4.6,2019-11-22 01:38:10,39.241714,171.810814,0.71,317.2,18.4,87.8049326315113
12.76,212.54,10.2,17.879051796203,4.6,2019-11-22 02:38:09,39.256856,172.205858,0.71,317.2,18.4,87.8049326315113
12.76,204.82,11.13,17.644613833673,4.76,2019-11-22 03:38:08,39.271998,172.600902,0.99,1.08,18.4,87.8049326315113
12.76,205.07,9.57,17.6500879355715,4.53,2019-11-22 04:38:06,39.287140,172.995946,0.51,360,18.4,87.8049326315113
12.76,205.07,9.57,17.89,4.53,2019-11-22 05:38:03,39.302282,173.390990,0.51,360,18.4,87.8049355458867
12.76,209.62,11.11,17.9268099332819,4.74,2019-11-22 06:56:18,39.322053,173.906802,0.69,50.77,18.4,81.9353837177848
12.76,198.71,8.57,18.1411727133285,4.39,2019-11-22 07:56:26,39.377913,174.301040,0.69,50.77,18.5775528467648,81.9355261904737
12.76,208.17,9.53,18.3825804807212,4.55,2019-11-22 08:56:30,39.433772,174.695278,0.47,95.67,18.5775528467648,81.9353837177848
12.76,208.17,9.53,18.6239882481139,4.55,2019-11-22 09:56:32,39.489632,175.089516,0.47,95.67,18.5775528467648,81.9355261904737
12.76,199.82,6.59,18.6239882481139,4.23,2019-11-22 10:56:31,39.545491,175.483754,0.47,95.67,18.5775528467648,81.9353635306354
12.76,207.04,7.94,18.5887815680706,4.32,2019-11-22 11:56:27,39.601351,175.877991,0.03,323.06,18.5775528467648,81.9354716013244
12.76,205.27,7.94,18.5538590483457,4.32,2019-11-22 13:04:26,39.664763,176.325533,0.03,321.29,18.5775528467648,83.7050183858577
12.76,192.92,6.92,18.0793964244986,4.03,2019-11-22 14:04:35,39.707638,176.714202,0.03,321.29,18.1028060625993,83.7050023195859
12.76,192.92,6.92,18.0793964244986,4.03,2019-11-22 15:04:42,39.750513,177.102870,0.03,321.29,18.1028060625993,83.7050183858577
12.76,192.92,6.92,18.0793964244986,4.03,2019-11-22 16:04:46,39.793388,177.491539,0.03,321.29,18.1028060625993,83.7050023195859
