STARTING PORT,DESTINATION PORT,COUNT
Texas City , Jorf Lasfar,1
Montreal , COME BY CHANCE,1
"BALBOA,PANAMA ", BALBOA,1
MANZANILLO , MAZATLAN,1
LAZARO CARDENAS , MANZANILLO,1
"CRISTOBAL ,PANAMA "," BALBOA, PANAMA",1
HOUSTON ," CRISTOBAL,PANAMA",1
HOUSTON , HOUSTON ,1
PARANAGUA , ALGECIRAS,1
"GHENT, BELGIUM ", GHENT,1
COME BY CHANCE , New Jersey,1
PIRAEUS , DARDANELLES,1
GARYVILLE , MOHAMMEDIA,1
DARDANELLES , El Dekheila,1
Novorossiysk , BOSPHOROUS,1
PERAMA , DARDANELLES,1
AT SEA , PERAMA,1
AT SEA , AT SEA DRIFTING,1
GIBRALTAR , LAVERA,1
MOHAMMEDIA , GIBRALTAR,1
GARYVILLE , NEW ORLEANS,1
New Jersey , Rotterdam,1
SAN JUAN (PUE) , HOUSTON,1
PORTLAND (UK) , SAN JUAN (PUE),1
Scheveningen , PORTLAND (UK),1
Skaw , Scheveningen,1
Klaipeda , SKAGEN,1
SKAGEN , Ventspils,1
SKAW , SKAGEN,1
DARDANELLES , YALOVA,1
"MACAPA,BRAZIL "," AMAZON RIVER, BRAZIL",1
AL KHUMS , PIRAEUS,1
SINGAPORE , Singapore OPL,1
"Vizag, India ", Visakhapatnam,1
"Sitra, Bahrain ", SITRA,1
BAHRAIN ," Sitra, Bahrain",1
"Jebel, Ali ", JEBEL ALI,1
FUJAIRAH , JEBEL ALI,1
SOHAR , FUJAIRAH,1
COCHIN , SOHAR,1
TAIWAN STRAIT , SINGAPORE,1
AMSTERDAM ,   ANCH.AMSTERDAM,1
HONG KONG , TAIWAN STRAIT,1
SINGAPORE , HONG KONG,1
Mailiao , SINGAPORE,1
Mailiao , HONG KONG,1
Zhuhai , HONG KONG,1
Nantong , Zhuhai,1
SINGAPORE , Nantong,1
Visakhapatnam ," Vizag, India",1
Visakhapatnam , HALDIA,1
HALDIA , FUJAIRAH,1
NEW MANGALORE , FUJAIRAH,1
HOUSTON , AMSTERDAM,1
HOUSTON , NOON,1
 IN PORT HOUSTON , Houston,1
HOUSTON , ANCH.HOUSTON,1
Florida canaveral , PORT CANAVERAL,1
Point Tupper , PORT CANAVERAL,1
PUNTA CARDON , NEW YORK,1
PUERTO LA CRUZ , PUNTA CARDON,1
BORDEAUX , ROTTERDAM,1
BILBAO , BORDEAUX,1
VENTSPILS , Stonoway,1
FUJAIRAH , SUEZ,1
KHOR AL JUBAIR , Ras Laffan,1
KHOR AL JUBAIR , Az Zubayr,1
FUJAIRAH , JUBAIL,1
SUEZ , SINGAPORE,1
MALTA (GRAND HARBOUR) , SUEZ,1
Antwerp , MALTA (GRAND HARBOUR),1
YANBU , Rabigh,1
Jubail , AQABA,1
BANDAR ABBAS , Jubail,1
Bandar Imam Khomeini , BANDAR ABBAS,1
FUJAIRAH , Bandar Imam Khomeini,1
BAHIA BLANCA , FUJAIRAH,1
ZONA COMUN , BAHIA BLANCA,1
"San Lorenzo, Argentina ", ZONA COMUN,1
Zarate ," San Lorenzo, Argentina",1
Charlie Zone TSA; Rio De La Pl , Zarate,1
ROTTERDAM , Charlie Zone TSA; Rio De La Pl,1
GIBRALTAR , ROTTERDAM,1
SUEZ , GIBRALTAR,1
PANJANG , SUEZ,1
SINGAPORE , PANJANG,1
KUANTAN , SINGAPORE,1
AQABA , YANBU,1
Rabigh , SUEZ,1
BROFJORDEN , ROTTERDAM,1
SUEZ , MALTA,1
COTONOU , BROFJORDEN,1
AMSTERDAM , Cotonou,1
ROTTERDAM , AMSTERDAM,1
HOUSTON , ROTTERDAM,1
NEW YORK , HOUSTON,1
BOSTON (USA) , NEW YORK,1
COME BY CHANCE , BOSTON (USA),1
BOSTON , COME BY CHANCE,1
ST. CROIX , BOSTON,1
NEW YORK , ST. CROIX,1
FREEPORT (BAH) , NEW YORK,1
JACKSONVILLE , FREEPORT (BAH),1
AMSTERDAM , JACKSONVILLE,1
ALGECIRAS , AMSTERDAM,1
MALTA , ALGECIRAS,1
ANCH.AMSTERDAM , AMSTERDAM,1
AMSTERDAM , IN PORT AMSTERDAM,1
FAWLEY , LOME,1
LOME , DAKAR,1
CORPUS CHRISTI , TUXPAN,1
BALBOA , Beaumont,1
BALBOA , PANAMA,1
BALBOA , PUERTO QUETZAL,1
CRISTOBAL , BALBOA,1
HOUSTON , Balboa,1
FREETOWN , BILBAO,1
GIBRALTAR , LOME,1
Togo Lome , Togo Lome Anch.,1
LIMASSOL OPL , LIMASSOL,1
DARDANELLES , KUMKALE,1
GELIBOLU , DARDANELLES,1
BOSPHOROUS , ISTANBUL,1
BOZCAADA , DARDANELLES,1
BOSPHOROUS , Bosporus ,1
BOZCAADA / KUMKALE , DARDANELLES,1
TUXPAN , HOUSTON,1
HOUSTON , Houston R/V Position,1
HOUSTON R/V POSITION , HOUSTON,1
HURD BANK , SINES,1
FALMOUTH , FAWLEY,1
MACAPA , FALMOUTH,1
SANDAKAN , KUANTAN,1
MACAPA ," Macapa, Brazil",1
"AMBROSE ANCH,NY ", NEW YORK,1
"New York,U.S.A. Anch. ", NEW YORK,1
"SKAGEN, DENMARK ", SKAW,1
PRIMORSK , SKAW,1
VENTSPILS , ANTWERP,1
SKAW , VENTSPILS,1
FALMOUTH , SKAW,1
FALMOUTH , tongue anch. london,1
MONTREAL ," MONTREAL, CANADA",1
Mississippi River , BATON ROUGE,1
PORT EVERGLADES , BATON ROUGE,1
MALTA , DARDANELLES,1
DARDANELLES , MALTA,1
DARDANELLES , GELIBOLU ANCHORAGE,1
"MALTA, ANCHOR ", MALTA DRIFTING,1
RAS LANUF , RAS LANUF OPL DRIFTING,1
Malta (Grand Harbour) , RAS LANUF,1
"Boscaada ,Turkey Anchorage ", DARDANELLES,1
DARDANELLES ," Gelibolou ,Turkey Anchorage",1
DARDANELLES ," Boscaada, Turkey",1
"Tubroch, Libya ", TOBRUK,1
Malta (Grand Harbour) , ALGIERS,1
DARDANELLES , Malta (Grand Harbour),1
DARDANELLES , GELIBOLOU,1
Istanbul  , BOSPHOROUS,1
DARDANELLES , CANACALE ANCHORAGE,1
LAVERA ANCH. , LAVERA FRANCE,1
Zawia , LAVERA,1
DEP.DRIFTING , GIBRALTAR,1
LAGOS , AT SEA DRIFTING,1
RAS LANUF OPL ," RAS LANUF, LIBYA  JETTY",1
OPL MALTA , MALTA ANCHORAGE,1
BOSPHOROUS , GELIBOLU,1
MALTA DRIFTING , Malta ,1
KUMKALE ANCHORAGE , DARDANELLES,1
DARDANELLES , Gelibolu,1
BOSPHOROUS , ISTANBUL ,1
Boscaada drifitng , DARDANELLES,1
ISTANBUL ,drift area ,1
DARDANELLES , KUMKALE Turkey ,1
Gelibulo Anchor area , DARDANELLES,1
iSTANBUL ,bosporus drift area ,1
BOSPHOROUS , ISTANBUL DRIFT AREA,1
BOSCAADA OPL ,MANEUV ,1
ISTANBUL DRIFTING , BOSPHOROUS,1
DARDANELLES ," BOSCAADA , TURKEY DRIFT",1
STA. PANAGIA ANCHORAGE , PANAGIA ANCHORAGE,1
Malta (Grand Harbour) , Santa Panagia,1
MALTA OPL  , MALTA OPL,1
GALVESTON , CORPUS CHRISTI,1
