STARTING PORT,DESTINATION PORT,COUNT
Lome , GIBRALTAR,1
GIBRALTAR , Dardanelles ,1
Bozcaada  , Dardanelles ,1
IZMIT , Dardanelles ,1
DARDANELLES Anchorage #6 , Dardanelles ,1
Qinzhou , Singapore,1
Skaw , ALGECIRAS,1
FUJAIRAH , Sitra,1
COLOMBO , FUJAIRAH,1
"JOSE TERMINAL, VENEZUELA ", CRISTOBAL,1
BALBOA ," LONG BEACH, USA",1
"LONG BEACH, USA ", LONG BEACH,1
LAZARO CARDENAS , P.L.A.,1
P.L.A. , BALBOA,1
SWPASS , Mount Airy,1
mount airy , NEW ORLEANS,1
SWPASS , St. Eustatius,1
St Eustatius , TRINIDAD,1
TRINIDAD , MUNDRA,1
COCHIN , CHITTAGONG,1
CHITTAGONG , HALDIA,1
Jebel Dhanna , Ruwais ,1
Aspropyrgos , Skikda,1
FUJAIRAH , AL JUBAIL,1
YANBU , TANJUNG PELEPAS,1
SINGAPORE , FUJAIRAH,1
SIKKA , KHORFAKKAN,1
Rabigh , SINGAPORE,1
SINGAPORE , TANJUNG PELEPAS,1
RAS TANURA , YANBU,1
LIMASSOL , KALAMATA,1
KALAMATA , GIBRALTAR,1
NEW YORK , BAHIA BLANCA,1
BUENOS AIRES , Angra dos Reis,1
Angra dos Reis , RIO DE JANEIRO,1
PHILADELPHIA , PHILADELPHIA ,1
PUERTO MIRANDA ," PAULSBORO, USA",1
SLAGEN , PUERTO MIRANDA,1
SKAW , SLAGEN,1
SUEZ , DAESAN,1
DAESAN , SINGAPORE,1
"JAMNAGAR, SIKKA ", SUEZ,1
GIBRALTAR , AMUAY BAY,1
AMUAY BAY , EL PALITO,1
EL PALITO , GIBRALTAR,1
GIBRALTAR , KALAMATA,1
KALAMATA , PORT SAID,1
SUEZ , SIKKA,1
NEW YORK , BANTRY BAY,1
BANTRY BAY , FALMOUTH,1
FALMOUTH , LA HAVRE,1
LE HAVRE , GIBRALTAR,1
GIBRALTAR , PORT SAID,1
SUEZ , YANBU,1
YANBU , FUJAIRAH,1
FUJAIRAH , MESAIEED,1
MESAIEED , ASSALUYEH,1
ASSALUYEH , SINGAPORE,1
SINGAPORE , OITA,1
OITA , SINGAPORE,1
PORT SAID , MALTA,1
MALTA , GIBRALTAR,1
NEW YORK , PORTLAND,1
PORTLAND , SKAW,1
FALMOUTH , ROTTERDAM,1
GIBRALTAR , NEW ORLEANS,1
LIMASSOL , PORT SAID,1
SOHAR , KARACHI,1
PUERTO BARRIOS , EL PALITO,1
FREEPORT , GIBRALTAR,1
PIRAEUS , Dardanelles ,1
Bosphoros , S bound ,1
Turkish Straits , Dardanelles ,1
AQUABA , AQABA,1
AQABA , KHOR FAKKAN,1
MOMBASA , Vadinar,1
VADINAR , JEDDAH,1
JEDDAH , AQABA,1
AQABA , SUEZ,1
FUJAIRAH , RAS TANURA,1
KARACHI , FUJAIRAH,1
SAN,NICOLAS ,1
Ruwais , CAPE TOWN,1
SUAPE ," Falmouth, U.K.",1
"Falmouth, U.K. ", SKAW,1
SKAW , Ventspils,1
LOME , LAS PALMAS,1
LAS PALMAS , Antwerp,1
antwerpen , ANTWERP,1
BANANA , LOME,1
LOME ," Augusta, (Sicily), Italy",1
GIBRALTAR , LOME,1
LAS PALMAS , Gibraltar,1
RIGA , Skaw,1
puero cortes , PUERTO CORTES,1
Bajo Grande , CORPUS CHRISTI,1
KINGSTON J , Bajo Grande,1
PUERTO LA CRUZ , KINGSTON J,1
LOS ANGELES , SALINA CRUZ,1
SALINA CRUZ , PLA,1
PLA , Puerto Bayovar,1
Puerto Bayovar , QUINTERO,1
Magellan Straits , comodoro rivatavia,1
Comodoro Rivadavia , Puerto Rosales,1
Puerto Rosales , COMODORO RIVATAVIA,1
RIO DE JANEIRO , Salvador,1
New York , BAHIA BLANCA,1
BAHIA BLANCA , BUENOS AIRES,1
SANTOS , RIO DE JANEIRO,1
Riverhead ," Freeport, (Grand Bahama Is.),",1
"Freeport, (Grand Bahama Is.), ", CRISTOBAL,1
PANAMA canal transit , BALBOA,1
"Richmond, California, U.S.A. ", LAZARO CARDENAS,1
LAZARO CARDENAS , SALINA CRUZ,1
SALINA CRUZ , US PAL,1
PAL , LONG BEACH,1
LONG BEACH , SALINA CRUZ,1
SALINA CRUZ , PAL,1
COVENAS , st charles,1
"Freeport, (Grand Bahama Is.), ", Pascagoula,1
Pascagoula , Corpus Christi,1
Brownswille , Houston,1
St Eustatius , PUERTO LA CRUZ,1
FUJAIRAH ," Karachi, Pakistan",1
