STARTING PORT,DESTINATION PORT,COUNT
CHIOS , LIMASSOL,1
BOSPHOROUS , ISTANBUL  ANCHORAGE,1
OPL LIMASSOL , LIMASSOL,1
TARRAGONA ," Cartagena, Spain",1
DARDANELLES , GELIBULU ANCHORAGE,1
ENTRANCE ISTANBUL , BOSPHOROUS,1
VARNA , TUAPSE,1
ZARZIS , AUGUSTA,1
FOS , LA GOULETTE,1
Algiers , LAVERA,1
TERNEUZEN , AMSTERDAM,1
"Cartagena, Spain ", TERNEUZEN,1
DARDANELLES , LAVERA,1
DARDANELLES , GELIBULO,1
Agioi Theodoroi , ALEXANDRIA,1
Gibraltar , MALTA,1
INNER ANCH. URAGUAY , BERTHING URAGUAY,1
LA TEJA , URAGUAY INNER ANCH..09,1
URAGUAY , Alpha Zone (Tsa),1
ALGECIRAS , Alpha Zone (Tsa),1
LAVERA , ALGECIRAS,1
AUGUSTA , DARDANELLES,1
Zawia , AUGUSTA,1
MALTA , Zawia,1
LAGOS , Gibraltar,1
LA TEJA , SAN LORENZO (ARG),1
AMSTERDAM , LAGOS,1
SKAGEN , AMSTERDAM,1
KLAIPEDA , SKAGEN,1
Rotterdam , KLAIPEDA,1
Gibraltar , Rotterdam,1
SUEZ , Gibraltar,1
PANJANG , SUEZ,1
SINGAPORE , PANJANG,1
BERTH URAGUAY , URAGUAY ANCHORAGE,1
ROSARIO (ARG) , La Plata Roads/Zona Comun,1
"ISTANBUL,SOUTH SIDE ", BOSPHOROUS,1
SARROCH , SETE,1
DARDANELLES ," GELIBULO,TURKEY",1
NAPOLI , SARROCH,1
OFF ISTANBUL , BOSPHOROUS,1
LA SKHIRRA , MALTA,1
MALTA , LA SKHIRRA,1
MALTA ANCHORAGE ," MALTA, ANCHORAGE",1
"MARXLOKK,MALTA ", MALTA CHANNEL,1
ZARZIS , MALTA,1
ROUEN , GIBRALTAR,1
LA PLATA ARGENTINA , La Plata Roads/Zona Comun,1
"ROUEN, FRANCE "," TRANSIT ROUEN,RIVER",1
ROUEN , FRANCE ,1
CANAKKALE , DARDANELLES,1
BOSPHOROUS , CONSTANTZA,1
"anchorage, malta ", ALEXANDRIA,1
GIBRALTAR , MALTA,1
CASABLANCA , GIBRALTAR,1
CASABLANCA ," casablanca, morocco",1
DARDANELLES , GELIBULO ANCHORAGE,1
ALEXANDRIA , DARDANELLES,1
Beirut , Amchit,1
VASSILIKO BAY , Koper,1
AIN SUKHNA , AT SEA,1
Suez Canal , Suez Exit ,1
LAVERA , GENOA,1
ARZEW , LAVERA,1
ARZEW , ALGERIA OPL,1
DARDANELLES , KANAKKALE,1
TUAPSE , Midia,1
Koper , DARDANELLES,1
THESSALONIKI , VASSILIKO BAY,1
RABIGH(SHERM RABEGH) , Rabigh,1
DARDANELLES , THESSALONIKI,1
BOSPHOROUS , MARMARA ISLAND,1
BOZCADA , DARDANELLES,1
ELEUSIS , DARDANELLES,1
SIDON , ELEUSIS,1
Malta (Grand Harbour) , BEIRUT,1
GENOA , Malta (Grand Harbour),1
AT SEA , Gibraltar,1
AT SEA , Rabigh,1
SUEZ , TARRAGONA,1
AT SEA , SARROCH,1
"DARDANELLES,TURKEY ", DARDANELLES,1
Lavera , Beirut,1
Malta (Grand Harbour) , Lavera,1
Malta (Grand Harbour) ," MALTA,VALLETA",1
Santa Panagia ," Venice, Italy",1
"Venice, Italy ", Santa Panagia,1
Trieste ," Venice, Italy",1
"ORMOS KARYSTON,GREECE ", KARISTOS,1
KARISTOS ," Ormos Karyston,Greece",1
istanbul  inbound turkey , BOSPHOROUS,1
TARRAGONA , ALGIERS,1
Ashkelon , DARDANELLES,1
DARDANELLES , Ashkelon,1
CONSTANTA , BOSPHOROUS,1
BOSPHOROUS , CONSTANTA,1
MALTA ," Cartagena, Spain",1
KUANTAN , PASIR GUDANG,1
MALTA , Misurata,1
ALGECIRAS , MALTA,1
SARROCH , Malta (Grand Harbour),1
AT SEA , SOUHT IONIO,1
BOSPOROS NORTHBOUND , BOSPHOROUS,1
BOSPHOROUS , SOUTH OFF ISTANBUL,1
DARDANELLES , Arzew,1
DARDANELLES , OFF GELIBOLU,1
ISTANBUL STRAIT , BOSPHOROUS,1
GEBZE , BOSPHOROUS,1
DARDANELLES , FOS,1
