TELEGRAM_DATE;TELEGRAM_TYPE;BALAST_FLAG;LATITUDE_DEGREES;LATITUDE_SECONDS;LONGITUDE_DEGREES;LONGITUDE_SECONDS;VESSEL_COURSE;DRAFT;ENGINE_RPM;WIND_DIRECTION;WIND_FORCE;AVERAGE_SPEED;HOURS_SLC;MINUTES_SLC;ME_CONS_24H
2009-12-25 12:00:00;N;L;123;55;36;8;0;0;0.0;135;3;0.0;24;0;5.8
2009-12-26 12:00:00;N;L;123;6;37;4;0;0;0.0;180;4;0.0;24;0;5.8
2010-01-18 12:00:00;N;L;110;30;22;59;315;12.47;92.0;315;3;13.8;24;0;32.6
2009-12-10 12:00:00;N;B;81;45;5;0;0;0;0.0;135;4;0.0;0;0;4
2010-01-12 12:00:00;N;B;0;0;0;0;0;0;0.0;45;11;0.0;24;0;6.4
2014-03-06 12:00:00;N;L;64;20;23;36;292;12.45;82.0;315;5;11.51;24;30;32.2
2009-06-25 12:00:00;N;L;93;34;10;39;292;0;89.0;270;3;14.12;25;0;33.1
2014-06-09 12:00:00;N;L;104;26;2;58;22;12;85.0;135;3;13.09;8;6;11.5
2009-08-11 12:00:00;N;L;118;41;33;7;0;0;0.0;270;4;0.0;24;0;0
2009-07-07 12:00:00;N;B;111;8;23;55;135;0;8.2;90;4;15.11;23;0;27.4
2009-07-08 12:00:00;N;B;107;9;20;12;135;0;89.2;315;4;14.77;23;0;27.1
2010-04-19 16:00:00;D;B;79;21;9;54;0;7.2;0.0;0;0;;0;0;4.3
2010-04-20 12:00:00;N;B;75;12;11;32;45;7;90.0;45;4;14.05;20;0;25.2
2010-05-09 18:00:00;D;L;79;58;8;34;0;11.7;0.0;0;0;;0;0;7.1
2009-09-07 12:00:00;N;L;91;42;7;35;292;0;90.0;315;3;13.5;24;0;32.2
2009-09-14 05:25:00;A;L;118;54;33;27;342;13.75;87.0;315;4;13.64;16;25;12
2009-09-06 12:00:00;N;L;86;39;7;34;292;0;90.0;315;3;13.54;24;0;32.2
2009-08-12 12:00:00;N;L;118;41;33;7;0;0;0.0;225;2;0.0;24;0;0
2010-01-30 19:00:00;D;B;118;45;33;13;0;7.25;0.0;0;0;;0;0;0
2009-10-20 12:00:00;N;L;105;4;17;3;306;0;92.0;225;5;12.04;25;0;36
2010-05-10 12:00:00;N;L;82;0;7;27;270;0;90.0;315;4;14.17;18;0;18.1
2010-05-11 12:00:00;N;L;87;7;8;39;292;0;87.0;0;4;12.96;25;0;28.9
2009-09-08 12:00:00;N;L;97;58;11;4;292;0;92.0;315;3;14.08;25;0;34
2009-11-02 12:00:00;N;L;118;43;33;10;0;0;0.0;135;2;0.0;24;0;0
2009-10-19 12:00:00;N;L;100;0;15;20;270;0;90.0;315;4;13.04;24;0;33
2010-01-27 12:00:00;N;L;0;0;0;0;0;0;0.0;135;2;0.0;24;0;0
2010-02-11 02:00:00;D;B;118;45;33;13;0;7.35;0.0;0;0;;0;0;1.1
2010-02-11 12:00:00;N;B;120;23;34;0;315;7.25;90.0;270;4;13.5;10;0;14.2
2014-03-07 12:00:00;N;L;59;40;24;11;292;12.45;82.0;315;5;12.36;25;0;32.4
2009-10-16 12:00:00;N;L;95;7;16;9;0;0;0.0;45;2;0.0;0;0;4.6
2009-10-18 12:00:00;D;L;95;12;16;11;0;12.65;0.0;0;0;;0;0;0
2009-10-27 12:00:00;N;L;118;43;33;10;0;0;0.0;225;1;0.0;24;0;0
2009-10-21 12:00:00;N;L;109;3;20;18;315;0;92.0;315;5;12.54;24;0;38
2009-09-09 12:00:00;N;L;101;42;14;49;315;0;90.0;45;4;13.67;24;0;32
2009-09-10 12:00:00;N;L;105;10;18;57;315;0;90.0;0;4;13.21;24;0;32
2009-08-29 12:00:00;N;B;101;11;15;23;90;0;89.2;135;6;14.17;24;0;32.8
2009-08-30 12:00:00;N;B;96;52;12;11;122;0;92.0;90;3;14.17;24;0;33
2009-09-11 12:00:00;N;L;110;44;21;19;315;0;90.0;315;4;13.12;25;0;33.1
2014-06-10 12:00:00;N;L;108;24;6;9;45;12;85.0;45;2;12.83;24;0;33.4
2010-05-14 12:00:00;N;L;102;21;15;31;315;0;90.0;45;4;13.96;25;0;33.8
2010-05-15 12:00:00;N;L;106;0;19;55;315;0;90.0;315;3;13.6;24;0;33.2
2010-05-16 12:00:00;N;L;111;44;22;33;315;0;90.0;315;5;14.3;24;0;33.2
2014-03-19 12:00:00;N;L;69;37;22;24;247;12.45;90.0;315;3;11.5;2;0;2.9
2009-08-20 12:00:00;N;L;118;44;33;9;0;0;0.0;225;4;0.0;24;0;0
2009-12-12 12:00:00;N;L;82;3;4;27;320;0;90.0;135;4;13.6;10;0;11.5
2009-12-13 12:00:00;N;L;85;10;0;58;320;0;90.0;225;4;13.75;24;0;32
2009-11-17 12:00:00;N;B;86;58;5;25;135;0;87.0;135;3;14.69;23;0;31.1
2009-11-26 12:00:00;N;L;81;48;0;25;180;0;87.0;225;4;13.39;19;0;27.6
2009-11-27 12:00:00;N;L;81;0;6;50;90;0;87.0;180;4;13.08;24;0;25.2
2009-10-31 12:00:00;N;L;118;43;33;10;0;0;0.0;45;1;0.0;24;0;0
2009-11-01 12:00:00;N;L;118;43;33;10;0;0;0.0;225;2;0.0;24;0;0
2014-02-22 12:00:00;N;B;57;42;6;6;45;7.35;85.0;315;4;13.29;24;0;29
2009-11-22 12:00:00;N;B;78;52;1;48;0;0;0.0;225;4;0.0;24;0;5.4
2009-11-23 12:00:00;N;B;78;52;1;48;0;0;0.0;225;4;0.0;24;0;5.2
2009-11-25 18:00:00;D;L;78;49;1;45;0;11;0.0;0;0;;0;0;0
2009-11-11 12:00:00;N;B;112;0;24;53;135;0;90.0;180;3;14.64;24;0;25
2009-11-13 12:00:00;N;B;104;18;17;55;135;0;76.0;90;3;12.75;24;0;22
2009-11-14 12:00:00;N;B;100;31;13;25;135;0;90.0;135;3;14.42;24;0;32.6
2009-11-15 12:00:00;N;B;96;9;11;11;112;0;86.0;135;3;12.52;23;0;31.9
2009-12-01 12:00:00;N;L;74;18;21;60;160;0;92.0;180;5;13.88;24;0;32
2014-06-01 12:00:00;N;L;71;36;9;14;112;12;87.0;315;4;13.61;23;0;30.9
2009-12-02 20:30:00;A;L;71;46;32;33;150;11;92.0;180;4;15.0;8;30;0
2009-11-30 12:00:00;N;L;76;15;21;41;157;0;92.0;135;5;13.78;23;0;29.7
2009-11-20 12:00:00;N;B;78;52;1;48;0;0;0.0;225;4;0.0;24;0;7.6
2009-11-21 12:00:00;N;B;78;52;1;48;0;0;0.0;270;3;0.0;24;0;5.4
2009-11-12 12:00:00;N;B;108;38;20;58;135;0;77.0;45;3;13.0;23;0;20
2014-02-23 12:00:00;N;B;60;53;10;5;45;7.35;85.0;45;5;13.39;23;0;28.2
2009-10-22 12:00:00;N;L;113;50;23;42;337;12.65;92.0;315;5;13.76;25;0;40
2009-12-05 12:00:00;N;B;72;13;30;42;337;0;90.0;225;3;14.09;11;0;15.7
2009-12-06 12:00:00;N;B;74;35;24;55;341;0;90.0;270;3;14.96;24;0;32.2
2014-05-14 15:30:00;D;L;43;41;11;7;0;7.15;0.0;0;0;;0;0;6.1
2009-09-22 12:00:00;N;L;118;41;33;7;0;0;0.0;270;5;0.0;24;0;0
2009-11-03 12:00:00;N;L;118;43;33;10;0;0;0.0;135;2;0.0;24;0;0
2009-11-09 16:30:00;D;B;118;45;33;13;0;7.45;0.0;0;0;;0;0;0
2014-02-24 12:00:00;N;B;63;15;15;13;45;7.35;83.0;45;3;13.33;24;0;28
2009-12-02 12:00:00;N;L;72;6;31;37;160;0;92.0;180;7;12.38;24;0;34
