stw,draft,foc,ws,wd,swh
12.749,7.790000000000001,29.57,2,1.3,1.3
12.646,7.790000000000001,32.72,3,1.3,1.3
12.644,7.790000000000001,29.59,4,1.3,1.3
12.64,7.790000000000001,29.57,1,1.3,1.3
12.637,7.790000000000001,29.57,1,1.3,1.3
12.655,6.1400000000000015,29.57,1,1.3,1.3
12.693,6.1400000000000015,29.59,4,1.3,1.3
12.729,6.1400000000000015,29.57,1,1.3,1.3
12.667,6.1400000000000015,29.57,2,1.3,1.3
12.734000000000002,6.1400000000000015,29.59,4,1.3,1.3
12.720999999999998,6.1400000000000015,29.59,4,1.3,1.3
12.719,6.1400000000000015,29.59,4,1.19,1.19
12.716,6.1400000000000015,29.59,4,1.3,1.3
12.713,6.1400000000000015,29.59,4,1.3,1.3
12.71,3.6,29.57,2,1.3,1.3
12.708,3.6,29.57,2,1.3,1.3
12.77,3.6,33.99,4,1.3,1.3
12.697,3.6,32.72,3,1.3,1.3
12.795,3.6,33.99,3,1.3,1.3
12.842,5.245,32.54,4,1.48,1.48
12.737,5.245,32.72,3,1.3,1.3
12.731,4.97,29.57,1,1.3,1.3
12.727,4.97,29.57,2,1.3,1.3
12.771,4.97,33.99,2,1.3,1.3
12.958,4.97,32.54,4,1.02,1.02
12.954,4.97,32.54,4,1.14,1.14
12.99,4.97,32.54,4,1.14,1.14
13.028,7.51,32.4,5,1.14,1.14
13.041,7.7650000000000015,32.4,5,1.02,1.02
13.037,7.7650000000000015,33.3,5,1.14,1.14
13.038,7.7650000000000015,32.4,4,1.14,1.14
13.134,7.7650000000000015,32.4,4,1.14,1.14
13.142,7.7650000000000015,31.8,4,1.14,1.14
13.185,7.7650000000000015,31.8,3,1.14,1.14
13.241,7.7650000000000015,31.8,3,1.14,1.14
13.21,7.7650000000000015,31.8,4,1.14,1.14
13.245,7.555,31.8,2,1.14,1.14
13.156,7.76,31.8,2,1.14,1.14
13.178,7.76,31.8,4,1.11,1.11
13.239,7.76,31.8,2,1.14,1.14
13.236,7.76,31.8,3,1.14,1.14
13.204,7.76,31.8,3,1.11,1.11
13.182,7.76,31.8,3,1.14,1.14
13.19,7.775,31.8,4,1.14,1.14
13.135,7.775,31.8,3,1.14,1.14
13.202,7.77,31.8,4,1.11,1.11
13.218,7.77,31.8,3,1.14,1.14
13.125,7.77,31.8,3,1.14,1.14
13.122,7.77,31.8,4,1.11,1.11
13.117,7.77,31.8,4,1.14,1.14
13.114,7.77,32.4,4,1.14,1.14
13.111,7.77,32.4,4,1.14,1.14
13.179,7.77,32.4,4,1.14,1.14
13.164,7.77,32.4,4,1.14,1.14
13.138,7.77,32.4,4,1.14,1.14
13.06,7.77,31.8,4,1.14,1.14
13.158,7.77,31.8,3,1.14,1.14
13.149,7.77,31.8,4,1.11,1.11
13.182,7.77,31.8,3,1.14,1.14
13.098,7.77,31.8,3,1.14,1.14
13.095999999999998,7.77,31.8,3,1.14,1.14
13.142,7.77,31.8,3,1.14,1.14
13.117,7.77,32.4,4,1.14,1.14
13.078,7.77,31.8,3,1.14,1.14
13.063,7.77,31.8,3,1.18,1.18
12.957,7.77,33.99,3,1.18,1.18
13.014,7.77,31.8,3,1.18,1.18
13.06,7.77,31.8,3,1.18,1.18
13.005,7.77,31.8,3,1.18,1.18
13.0,7.77,33.99,3,1.18,1.18
12.951,5.23,33.99,3,1.18,1.18
12.944,5.23,33.99,3,1.18,1.18
13.031,5.23,31.8,3,1.1,1.1
12.987,5.23,33.99,3,1.18,1.18
12.916,7.53,33.99,4,1.18,1.18
12.914,7.53,33.99,3,1.18,1.18
12.909,7.53,33.99,4,1.18,1.18
12.925,7.53,33.99,4,1.18,1.18
12.901,7.53,32.54,4,1.18,1.18
12.905,7.53,33.99,3,1.18,1.18
12.909,7.53,33.99,2,1.18,1.18
12.914,7.53,33.99,2,1.18,1.18
12.96,7.535,33.99,2,1.18,1.18
12.957,7.535,33.99,2,1.18,1.18
12.974,7.535,33.99,2,1.18,1.18
12.994000000000002,7.535,33.99,3,1.18,1.18
12.957,7.255,33.99,3,1.18,1.18
12.953,7.485,33.99,3,1.18,1.18
12.977,7.485,33.99,3,1.18,1.18
13.041,7.485,31.8,2,1.18,1.18
13.032,7.485,31.8,3,1.02,1.02
13.009,7.485,31.8,3,1.02,1.02
13.026,7.495000000000001,31.8,3,1.02,1.02
13.02,7.495000000000001,31.8,3,1.02,1.02
12.991,7.4849999999999985,33.99,4,1.03,1.03
13.009,7.4849999999999985,31.8,2,1.02,1.02
12.999,7.774999999999999,33.99,3,1.02,1.02
13.056,7.774999999999999,31.8,3,1.02,1.02
13.062,7.774999999999999,31.8,3,1.02,1.02
13.078,7.774999999999999,31.8,3,1.02,1.02
13.083,7.785,31.8,3,1.03,1.03
13.058,5.235,31.8,3,1.02,1.02
13.054,5.235,31.8,2,1.02,1.02
13.044,5.235,31.8,2,1.02,1.02
13.019,5.235,31.8,3,1.02,1.02
13.022,5.235,31.8,3,1.02,1.02
13.065,5.235,31.8,2,1.15,1.15
13.023,5.235,31.8,2,1.03,1.03
13.008,7.56,31.8,3,1.02,1.02
13.098,7.56,31.8,4,1.18,1.18
13.103,7.56,31.8,4,1.18,1.18
13.055,7.56,31.8,3,1.03,1.03
13.14,7.56,31.8,3,1.02,1.02
13.047,7.56,31.8,3,1.02,1.02
13.143,7.56,31.8,3,1.08,1.08
13.168,7.56,31.8,2,1.18,1.18
13.143,7.56,31.8,3,1.15,1.15
13.129,7.56,31.8,3,1.02,1.02
13.125,7.56,31.8,3,1.02,1.02
13.151,7.56,31.8,3,1.02,1.02
13.147,7.56,31.8,3,1.15,1.15
13.213,7.56,31.8,3,1.02,1.02
13.106,7.56,31.8,3,1.02,1.02
13.095999999999998,7.56,31.8,3,1.02,1.02
13.092,7.56,31.8,3,1.02,1.02
13.155,7.56,31.8,3,1.02,1.02
13.218,7.56,31.8,3,1.68,1.68
13.226,7.56,31.8,2,1.02,1.02
13.123,7.56,32.4,4,1.02,1.02
13.199000000000002,7.775,31.8,4,1.02,1.02
13.187,7.775,31.8,3,1.02,1.02
13.114,7.775,32.4,4,1.02,1.02
13.111,7.775,32.4,4,1.02,1.02
13.108,5.235,31.8,3,1.4,1.4
13.174,3.5650000000000004,31.8,3,1.02,1.02
13.162,3.5650000000000004,31.8,3,1.02,1.02
13.138,3.5650000000000004,31.8,2,1.18,1.18
13.111,7.765,33.3,5,1.02,1.02
13.084,7.765,31.8,2,1.02,1.02
13.071,7.765,31.8,3,1.02,1.02
13.069,7.765,31.8,3,1.03,1.03
13.066,7.765,31.8,3,1.02,1.02
13.063,7.765,31.8,3,1.02,1.02
13.06,6.185,31.8,3,1.02,1.02
13.057,7.76,32.4,4,1.02,1.02
13.055,7.494999999999999,31.8,3,1.94,1.94
13.052,7.765,31.8,3,1.02,1.02
13.048,7.765,31.8,3,1.02,1.02
13.025,7.765,31.8,3,1.02,1.02
13.003,7.765,31.8,3,1.02,1.02
12.939,7.765,32.54,4,1.02,1.02
12.937,7.765,32.54,4,1.02,1.02
12.933,7.765,33.99,4,1.18,1.18
12.998,7.765,33.99,4,1.09,1.09
12.98,7.765,33.99,4,1.09,1.09
12.999,7.765,33.99,4,1.09,1.09
12.979,7.765,33.99,4,1.08,1.08
13.050999999999998,7.875,31.8,4,1.08,1.08
13.069,7.875,32.4,5,1.02,1.02
13.068,7.4,32.4,4,1.15,1.15
13.067,7.625,32.4,4,1.02,1.02
13.065,7.414999999999999,32.4,4,1.02,1.02
13.064,7.375,32.4,4,1.02,1.02
13.062,7.4,31.8,4,1.02,1.02
13.11,7.405,32.4,4,1.15,1.15
13.058,7.405,31.8,4,1.02,1.02
