STARTING PORT,DESTINATION PORT,COUNT
Santa Cruz de Tenerife , Sarroch,1
DARDANELLES , ASHKELON,1
Bosporus , N bound ,1
Dardanelles , N bound ,1
Dardanelles , N bound ,1
Porto Marghera , Sarroch,1
"Cartagena, Spain ", Porto Marghera,1
Lavera ," Cartagena, Spain",1
Bilbao , PORTLAND (UK),1
"Cartagena, Spain ", La Coruna,1
TARRAGONA ," Cartagena, Spain",1
MALTA CHANNEL , MALTA (GRAND HARBOUR),1
AMSTERDAM , BENGHAZI,1
AT SEA , ROTTERDAM,1
Sarroch , AT SEA,1
DARDANELLES , Sarroch,1
Bosporus , S bound ,1
AT SEA , NOVOROSSIYSK,1
Kulevi Terminal , KULEVI,1
KULEVI , Kulevi Terminal,1
AT SEA , PIRAEUS,1
ASHKELON , DARDANELLES,1
ASPROPYRGOS , ASHKELON,1
PORTO MARGHERA , ASPROPYRGOS,1
AUGUSTA , PORTO MARGHERA,1
Cartagena , CARTAGENA (SPA),1
CARTAGENA , TARRAGONA,1
CARTAGENA , CARTAGENA (SPA),1
ROTTERDAM , Jorf Lasfar,1
ALEXANDRIA , GIBRALTAR,1
ALEXANDRIA , ASHKELON,1
Santa Panagia , MALTA,1
VENICE , AUGUSTA,1
Santa Panagia , VENICE,1
SARROCH , MESSINA STRAIT,1
"Venice, Italy ", Santa Panagia,1
ARZEW , TARRAGONA,1
TENERIFE , ARZEW,1
ROTTERDAM , ALGECIRAS,1
ALEXANDRIA , ROTTERDAM,1
MERSIN , ALEXANDRIA,1
Milazzo ," Venice, Italy",1
Zarzis , Milazzo,1
Sarroch , La Goulette,1
TARRAGONA , GENOA,1
GENOA , BARCELONA,1
BARCELONA , MALTA,1
NOVOROSSISYK , NOVOROSSIYSK,1
AT SEA , SOUTHEAST AGEAN,1
ALGIERS , Santa Panagia,1
DARDANELLES , ALGIERS,1
OPL MALTA , MALTA,1
AT SEA , GENOA,1
LAVERA , SKIKDA,1
VASSILIKO BAY , Zawia,1
ZAHRANI , TRIPOLI (LEB),1
SKIKDA , ALIAGA,1
MALTA , LA SKHIRRA,1
Tobruk , TARRAGONA,1
TUBROK , TOBRUK,1
DORTYOL , Vassiliko Bay,1
AT SEA , DORTYOL,1
AGENCY PLACE , AGEAN,1
ASHKELON , ASPROPYRGOS,1
VASSILIKO BAY , ASHKELON,1
LA SKHIRRA , MALTA,1
MESSINA STRAIT , PORTO MARGHERA,1
FAWLEY , Ceuta,1
LA GOULLETTE , La Goulette,1
ASHKELON , LIMASSOL,1
Bozcada , DARDANELLES,1
DARDANELLES , Bozcada,1
ALEXANDRIA , ALIAGA,1
LIMASSOL , ALEXANDRIA,1
DARDANELLES , Gelibolu,1
Ashkelon anchorage ," Ashkelon, discharging",1
LIMASSOL , ASHKELON,1
Off Limassol , Off Limassol Drifting,1
Ashkelon Anchorage ," Ashkelon, Discharging ",1
DARDANELLES N.BOUND , DARDANELLES,1
ROTTERDAM , ALEXANDRIA,1
LAS PALMAS , GIBRALTAR,1
OFF COTONOU , LAS PALMAS,1
"Off Cotonou, drifting ", Dischging STS Off Cotonou,1
Off Cotonou Drifting ," Off Cotonou, Drifting",1
Cotonou anchorage STS disch. , Drifting Off Cotonou,1
Off cotonou Drifting , Cotonou Anchorage,1
Cotonou anchorage , Off Cotonou drifting,1
Off Gelibulo , DARDANELLES,1
ANTWERP , Westhinder Anchorage,1
Westhinde Anchorage , ANTWERP,1
DARDANELLES , Bozcaada Anchorage,1
DARDANELLES , DARDANELLES N. BOUND,1
ASHQELON , ASHKELON,1
BOSPOROUS N.BOUND , BOSPHOROUS,1
DARDANELLES , DARDANELLES N.BOUND,1
VATIKA BAY , LA GOULETTE,1
DARDANELLES , GELIBULO ANCHORAGE,1
LAVERA , DARDANELLES,1
BEIRUT , DARDANELLES,1
LAVERA , Amchit,1
FIUMICINO , LAVERA,1
HAIFA , FIUMICINO,1
LIMASSOL , HAIFA,1
DARDANELLES , Bozcaada,1
SARROCH , ALEXANDRIA,1
Genoa , LIVORNO,1
Tuapse , Tuapse Anchorage,1
Off Istanbul , BOSPHOROUS,1
Cotonou Offshore (drifting) , Drifting Cotonou,1
OFF COTONOU , Cotonou Offshore,1
PORTLAND (UK) , DAKAR,1
SANTIAGO , HAVANA,1
LAS PALMAS , New York,1
LAGOS , LAS PALMAS,1
ESCRAVOS , LAGOS,1
PORT HARCOURT , ESCRAVOS,1
LAGOS , PORT HARCOURT,1
LAVERA , LAGOS,1
DARDANELLES , Zawia,1
KULEVI , BOSPHOROUS,1
BOSPHOROUS , KULEVI,1
SUEZ , DARDANELLES,1
DARDANELLES , SUEZ,1
RAVENNA , DARDANELLES,1
PATRAS , RAVENNA,1
BARCELONA , PATRAS,1
SUEZ , BARCELONA,1
SINGAPORE , SUEZ,1
DUMAGUETE , SINGAPORE,1
New York , SANTIAGO,1
HAVANA , PORTLAND,1
FAWLEY , PORTLAND (UK),1
PORTLAND , AMSTERDAM,1
TEESPORT , FAWLEY,1
GIBRALTAR , TEESPORT,1
Tutuncifilik , BOSPHOROUS,1
BOSPHOROUS , Tutuncifilik,1
KERCH , NOVOROSSIYSK,1
BOSPHOROUS , KERCH,1
CHIOS , DARDANELLES,1
Koper , CHIOS,1
PIRAEUS , Koper,1
DARDANELLES , PIRAEUS,1
BOURGAS , BOSPHOROUS,1
BOSPHOROUS , BOURGAS,1
AUGUSTA , DARDANELLES,1
RAS LANUF , AUGUSTA,1
BORDEAUX , RAS LANUF,1
PRIMORSK , BORDEAUX,1
AMSTERDAM , PRIMORSK,1
VENICE , DARDANELLES,1
BOSPHOROUS , BOSPOROUS N. BOUND,1
Lavera , La Goulette,1
"Cartagena, Spain ", LA NOUVELLE,1
"Anchorage Dardanelles, Turkey ", DARDANELLES,1
TUAPSE ," Drifting Tuapse, Russia",1
EREGLISI ," Ereglisi, Turkey",1
"Anchorage Bozcaada, Turkey ", DARDANELLES,1
Eleusis , DARDANELLES,1
Piraeus , Eleusis,1
BARCELONA (SPAIN) , Piraeus,1
"Cartagena, Spain ", CARTAGENA (SPA),1
"Anchorage Cartagena, Spain "," Cartagena, Spain",1
LIMNOS , THESSALONIKI,1
Bosporous Anchorage. , BOSPHOROUS,1
BOSPHOROUS , bosphorus,1
Dardanelles Transit , DARDANELLES,1
DARDANELLES ," South Boszcaada, Turkey",1
Fos ," Cartagena, Spain",1
FIUMICINO , AT SEA,1
CARTAGENA (SPA) , FIUMICINO,1
AT SEA , CARTAGENA (SPA),1
AT SEA , Maneuvering at sea,1
AT SEA , Lavrion,1
Lavrion , Suez Canal ,1
"Anchored Port Said,Egypt ", Port Said/transit. Suez canal,1
"Cartagena, Spain ", Fos,1
Yanbu , Suez Canal ,1
Yanbu , OFF YANBU,1
Yanbu , SUEZ,1
YANBU ," YANBU,KSA",1
Yanbu ," YANBU,KSA",1
"PORT SAID,EGYPT ", Suez Canal ,1
DARDANELLES , Suez Canal ,1
ZAHRANI , DARDANELLES,1
DARDANELLES , ZAHRANI,1
Zarzis , DARDANELLES,1
La Skhirra , Zarzis,1
Genoa , Lavera,1
SARROCH , Genoa,1
Ceuta , Algeciras,1
KIMBE , DUMAGUETE,1
Rabigh , Suez Canal ,1
AT SEA , FOS,1
DARDANELLES , dardanelles sb,1
GELA , DARDANELLES,1
POTI , BOSPHOROUS,1
PORTO MARGHERA , PIRAEUS,1
LAVERA , MALTA,1
DARDANELLES , MALTA,1
DARDANELLES , DARDANELLES S,1
SETE , LAVERA,1
SARROCH , SETE,1
LA SKHIRRA , SARROCH,1
GIBRALTAR , LA SKHIRRA,1
GAETA , GIBRALTAR,1
Zawia , FIUMICINO,1
DARDANELLES , GELIBULO S.BOUND,1
ANTWERP , SINES,1
ANTWERP , WANDELAAR ANCHORAGE,1
DUNKIRK , DUNKERQUE,1
GELIBULO S.BOUND , DARDANELLES,1
ISTANBUL N. BOUND , BOSPHOROUS,1
THESSALONIKI , SKIKDA,1
BOSPHOROUS , POTI,1
Aliaga , DARDANELLES,1
DARDANELLES , MARMARA SEA,1
bosporous , BOSPHOROUS,1
TRIESTE , PORTO MARGHERA,1
ALGIERS , ARZEW,1
NOVOROSSISK , BOSPHOROUS,1
ALIAGA , DARDANELLES,1
DARDANNALES , DARDANELLES,1
SIDON , DARDANELLES,1
BEIRUT , AMCHIT,1
DARDANELLES , CANNAKALE,1
GENOA , FIUMICINO,1
La Nouvelle , SARROCH,1
SARROCH , La Nouvelle,1
HUELVA , SARROCH,1
Algiers , SARROCH,1
GENOA , Algiers,1
GAETA , GENOA,1
LAVERA , GENOA,1
ALIAGA , PIRAEUS,1
Odessa , AT SEA,1
