stw,draft,foc,ws,wd,swh,vslHeading
12.7901,15.23,34.0,6.4,170.69,0.85,241.91
12.9508,15.15,34.0,6.69,180.66,0.85,242.34
12.9714,15.18,34.0,6.69,180.69,0.85,242.31
12.9509,15.195,35.0,6.88,178.09,0.85,242.31
12.9119,15.14,33.0,7.68,169.08,0.85,242.42
12.9119,15.175,34.0,8.2,165.58,0.85,242.42
12.8317,15.195,34.0,7.88,171.41,0.85,242.09
12.9011,15.195,34.0,7.88,171.78,0.85,241.72
12.8609,15.175,34.0,6.27,169.28,0.85,241.72
12.9207,15.135,34.0,8.36,172.24,0.85,241.96
12.9207,15.09,35.0,6.88,178.1,0.85,242.8
12.9717,15.235,34.0,6.49,172.38,0.85,242.72
12.9508,15.185,33.0,6.49,172.88,0.85,242.22
12.9819,15.09,34.0,7.97,168.98000000000005,0.85,242.22
12.9211,15.21,34.0,5.69,172.13,0.85,241.87
12.9211,15.2,33.0,7.68,170.97,0.85,241.53
12.9806,15.105,34.0,6.78,175.73000000000005,0.85,241.67
13.0005,15.105,34.0,6.78,175.79,0.85,241.61
12.9405,15.185,34.0,7.3,174.58999999999997,0.85,241.61
12.9303,15.075,33.0,5.88,173.68,0.85,241.22
12.9704,15.21,34.0,6.49,176.56,0.85,241.54
12.8908,15.12,34.0,7.97,167.04000000000005,0.85,241.76
12.8907,15.19,34.0,7.97,167.04000000000005,0.85,241.76
12.8907,15.21,34.0,6.59,169.82999999999996,0.85,241.87
12.9007,15.13,34.0,6.88,169.39999999999995,0.85,241.8
12.8405,15.175,34.0,6.78,172.16,0.85,241.84
12.8004,15.18,34.0,6.78,172.09,0.85,241.91
12.8506,15.18,34.0,6.78,177.39,0.85,241.91
12.8506,15.2,34.0,7.3,171.43,0.94,242.07
12.8207,15.15,35.0,3.79,188.91,0.94,241.99
12.8607,15.195,34.0,9.65,167.07,0.94,242.03
12.7608,15.13,34.0,9.65,167.13,0.94,241.97
12.8001,15.155,34.0,8.36,165.03,0.94,241.97
12.8001,15.155,34.0,7.07,163.89,0.94,241.71
12.8105,15.155,34.0,7.07,166.42,0.94,241.68
12.8208,15.22,34.0,7.07,169.25,0.94,242.15
12.8614,15.075,35.0,7.07,169.27,0.94,242.13
12.8505,15.075,34.0,7.97,165.17000000000004,0.94,242.13
12.8505,15.17,34.0,7.3,181.2,0.94,241.9
12.8105,15.08,34.0,8.36,161.95,0.94,241.85
12.7903,15.165,34.0,7.3,162.55,0.94,241.85
12.8408,15.16,34.0,7.3,162.5,0.94,241.9
