stw,draft,foc,ws,wd,swh,vslHeading
14.0101,13.705,43.0,9.97,34.08000000000004,0.8,320.02
13.9501,13.725,42.0,9.97,33.920000000000016,0.8,320.18
13.95,13.864999999999998,43.0,10.67,33.31999999999999,0.8,320.18
14.0004,13.75,42.0,10.87,38.230000000000025,0.8,320.27
14.03,13.76,42.0,10.48,37.54999999999996,0.8,320.35
14.03,13.72,42.0,10.55,38.44,0.8,320.36
14.0,13.705,42.0,10.55,38.579999999999984,0.8,320.22
14.09,13.775,42.0,10.1,36.67999999999995,0.8,320.22
14.0001,13.775,43.0,10.16,38.69999999999999,0.8,320.1
14.1003,13.81,42.0,9.77,41.81,0.8,319.89
14.1003,13.76,42.0,9.77,44.079999999999984,0.8,320.12
14.09,13.71,42.0,9.77,43.83999999999998,0.8,320.36
14.1303,13.67,42.0,11.0,41.839999999999975,0.8,320.36
14.1701,13.755,42.0,11.0,42.59000000000003,0.8,320.01
14.14,13.755,43.0,10.29,33.29000000000002,0.8,320.01
14.14,13.815,42.0,11.06,37.95999999999998,0.8,320.04
14.1107,13.765,42.0,11.06,37.839999999999975,0.8,320.16
14.1204,13.775,43.0,10.55,45.63999999999999,0.8,320.16
14.1605,13.78,42.0,10.87,40.69,0.8,320.41
14.1401,13.78,43.0,11.25,32.649999999999984,0.8,320.35
14.1401,13.825,42.0,10.16,31.409999999999968,0.8,319.99
14.1101,13.72,42.0,10.16,31.870000000000005,0.8,319.53
14.07,13.805,43.0,10.1,40.170000000000016,0.8,319.53
14.0002,13.81,42.0,9.2,36.19999999999999,0.8,319.7
14.08,13.695,43.0,9.39,36.05000000000001,0.8,320.15
14.08,13.76,42.0,8.75,35.079999999999984,0.8,320.22
14.085,13.745,42.0,8.75,35.56,0.8,319.74
14.085,13.835,42.0,9.2,35.36000000000001,0.8,319.74
14.0701,13.755,43.0,11.0,43.5,0.8,319.8
14.0309,13.755,43.0,10.87,41.99000000000001,0.8,320.31
14.11,13.795,42.0,9.58,42.66999999999996,0.8,320.23
14.0202,13.825,42.0,9.58,43.0,0.8,319.9
14.0202,13.765,42.0,9.26,36.900000000000034,0.8,319.9
14.01,13.775,42.0,10.55,32.74000000000001,0.8,320.06
14.0901,13.69,42.0,10.29,32.25999999999999,0.8,320.04
13.88,13.75,40.0,9.2,38.27000000000004,0.8,320.03
13.82,13.68,39.0,9.2,38.02000000000004,0.8,320.28
13.82,13.785,40.0,9.77,36.62000000000001,0.8,320.28
13.8002,13.735,41.0,10.1,30.019999999999985,0.8,321.88
13.79,13.735,40.0,9.97,30.890000000000054,0.8,322.21
13.8,13.835,40.0,9.97,31.370000000000005,0.8,321.73
13.7702,13.815,40.0,9.58,30.57,0.8,321.73
13.7702,13.825,40.0,8.94,34.960000000000036,0.8,321.84
13.7602,13.785,41.0,9.2,34.720000000000034,0.8,321.88
13.81,13.73,40.0,10.16,30.24000000000001,0.8,322.06
13.68,13.78,40.0,10.16,30.590000000000032,0.8,321.71
13.7902,13.705,41.0,9.2,32.79000000000002,0.8,321.71
13.7902,13.79,41.0,9.65,29.07,0.8,321.73
13.8401,13.775,40.0,10.1,41.599999999999966,0.8,322.1
13.7603,13.835,41.0,9.58,32.81,0.8,322.19
13.7201,13.835,40.0,9.58,32.83999999999997,0.8,322.16
13.7001,13.755,40.0,9.26,31.639999999999986,0.8,322.16
13.7001,13.735,39.0,8.55,34.50999999999999,0.8,321.89
13.8012,13.725,38.0,9.84,29.45999999999998,0.8,322.04
13.7302,13.79,38.0,10.48,30.420000000000016,0.8,322.18
13.6801,13.77,38.0,10.48,30.390000000000054,0.8,322.21
13.6101,13.785,38.0,9.58,35.99000000000001,0.8,322.21
13.6101,13.695,38.0,10.1,35.75,0.8,321.95
13.59,13.78,38.0,9.45,31.030000000000033,0.8,322.07
13.6004,13.82,38.0,9.58,31.129999999999995,0.8,322.17
13.57,13.82,38.0,9.58,31.410000000000025,0.8,321.89
13.59,13.765,38.0,9.26,32.410000000000025,0.8,321.89
13.59,13.79,38.0,8.68,35.230000000000025,0.8,321.87
13.5401,13.82,38.0,9.39,32.650000000000034,0.8,321.95
13.5103,13.815,38.0,11.25,26.620000000000005,0.8,322.08
13.39,13.74,38.0,11.25,26.920000000000016,0.8,321.78
13.4302,13.765,38.0,9.84,30.220000000000034,0.8,321.78
13.4302,13.815,39.0,9.84,31.25,0.8,321.55
13.4903,13.745,39.0,9.39,30.409999999999968,0.8,321.99
13.4804,13.815,38.0,9.07,31.29000000000002,0.8,322.31
13.5302,13.815,39.0,9.07,31.27000000000004,0.8,322.33
13.5302,13.77,38.0,8.87,34.470000000000034,0.8,322.33
13.5302,13.735,38.0,10.16,44.23999999999995,0.8,322.16
13.4801,13.785,38.0,10.16,34.139999999999986,0.8,322.16
13.56,13.745,39.0,9.65,32.950000000000045,0.8,321.65
13.5301,13.765,38.0,9.65,32.870000000000005,0.8,321.73
13.5204,13.85,39.0,10.35,38.06999999999999,0.8,321.73
13.5204,13.79,38.0,10.74,39.079999999999984,0.8,322.12
13.5601,13.755,38.0,9.97,35.0,0.8,322.0
13.52,13.7,39.0,9.26,32.86000000000001,0.8,321.64
13.53,13.7,38.0,9.26,33.120000000000005,0.8,321.38
13.49,13.77,39.0,10.48,30.82,0.8,321.38
13.49,13.775,38.0,10.55,30.409999999999968,0.8,321.79
13.57,13.715,39.0,9.58,32.099999999999966,0.8,322.3
13.6201,13.79,38.0,10.29,31.0,0.8,322.2
13.52,13.825,39.0,10.29,31.129999999999995,0.8,322.07
13.5002,13.77,38.0,9.84,30.030000000000033,0.8,322.07
13.5002,13.71,38.0,10.55,29.73000000000001,0.8,322.07
13.5,13.8,38.0,9.77,32.829999999999984,0.8,321.67
13.5202,13.69,38.0,9.84,31.050000000000008,0.8,321.65
13.56,13.69,39.0,9.84,30.789999999999967,0.8,321.91
13.56,13.785,38.0,10.1,30.389999999999986,0.8,321.91
13.55,13.77,38.0,10.55,28.44,0.8,322.16
13.51,13.67,38.0,10.16,29.70999999999998,0.8,321.99
13.52,13.73,38.0,9.84,30.620000000000005,0.8,321.68
13.52,13.8,38.0,9.84,30.31,0.8,321.99
13.49,13.745,39.0,10.55,44.61000000000002,0.8,321.99
13.47,13.8,38.0,7.0,37.349999999999966,0.8,322.05
13.4401,13.78,39.0,7.0,29.719999999999967,0.8,321.98
13.5001,13.81,38.0,7.0,30.149999999999977,0.8,321.55
13.5001,13.81,38.0,11.0,31.75,0.8,321.55
13.4903,13.785,39.0,7.0,29.320000000000054,0.8,321.78
13.44,13.755,39.0,10.48,34.49000000000001,0.79,322.21
13.46,13.78,39.0,9.84,36.26000000000005,0.79,322.34
13.5105,13.8,38.0,9.84,36.29000000000002,0.79,322.31
13.5105,13.77,39.0,10.67,30.79000000000002,0.79,322.31
13.5401,13.78,38.0,11.25,28.68000000000001,0.79,322.02
13.53,13.82,38.0,10.74,30.170000000000016,0.79,321.83
13.58,13.835,39.0,10.67,30.23000000000001,0.79,321.87
13.4703,13.815,38.0,10.67,29.920000000000016,0.79,322.18
13.4703,13.77,39.0,9.77,35.51999999999997,0.79,322.18
13.56,13.77,39.0,10.1,29.699999999999992,0.79,322.1
13.5305,13.78,38.0,8.87,41.360000000000014,0.79,321.94
13.52,13.81,39.0,9.97,30.06,0.79,322.24
13.5102,13.795000000000002,38.0,9.97,30.280000000000033,0.79,322.02
13.5102,13.805,39.0,10.35,41.68000000000001,0.79,322.02
13.56,13.76,38.0,9.65,32.079999999999984,0.79,321.92
13.5503,13.77,39.0,9.97,39.47999999999996,0.79,322.22
13.5001,13.71,38.0,10.67,31.94,0.79,321.96
13.45,13.795,38.0,10.67,33.799999999999955,0.79,320.1
13.45,13.695,38.0,10.35,39.69999999999999,0.79,320.1
13.5101,13.695,38.0,10.48,38.74000000000001,0.79,319.46
13.49,13.705,39.0,9.2,36.94999999999999,0.79,319.85
13.4501,13.75,39.0,10.29,32.44,0.79,320.06
13.4701,13.775,38.0,10.29,32.45999999999998,0.79,320.04
