stw,draft,foc,ws,wd,swh,vslHeading
19.0304,14.775,107.0,9.07,199.43000000000004,0.48,145.67
18.9103,14.77,104.0,9.07,199.22000000000003,0.48,145.88
18.9,14.76,110.0,8.94,184.92,0.48,145.88
19.0601,14.785,109.0,8.94,182.07,0.48,146.33
19.0503,14.76,107.0,8.3,198.99,0.48,146.01
19.0503,14.745,108.0,9.2,176.5,0.48,146.5
19.13,14.755,108.0,9.2,176.81,0.48,146.19
19.14,14.755,106.0,8.2,194.01,0.48,146.19
19.12,14.77,108.0,7.68,188.84,0.48,146.16
19.4203,14.74,107.0,7.78,195.78,0.48,146.02
19.2601,14.755,107.0,8.07,201.98,0.48,146.22
19.2301,14.785,107.0,8.07,202.17,0.48,146.03
19.17,14.735,107.0,7.17,213.07,0.48,146.03
19.17,14.735,108.0,7.59,206.62,0.48,146.18
19.1603,14.76,107.0,8.87,219.32,0.48,146.28
19.19,14.735,108.0,6.98,205.86,0.48,146.44
19.33,14.8,107.0,6.98,206.04,0.48,146.26
19.2401,14.765,107.0,8.36,199.24,0.48,146.26
19.2401,14.77,107.0,7.39,201.14,0.48,146.06
19.2901,14.81,108.0,10.16,195.08,0.48,146.32
19.25,14.76,107.0,7.68,206.25,0.48,146.15
19.23,14.765,107.0,7.68,206.33,0.48,146.07
19.2702,14.765,107.0,7.97,204.73,0.48,146.07
19.2702,14.78,107.0,7.07,207.05,0.48,146.25
19.3505,14.805,107.0,6.4,204.74,0.48,146.16
19.4504,14.78,108.0,6.4,206.17,0.48,146.13
19.5103,14.77,107.0,6.4,205.92,0.48,146.38
19.57,14.755,105.0,7.68,205.15,0.48,146.35
19.45,14.765,105.0,7.88,204.46,0.48,145.84
19.46,14.73,106.0,7.88,204.76,0.48,145.54
19.3101,14.765,106.0,6.98,208.96,0.48,145.54
19.3101,14.765,107.0,5.27,210.27,0.48,146.13
19.3801,14.77,107.0,5.27,213.34,0.48,146.16
19.4102,14.775,106.0,5.79,206.91,0.48,145.99
19.57,14.755,107.0,5.79,206.71,0.48,146.19
19.42,14.815,106.0,6.49,216.21,0.48,146.19
19.42,14.765,105.0,6.59,210.61,0.48,145.89
19.2301,14.765,106.0,8.07,204.61,0.48,145.49
19.2301,14.76,108.0,4.89,205.26,0.48,145.94
19.3801,14.775,107.0,4.89,204.73,0.48,146.47
19.3801,14.775,106.0,7.39,217.23,0.48,146.47
19.4501,14.795,109.0,7.07,222.2,0.48,147.7
19.3912,14.795,108.0,7.49,220.31,0.48,148.59
19.36,14.75,105.0,7.49,221.32,0.48,147.58
19.36,14.79,105.0,6.88,219.02,0.48,147.58
19.4202,14.76,107.0,5.5,216.52,0.48,148.18
19.4801,14.765,106.0,7.49,222.58,0.48,148.32
19.4301,14.785,106.0,6.27,216.79,0.48,148.11
19.4201,14.795,107.0,6.88,225.93,0.48,148.67
19.4703,14.79,107.0,7.3,226.49,0.48,149.11
19.59,14.795,106.0,7.07,224.28,0.48,149.02
19.4501,14.775,105.0,6.69,226.52,0.48,148.78
19.4202,14.78,106.0,7.88,227.04,0.48,149.06
19.41,14.8,107.0,7.88,226.97,0.48,149.13
19.41,14.8,106.0,6.88,236.07,0.48,149.13
19.41,14.775,105.0,7.3,215.12,0.48,148.08
19.3801,14.795,106.0,5.88,208.87000000000003,0.48,150.23
19.1322,14.755,110.0,8.36,226.74,0.48,142.26
19.2308,14.75,109.0,7.68,216.94,0.48,142.26
19.2602,14.775,106.0,8.75,232.0,0.48,140.9
19.2602,14.72,107.0,8.94,230.12,0.48,141.28
19.2701,14.78,107.0,8.94,229.62,0.48,141.78
19.3701,14.78,111.0,9.07,222.32,0.48,141.78
19.3607,14.745,109.0,7.97,218.03,0.48,146.37
19.3801,14.74,110.0,8.68,228.5,0.48,147.9
19.34,14.76,112.0,10.16,229.4,0.48,147.9
19.2601,14.735,104.0,7.49,214.52,0.48,149.68
19.2601,14.78,109.0,7.49,226.7,0.48,151.9
19.35,14.760000000000002,107.0,7.49,226.55,0.48,152.05
19.3607,14.755,109.0,5.27,211.44,0.48,154.36
19.24,14.795,105.0,8.68,232.47000000000003,0.48,151.23
19.14,14.765,105.0,8.55,231.65,0.48,149.15
19.14,14.765,108.0,6.88,238.18,0.48,150.12
19.2803,14.705,107.0,6.88,238.27,0.48,150.03
19.24,14.705,107.0,8.68,224.47,0.48,150.03
19.2904,14.715,107.0,9.97,236.32,0.48,149.98
19.2904,14.755,107.0,8.07,243.83,0.48,150.17
19.2901,14.745,107.0,10.16,239.17,0.48,150.13
19.2601,14.8,107.0,9.2,235.0,0.48,150.1
19.2601,14.77,106.0,8.94,226.69,0.48,150.11
19.27,14.73,107.0,9.77,232.77,0.48,149.93
19.2902,14.73,107.0,9.77,232.66000000000003,0.48,150.04
19.2603,14.75,107.0,9.77,234.06,0.48,150.04
19.2901,14.765,106.0,8.55,228.09,0.48,150.21
19.2901,14.725,107.0,9.77,233.0,0.48,149.9
19.26,14.785,107.0,9.65,226.1,0.48,150.1
19.27,14.735,107.0,6.88,236.5,0.48,150.1
19.28,14.775,106.0,9.58,241.6,0.48,150.0
19.28,14.715,107.0,9.58,222.92,0.48,149.98
19.19,14.75,107.0,8.94,223.29,0.48,150.01
19.24,14.735,107.0,8.94,223.36,0.48,149.94
19.2301,14.755,107.0,9.58,227.06,0.48,149.94
19.1702,14.73,107.0,8.07,214.63,0.48,149.97
19.1702,14.745,107.0,7.0,228.82,0.48,150.08
19.2402,14.76,107.0,6.0,225.92,0.48,149.98
19.2703,14.765,107.0,6.0,225.95,0.48,149.95
19.2403,14.77,105.0,9.84,227.55,0.48,149.95
19.19,14.73,105.0,8.07,221.21,0.48,147.49
19.19,14.745,108.0,9.97,225.88,0.48,147.92
19.1801,14.78,107.0,9.97,225.62,0.48,148.18
19.1903,14.78,107.0,10.16,226.02,0.48,148.18
19.2705,14.735,108.0,8.55,214.99,0.48,148.01
19.2501,14.775,107.0,10.67,228.77,0.48,148.23
19.2501,14.72,107.0,10.55,229.32,0.48,148.28
19.2401,14.77,107.0,7.0,225.41,0.48,148.09
19.09,14.77,106.0,9.58,240.45,0.48,141.45
19.0701,14.695,110.0,10.55,234.27,0.48,141.43
19.0701,14.73,108.0,8.68,231.15,0.48,142.35
19.1603,14.8,107.0,8.68,231.48,0.48,142.02
19.2401,14.76,107.0,8.36,227.78,0.48,142.02
19.2201,14.72,107.0,7.0,239.95,0.48,142.25
19.3002,14.755,107.0,7.68,241.37,0.48,142.33
19.2501,14.72,107.0,10.35,240.95,0.48,141.95
19.2701,14.735,106.0,10.35,234.75,0.48,141.95
19.18,14.745,107.0,10.1,243.83,0.48,140.87
19.2604,14.735,108.0,9.84,249.35,0.48,139.75
19.2804,14.745,107.0,8.94,242.58,0.48,140.12
19.2904,14.76,106.0,10.29,243.06,0.48,140.34
19.3201,14.725,106.0,7.0,239.82,0.48,140.08
19.2701,14.805,107.0,7.0,243.54,0.48,140.06
19.2701,14.705,107.0,9.58,245.14,0.48,140.06
19.28,14.75,106.0,7.0,238.15,0.48,140.05
19.39,14.74,106.0,7.0,241.94,0.48,139.56
19.1508,14.75,105.0,8.87,238.08,0.36,135.72
19.3607,14.715,109.0,9.45,243.36,0.36,136.44
19.2307,14.755,105.0,10.48,243.32,0.36,135.78
19.1504,14.765,109.0,9.26,241.02,0.36,133.48
19.1804,14.765,109.0,9.26,241.26,0.36,133.24
19.1804,14.725,107.0,8.94,243.16,0.36,133.24
19.2602,14.755,108.0,9.65,244.51,0.36,133.19
19.2419,14.745,107.0,8.94,252.61,0.36,132.99
19.0702,14.76,103.0,9.2,252.94,0.36,124.86
19.0702,14.71,104.0,7.59,245.54,0.36,124.86
19.1,14.735,106.0,9.26,256.23,0.36,123.27
18.9707,14.805,108.0,9.07,260.47,0.36,119.93
18.5505,14.785,98.0,9.58,265.89,0.36,109.71
18.58,14.785,100.0,9.58,271.32,0.36,104.28
18.8002,14.745,109.0,9.77,275.41,0.36,103.19
18.9801,14.715,111.0,8.55,256.37,0.36,104.63
19.0,14.735,108.0,9.26,271.93,0.36,103.27
19.1,14.76,106.0,9.26,272.08,0.36,103.12
19.1,14.745,108.0,8.49,267.18,0.36,103.12
19.2001,14.77,108.0,8.94,263.82,0.36,103.38
19.2703,14.75,107.0,8.75,261.53,0.36,103.17
19.24,14.775,107.0,7.97,255.66,0.36,103.24
19.2303,14.775,107.0,7.97,255.25,0.36,103.65
19.2303,14.715,107.0,8.68,258.55,0.36,103.65
19.1901,14.735,106.0,8.94,263.73,0.36,103.47
19.24,14.73,106.0,8.07,265.85,0.36,103.15
19.3104,14.739999999999998,109.0,7.78,268.14,0.36,105.26
19.3101,14.765,108.0,7.78,268.32,0.36,105.08
19.31,14.76,106.0,7.59,253.65,0.36,105.25
19.28,14.725,107.0,7.59,253.96,0.7,104.94
19.28,14.755,107.0,8.55,257.96000000000004,0.7,104.94
19.33,14.76,107.0,7.49,256.14,0.7,105.26
19.3401,14.725,106.0,7.49,256.26,0.7,105.14
19.3404,14.75,107.0,6.78,258.59000000000003,0.7,105.31
19.3001,14.75,106.0,6.78,258.79,0.7,105.11
19.3001,14.76,106.0,7.49,268.19,0.7,105.11
19.2502,14.72,106.0,7.39,275.13,0.7,104.87
19.25,14.775,107.0,8.2,269.53,0.7,104.87
19.3001,14.73,107.0,7.3,263.99,0.7,104.81
19.26,14.73,105.0,8.07,268.2,0.7,106.0
19.2202,14.72,106.0,6.17,267.53,0.7,106.67
19.2901,14.74,106.0,8.68,265.28,0.7,107.02
19.3605,14.765,106.0,7.88,269.14,0.7,107.26
19.3605,14.735,107.0,7.88,269.58000000000004,0.7,106.82
19.25,14.695,106.0,9.07,275.98,0.7,106.82
19.3502,14.78,107.0,7.88,280.43,0.7,106.77
19.39,14.74,107.0,7.17,278.32,0.7,106.98
19.3203,14.71,107.0,7.68,278.83000000000004,0.7,107.07
19.4001,14.74,106.0,7.68,280.69,0.7,107.01
19.4001,14.74,107.0,7.68,280.49,0.7,107.21
19.3104,14.78,106.0,7.68,285.89,0.7,107.21
19.2505,14.77,103.0,8.87,282.22,0.7,105.88
19.22,14.715,104.0,8.68,286.73,0.7,102.57
19.3005,14.78,109.0,8.3,282.27,0.7,104.23
19.3304,14.735,106.0,7.3,281.93,0.7,104.17
19.2901,14.75,106.0,7.3,281.75,0.7,104.35
19.37,14.755,106.0,7.59,294.7,0.7,103.9
19.37,14.695,107.0,5.18,289.62,0.7,104.18
19.3807,14.705,107.0,5.18,289.48,0.7,104.32
19.4206,14.725,106.0,7.49,295.38,0.7,104.32
19.3603,14.71,106.0,7.39,288.7100000000001,0.7,104.19
19.3603,14.78,106.0,7.3,288.22,0.7,103.98
19.3402,14.75,107.0,7.49,293.01,0.7,104.09
19.3502,14.75,106.0,7.49,293.02,0.7,104.08
19.4403,14.775,106.0,6.59,286.62,0.7,104.08
19.4401,14.765,106.0,4.98,295.48,0.7,103.72
19.3602,14.739999999999998,107.0,7.68,289.15,0.7,104.25
19.4404,14.72,106.0,7.68,289.37,0.7,104.03
19.4402,14.72,106.0,7.49,293.17,0.7,104.03
19.4706,14.735,106.0,6.59,290.5900000000001,0.7,104.11
19.4706,14.74,106.0,7.49,283.7,0.7,104.0
19.41,14.715,107.0,6.88,275.48,0.7,104.22
19.4603,14.75,107.0,5.5,278.18,0.7,104.22
19.5003,14.78,106.0,6.17,293.1,0.7,103.8
19.5302,14.7,106.0,4.79,296.98,0.7,104.02
19.4102,14.75,106.0,4.79,296.82,0.7,104.18
19.4504,14.745,106.0,5.59,290.72,0.7,104.18
19.4201,14.77,106.0,6.17,280.57,0.7,104.03
19.4201,14.735,106.0,5.98,290.06,0.7,104.24
19.4808,14.735,106.0,5.69,295.17,0.7,104.23
19.3809,14.735,106.0,5.69,295.41,0.7,103.99
19.3502,14.705,107.0,6.4,293.91,0.7,103.99
19.3802,14.695,107.0,5.5,297.47,0.7,104.23
19.3802,14.765,106.0,6.17,299.71,0.7,103.59
19.36,14.725,107.0,5.27,295.77,0.7,103.83
19.4106,14.745,106.0,5.27,295.57,0.7,104.03
19.5104,14.685,106.0,5.59,298.07,0.7,104.03
19.3903,14.745,106.0,6.49,290.5900000000001,0.7,104.21
19.3903,14.67,107.0,6.49,289.6,0.7,104.2
19.4107,14.67,106.0,6.49,293.16,0.7,104.04
19.3103,14.7,106.0,6.49,293.1,0.7,104.1
19.4401,14.715,107.0,5.79,285.2,0.7,104.1
19.4003,14.67,106.0,7.3,292.43,0.7,103.97
19.4003,14.75,106.0,6.4,291.41,0.7,103.99
19.4105,14.745,107.0,5.69,277.29,0.7,104.01
19.4202,14.74,105.0,5.69,277.45,0.7,103.85
19.4601,14.775,106.0,6.08,290.55,0.85,103.85
19.47,14.755,107.0,5.98,299.08,0.85,104.02
19.47,14.7,106.0,6.49,299.78,0.85,104.22
19.4206,14.7,106.0,6.17,285.94,0.85,104.06
19.3601,14.755,105.0,6.17,286.23,0.85,103.77
19.4306,14.76,106.0,5.18,285.23,0.85,103.77
19.4902,14.775,106.0,5.37,293.8300000000001,0.85,103.57
19.4902,14.695,106.0,5.79,299.02,0.85,103.58
19.5107,14.74,106.0,5.18,289.56,0.85,104.44
19.4701,14.795,106.0,4.98,286.62,0.85,103.98
19.4702,14.71,106.0,6.27,288.08,0.85,103.92
19.4702,14.71,106.0,4.89,296.23,0.85,104.27
19.4007,14.735,106.0,5.5,280.72,0.85,103.98
19.4102,14.785,106.0,5.5,280.92,0.85,103.78
19.4503,14.735,106.0,4.98,286.92,0.85,103.78
19.3401,14.75,106.0,4.18,288.3,0.85,104.0
19.4003,14.735,106.0,4.79,299.8400000000001,0.85,104.16
19.3404,14.760000000000002,106.0,5.79,290.26,0.85,103.44
19.4102,14.775,107.0,5.08,297.06,0.85,103.84
19.4305,14.75,107.0,4.79,291.66,0.85,104.34
19.4004,14.75,105.0,5.88,277.36,0.85,104.14
19.3601,14.775,106.0,5.88,277.74,0.85,103.76
19.3601,14.755,107.0,5.37,278.34000000000003,0.85,103.76
19.3605,14.73,111.0,5.27,288.87,0.85,103.93
19.3526,14.72,111.0,4.89,282.31,0.85,110.49
19.2704,14.745,104.0,5.18,293.27,0.85,109.03
19.33,14.785,106.0,5.18,293.72,0.85,108.58
19.33,14.75,111.0,6.49,287.02,0.85,108.58
19.3216,14.725,112.0,6.59,279.82,0.85,113.68
19.2703,14.715,107.0,7.39,290.82,0.85,113.28
19.2805,14.775,108.0,7.39,290.22,0.85,113.88
19.2805,14.79,107.0,6.98,289.32,0.85,113.88
19.3203,14.71,107.0,7.49,289.8,0.85,113.8
19.4602,14.735,107.0,7.17,275.23,0.85,113.57
19.5004,14.75,106.0,7.17,275.16,0.85,113.64
19.5004,14.755,107.0,6.27,271.16,0.85,113.64
19.5606,14.765,107.0,6.27,273.31,0.85,113.79
19.5806,14.795,106.0,7.17,284.14,0.85,114.06
19.1507,14.795,112.0,6.49,264.0,0.94,101.3
19.2909,14.760000000000002,107.0,6.78,267.25,0.94,101.15
19.33,14.785,106.0,6.78,268.55,0.94,99.85
19.33,14.75,108.0,6.98,267.25,0.94,99.85
19.41,14.74,107.0,5.98,261.59000000000003,0.94,100.21
19.4301,14.775,106.0,5.37,258.32,0.94,100.08
19.47,14.775,107.0,6.49,264.07,0.94,100.23
19.5301,14.755,106.0,6.49,263.89,0.94,100.41
19.5301,14.795,106.0,5.5,256.89,0.94,100.41
19.5,14.755,106.0,7.3,251.55,0.94,100.15
19.32,14.75,107.0,6.98,252.72000000000003,0.94,99.88
19.44,14.79,107.0,7.17,251.81,0.94,100.39
19.45,14.81,106.0,7.17,252.02,0.94,100.18
19.45,14.7,105.0,7.17,248.12,0.94,100.18
19.45,14.8,107.0,7.17,245.73,0.94,100.07
19.51,14.735,106.0,6.88,244.6,0.94,100.3
19.5301,14.735,106.0,6.88,251.14,0.94,100.16
19.51,14.745,105.0,6.88,251.36,0.94,99.94
19.51,14.735,105.0,5.79,253.96,0.94,99.94
18.9908,14.735,99.0,6.59,259.49,0.94,104.21
18.9908,14.829999999999998,99.0,6.27,249.61,0.94,103.99
19.0,14.77,98.0,6.08,236.13,0.94,103.77
18.99,14.775,99.0,4.89,249.38,0.94,104.02
18.99,14.765,100.0,5.98,234.67,0.94,104.13
18.9403,14.78,99.0,5.08,226.95,0.94,103.85
18.9102,14.785,99.0,6.69,244.36,0.94,103.94
18.9802,14.735,99.0,7.07,227.16000000000003,0.94,103.94
18.9101,14.805,99.0,5.98,224.68,0.94,103.82
18.9904,14.815,99.0,5.59,222.59000000000003,0.94,103.71
18.9904,14.77,99.0,6.98,232.86,0.94,103.94
18.9702,14.78,99.0,6.98,232.9,0.94,103.9
19.0,14.745,98.0,5.5,232.4,0.94,103.9
18.9604,14.76,99.0,6.27,223.43,0.94,103.97
18.9604,14.76,98.0,8.2,229.38,0.94,103.82
18.96,14.815,99.0,8.07,227.49,0.94,104.11
18.94,14.695,99.0,6.4,218.38,0.94,103.82
18.94,14.735,99.0,6.98,229.56,0.94,103.44
18.94,14.745,99.0,9.2,223.31,0.94,103.99
18.9501,14.745,99.0,9.2,223.58,0.94,103.72
18.6901,14.77,98.0,10.0,225.15,1.21,101.85
18.6202,14.72,101.0,10.0,224.25,1.21,102.75
18.7,14.755,100.0,10.0,218.33,1.21,102.97
18.7,14.725,99.0,10.0,221.03,1.21,102.47
18.6506,14.715,100.0,10.0,223.85,1.21,102.05
18.45,14.785,101.0,10.0,223.53,1.21,102.37
18.4902,14.755,100.0,10.0,219.03,1.21,102.37
18.6602,14.695,100.0,10.0,220.01,1.21,102.29
18.6602,14.76,100.0,10.0,219.58,1.21,102.12
18.5417,14.76,101.0,10.0,217.69,1.21,102.21
18.5302,14.78,100.0,10.0,218.23,1.21,101.67
18.5106,14.685,99.0,10.0,218.83,1.21,101.67
18.42,14.75,101.0,10.0,218.48,1.21,102.12
18.42,14.765,101.0,10.0,217.71,1.21,102.49
18.5302,14.695,99.0,10.0,218.14,1.21,102.16
18.591,14.79,102.0,10.0,216.14,1.21,104.16
18.76,14.745,100.0,10.0,214.04,1.21,104.16
18.7703,14.760000000000002,99.0,10.0,211.79,1.21,103.81
18.8504,14.825,99.0,9.0,213.94,1.21,104.06
18.8004,14.825,99.0,9.0,213.66,1.21,104.34
18.69,14.74,99.0,10.0,214.96,1.21,104.34
18.69,14.79,98.0,10.0,216.38,1.21,104.22
18.6401,14.765,100.0,9.0,209.02000000000004,1.21,104.08
18.7101,14.695,99.0,9.0,208.96000000000004,1.21,104.14
18.7804,14.745,99.0,10.0,209.76,1.21,104.14
18.8702,14.815,99.0,9.0,210.09,1.21,104.11
18.8804,14.795000000000002,99.0,9.0,210.28,1.21,103.92
18.7402,14.79,99.0,9.0,210.78,1.21,103.92
18.8401,14.715,99.0,9.0,212.73,1.21,105.07
18.7701,14.74,99.0,10.0,216.88,1.21,105.32
18.59,14.74,99.0,9.0,211.75,1.41,105.05
18.72,14.76,99.0,9.0,211.71,1.41,105.09
18.8301,14.745,99.0,8.0,212.01,1.41,105.09
18.8301,14.755,100.0,8.0,209.84000000000003,1.41,105.26
18.57,14.715,99.0,8.0,237.97000000000003,1.41,105.13
18.6902,14.755,99.0,8.94,227.91000000000003,1.41,105.69
18.6902,14.72,100.0,7.49,246.76,1.41,105.64
18.871,14.79,100.0,7.59,257.82,1.41,105.78
18.921,14.79,100.0,6.17,249.87,1.41,105.93
